"","Player","Team","GP","TOI","TOI/GP","Shots Against/60","Saves/60","SV%","GAA","GSAA/60","xG Against/60","HD Shots Against/60","HD Saves/60","HDSV%","HDGAA","HDGSAA/60","MD Shots Against/60","MD Saves/60","MDSV%","MDGAA","MDGSAA/60","LD Shots Against/60","LD Saves/60","LDSV%","LDGAA","LDGSAA/60","Rush Attempts Against/60","Rebound Attempts Against/60","Avg. Shot Distance","Avg. Goal Distance"
"48","Garret Sparks","VGK","1","2","2","90","90","1.000","0.00","12.12","6.63","0","0","-","0.00","0.00","30","30","1.000","0.00","4.28","60","60","1.000","0.00","4.18","0","0","26.67","-"
"52","Maxime Lagace","PIT","1","2","2","60","60","1.000","0.00","8.08","10.54","30","30","1.000","0.00","6.77","0","0","-","0.00","0.00","30","30","1.000","0.00","2.09","0","30","33.00","-"
"63","Troy Grosenick","L.A","2","10.316666666667","5.1583333333333","46.53","46.53","1.000","0.00","6.26","7.19","5.82","5.82","1.000","0.00","1.31","34.89","34.89","1.000","0.00","4.98","5.82","5.82","1.000","0.00","0.40","0","11.63","31.00","-"
"86","David Ayres","CAR","1","4","4","15","15","1.000","0.00","2.02","2.28","0","0","-","0.00","0.00","15","15","1.000","0.00","2.14","0","0","-","0.00","0.00","0","0","29.00","-"
"102","Gilles Senn","N.J","2","9.2833333333333","4.6416666666667","45.24","45.24","1.000","0.00","6.09","5.64","12.93","12.93","1.000","0.00","2.92","12.93","12.93","1.000","0.00","1.84","12.93","12.93","1.000","0.00","0.90","0","6.46","41.57","-"
"109","Veini Vehvilainen","CBJ","1","1.7833333333333","1.7833333333333","33.64","33.64","1.000","0.00","4.53","1.56","0","0","-","0.00","0.00","0","0","-","0.00","0.00","33.64","33.64","1.000","0.00","2.34","0","0","33.00","-"
"106","Collin Delia","CHI","6","24.216666666667","4.0361111111111","69.37","64.42","0.929","4.96","4.39","9.96","17.34","14.87","0.857","2.48","1.43","27.25","27.25","1.000","0.00","3.89","24.78","22.3","0.900","2.48","-0.75","0","9.91","29.18","29.00"
"59","Anthony Stolarz","ANA","9","40.9","4.5444444444444","57.21","52.81","0.923","4.40","3.30","7.08","20.54","20.54","1.000","0.00","4.63","7.33","7.33","1.000","0.00","1.05","29.34","24.94","0.850","4.40","-2.36","0","8.8","31.46","42.00"
"47","Anton Forsberg","CAR, OTT","11","46.016666666667","4.1833333333333","65.19","59.98","0.920","5.22","3.56","7.76","23.47","22.17","0.944","1.30","3.99","15.65","14.34","0.917","1.30","0.93","26.08","23.47","0.900","2.61","-0.79","2.61","9.13","29.08","22.50"
"32","Robin Lehner","CHI, VGK","55","259.75","4.7227272727273","58.9","54.05","0.918","4.85","3.08","6.63","16.17","14.09","0.871","2.08","1.57","20.79","19.4","0.933","1.39","1.58","21.25","19.87","0.935","1.39","0.09","0.92","6.47","31.12","23.48"
"4","Mike Smith","EDM","71","309.5","4.3591549295775","55.25","50.4","0.912","4.85","2.59","6.81","13.18","11.44","0.868","1.74","1.23","18.03","16.09","0.892","1.94","0.63","23.84","22.68","0.951","1.16","0.50","0.39","6.2","31.58","24.16"
"107","Pavel Francouz","COL","34","137.53333333333","4.0450980392157","54.53","49.73","0.912","4.80","2.54","7.25","18.32","15.71","0.857","2.62","1.52","11.34","10.03","0.885","1.31","0.31","23.56","22.69","0.963","0.87","0.77","0.87","9.16","32.81","25.09"
"64","Antti Raanta","ARI","45","221.63333333333","4.9251851851852","54.41","49.27","0.905","5.14","2.18","7.04","16.24","12.72","0.783","3.52","0.14","15.97","14.62","0.915","1.35","0.93","22.2","21.93","0.988","0.27","1.27","1.08","8.39","30.35","17.05"
