"","Player","Team","GP","TOI","TOI/GP","Shots Against/60","Saves/60","SV%","GAA","GSAA/60","xG Against/60","HD Shots Against/60","HD Saves/60","HDSV%","HDGAA","HDGSAA/60","MD Shots Against/60","MD Saves/60","MDSV%","MDGAA","MDGSAA/60","LD Shots Against/60","LD Saves/60","LDSV%","LDGAA","LDGSAA/60","Rush Attempts Against/60","Rebound Attempts Against/60","Avg. Shot Distance","Avg. Goal Distance"
"18","Jonathan Quick","L.A","64","318.38333333333","4.9747395833333","13.19","13.19","1.000","0.00","1.04","0.73","2.07","2.07","1.000","0.00","0.43","2.83","2.83","1.000","0.00","0.25","2.45","2.45","1.000","0.00","0.09","2.07","0.57","83.13","-"
"47","Anton Forsberg","CAR, OTT","11","41.466666666667","3.769696969697","5.79","5.79","1.000","0.00","0.46","0.18","1.45","1.45","1.000","0.00","0.30","0","0","-","0.00","0.00","1.45","1.45","1.000","0.00","0.05","1.45","0","93.75","-"
"52","Maxime Lagace","PIT","1","4","4","15","15","1.000","0.00","1.19","0","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","179.00","-"
"53","Oscar Dansk","VGK","2","14.583333333333","7.2916666666667","8.23","8.23","1.000","0.00","0.65","0.16","0","0","-","0.00","0.00","0","0","-","0.00","0.00","4.11","4.11","1.000","0.00","0.14","0","0","99.00","-"
"59","Anthony Stolarz","ANA","9","30.883333333333","3.4314814814815","5.83","5.83","1.000","0.00","0.46","0.01","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","0.00","0.00","1.94","0","162.33","-"
"63","Troy Grosenick","L.A","2","8.5166666666667","4.2583333333333","7.05","7.05","1.000","0.00","0.56","0.01","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","0.00","0.00","7.05","0","167.00","-"
"65","Antoine Bibeau","COL","2","11.9","5.95","10.08","10.08","1.000","0.00","0.80","0.01","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","148.00","-"
"74","Jonas Johansson","BUF, COL","21","85.216666666667","4.0579365079365","5.63","5.63","1.000","0.00","0.45","0.26","1.41","1.41","1.000","0.00","0.29","0","0","-","0.00","0.00","0.7","0.7","1.000","0.00","0.02","1.41","0","106.25","-"
"75","Elvis Merzlikins","CBJ","60","189.23333333333","3.1538888888889","8.56","8.56","1.000","0.00","0.68","0.49","1.9","1.9","1.000","0.00","0.39","1.27","1.27","1.000","0.00","0.11","2.54","2.54","1.000","0.00","0.09","0","0","73.00","-"
"76","Ilya Sorokin","NYI","22","116.15","5.2795454545455","8.27","8.27","1.000","0.00","0.65","0.83","1.55","1.55","1.000","0.00","0.32","2.58","2.58","1.000","0.00","0.23","1.03","1.03","1.000","0.00","0.04","2.07","0.52","74.75","-"
"81","Dan Vladar","BOS","5","29.583333333333","5.9166666666667","10.14","10.14","1.000","0.00","0.80","0.61","2.03","2.03","1.000","0.00","0.42","2.03","2.03","1.000","0.00","0.18","0","0","-","0.00","0.00","2.03","0","107.00","-"
"82","Sam Montembeault","FLA","14","60.916666666667","4.3511904761905","9.85","9.85","1.000","0.00","0.78","0.66","1.97","1.97","1.000","0.00","0.41","0.98","0.98","1.000","0.00","0.09","1.97","1.97","1.000","0.00","0.07","1.97","0.98","90.30","-"
"85","Joey Daccord","OTT","8","40.65","5.08125","11.81","11.81","1.000","0.00","0.93","0.71","4.43","4.43","1.000","0.00","0.92","1.48","1.48","1.000","0.00","0.13","2.95","2.95","1.000","0.00","0.10","2.95","0","51.00","-"
"94","Adam Werner","COL","2","8.55","4.275","28.07","28.07","1.000","0.00","2.22","0.55","0","0","-","0.00","0.00","7.02","7.02","1.000","0.00","0.62","0","0","-","0.00","0.00","14.04","0","129.50","-"
