Number,Team,GP,TOI,HDCF,HDCA,HDGF,HDGA,MDCF,MDCA,MDGF,MDGA,LDCF,LDCA,LDGF,LDGA,HDCFpermin,HDCApermin,HDGFpermin,HDGApermin,MDCFpermin,MDCApermin,MDGFpermin,MDGApermin,LDCFpermin,LDCApermin,LDGFpermin,LDGApermin
1,Colorado Avalanche,128,6330.4,1156,970,156,125,1985,1469,117,75,2937,2510,54,38,,,,,,,,,,,,
2,Pittsburgh Penguins,128,6562.6833,1114,1099,193,163,1690,1514,88,71,2600,2596,40,37,,,,,,,,,,,,
3,Toronto Maple Leafs,129,6630.6667,1340,1145,193,162,2043,1782,92,78,2673,2671,53,40,,,,,,,,,,,,
4,Washington Capitals,127,6346.55,1138,1085,177,164,1677,1537,86,75,2677,2524,60,43,,,,,,,,,,,,
5,Dallas Stars,128,6528.1833,1208,1048,155,133,1701,1616,59,53,2576,2623,29,48,,,,,,,,,,,,
6,Columbus Blue Jackets,128,6713.8833,983,1077,138,153,1665,1817,74,97,2684,2983,46,45,,,,,,,,,,,,
7,Philadelphia Flyers,126,6369.5333,1078,1065,168,158,1589,1500,83,75,2687,2461,41,56,,,,,,,,,,,,
8,Edmonton Oilers,129,6539.4833,1154,1155,153,158,1596,1854,95,94,2546,2740,36,41,,,,,,,,,,,,
9,Buffalo Sabres,127,6575.85,1080,1131,130,171,1473,1618,69,92,2581,2777,42,47,,,,,,,,,,,,
10,Anaheim Ducks,129,6597,1128,1284,137,180,1636,1820,81,84,2639,2769,35,37,,,,,,,,,,,,
11,Carolina Hurricanes,126,6323.4667,1312,1132,169,160,1730,1464,75,61,2737,2278,40,31,,,,,,,,,,,,
12,San Jose Sharks,127,6391.7833,1230,1231,136,181,1662,1712,76,102,2493,2571,41,50,,,,,,,,,,,,
13,Tampa Bay Lightning,129,6413.8667,1147,1020,179,131,1883,1691,102,90,2511,2394,43,38,,,,,,,,,,,,
14,Boston Bruins,127,6386.2833,1003,972,147,123,1730,1578,77,66,2839,2587,56,38,,,,,,,,,,,,
15,Minnesota Wild,127,6377.2833,1118,882,173,142,1432,1608,93,92,2600,3003,44,45,,,,,,,,,,,,
16,Montreal Canadiens,130,6642.95,1256,1112,167,166,1942,1573,78,84,3131,2551,41,39,,,,,,,,,,,,
17,New York Rangers,129,6398.3167,1120,1242,164,149,1556,1746,83,87,2434,2827,51,45,,,,,,,,,,,,
18,New Jersey Devils,126,6362.65,1045,1096,137,154,1593,1858,67,98,2621,2752,48,55,,,,,,,,,,,,
19,Vancouver Canucks,128,6374.1833,1109,1222,151,185,1671,2054,83,86,2587,2675,38,38,,,,,,,,,,,,
20,St Louis Blues,128,6593.25,976,1137,138,132,1752,1624,96,74,2457,2500,56,59,,,,,,,,,,,,
21,New York Islanders,126,6572.35,1266,1143,174,151,1622,1876,59,63,2404,2816,41,43,,,,,,,,,,,,
22,Winnipeg Jets,129,6599.4167,1020,1366,163,174,1776,1698,94,68,2714,2686,32,30,,,,,,,,,,,,
23,Detroit Red Wings,129,6513.1333,949,1162,122,182,1458,1758,56,84,2325,2785,34,51,,,,,,,,,,,,
24,Calgary Flames,127,6437.1,1133,1030,143,142,1805,1742,93,97,2788,2626,38,35,,,,,,,,,,,,
25,Nashville Predators,127,6430.2167,1073,1113,167,146,1693,1661,71,66,2875,2765,41,46,,,,,,,,,,,,
26,Arizona Coyotes,128,6483.1167,1112,1203,127,157,1558,1810,82,82,2719,2776,41,36,,,,,,,,,,,,
27,Ottawa Senators,130,6550.7667,1221,1217,166,170,1714,1859,63,106,2658,2946,31,45,,,,,,,,,,,,
28,Vegas Golden Knights,129,6589.75,1355,1141,177,155,2019,1608,108,66,2832,2522,40,41,,,,,,,,,,,,
29,Los Angeles Kings,128,6525.0333,1144,1200,155,167,1592,1754,53,89,2853,2508,28,41,,,,,,,,,,,,
30,Florida Panthers,127,6402.2667,1086,1097,173,152,1702,1557,85,85,2805,2626,62,48,,,,,,,,,,,,
31,Chicago Blackhawks,129,6522.3667,1103,1381,153,194,1732,1911,86,83,2527,2664,41,37,,,,,,,,,,,,
32,Seattle Kraken,3,162.2833,23,22,4,5,38,46,1,2,68,66,1,1,,,,,,,,,,,,
33,SUM,3968,201246.0666,35180,35180,4885,4885,52715,52715,2525,2525,82578,82578,1324,1324,0.17481087,0.17481087,0.024273766,0.024273766,0.261943008,0.261943008,0.012546829,0.012546829,0.410333486,0.410333486,0.006579011,0.006579011
