Number,Team,GP,TOI,HDCF,HDCA,HDGF,HDGA,MDCF,MDCA,MDGF,MDGA,LDCF,LDCA,LDGF,LDGA,HDCFpermin,HDCApermin,HDGFpermin,HDGApermin,MDCFpermin,MDCApermin,MDGFpermin,MDGApermin,LDCFpermin,LDCApermin,LDGFpermin,LDGApermin
1,Pittsburgh Penguins,128,595.9833,42,164,7,33,34,256,5,24,33,402,0,13,,,,,,,,,,,,
2,Colorado Avalanche,128,659.4,25,218,5,27,33,327,1,26,36,552,3,19,,,,,,,,,,,,
3,Toronto Maple Leafs,129,589.75,50,167,7,32,52,296,1,26,27,394,0,16,,,,,,,,,,,,
4,Washington Capitals,127,724.3833,27,224,8,37,33,297,0,24,47,466,1,8,,,,,,,,,,,,
5,Dallas Stars,128,658.85,19,196,3,40,48,339,5,22,29,533,0,16,,,,,,,,,,,,
6,Columbus Blue Jackets,128,550.2333,31,124,2,23,33,251,3,20,46,389,2,17,,,,,,,,,,,,
7,Philadelphia Flyers,126,643.15,35,212,6,47,43,246,1,23,41,388,0,15,,,,,,,,,,,,
8,Edmonton Oilers,129,640.1333,24,215,3,24,40,346,1,23,27,509,1,13,,,,,,,,,,,,
9,Buffalo Sabres,127,555.45,28,225,5,43,24,254,1,13,35,452,3,22,,,,,,,,,,,,
10,Anaheim Ducks,129,664.1333,41,231,10,35,40,310,1,30,34,413,0,17,,,,,,,,,,,,
11,Carolina Hurricanes,126,739.8,58,237,8,36,45,278,5,18,43,430,2,11,,,,,,,,,,,,
12,San Jose Sharks,127,720.2,37,239,7,35,37,310,5,18,44,466,1,15,,,,,,,,,,,,
13,Tampa Bay Lightning,129,726.25,49,216,6,39,44,355,1,16,47,472,1,18,,,,,,,,,,,,
14,Boston Bruins,127,690.7833,39,184,11,28,47,307,1,17,58,459,0,14,,,,,,,,,,,,
15,Minnesota Wild,127,642.2167,20,185,1,34,27,281,3,28,38,496,0,18,,,,,,,,,,,,
16,Montreal Canadiens,130,652.4,41,241,9,33,57,322,4,28,55,494,1,26,,,,,,,,,,,,
17,New York Rangers,129,697.6,46,274,6,41,31,343,3,33,30,562,2,12,,,,,,,,,,,,
18,New Jersey Devils,126,639.4333,48,195,9,52,42,293,3,19,40,407,0,13,,,,,,,,,,,,
19,Vancouver Canucks,128,701.4333,12,245,2,30,29,398,5,27,34,474,2,25,,,,,,,,,,,,
20,St Louis Blues,128,624.4,21,229,5,33,27,278,1,27,39,479,2,20,,,,,,,,,,,,
21,New York Islanders,126,538.75,44,175,7,27,23,312,1,14,24,393,1,16,,,,,,,,,,,,
22,Winnipeg Jets,129,561.35,31,222,8,44,28,274,2,14,27,448,0,15,,,,,,,,,,,,
23,Detroit Red Wings,129,643.0167,31,266,4,55,28,278,0,24,37,478,0,15,,,,,,,,,,,,
24,Calgary Flames,127,628.5333,34,200,6,25,38,363,1,30,43,432,0,17,,,,,,,,,,,,
25,Nashville Predators,127,641.6,33,184,5,43,32,305,6,36,30,484,0,15,,,,,,,,,,,,
26,Arizona Coyotes,128,615.4333,36,215,2,44,36,286,0,17,34,475,2,8,,,,,,,,,,,,
27,Ottawa Senators,130,682.9333,59,252,18,39,50,362,1,34,26,491,2,19,,,,,,,,,,,,
28,Vegas Golden Knights,129,613.9,42,194,7,30,43,331,3,21,32,467,1,19,,,,,,,,,,,,
29,Los Angeles Kings,128,590.6167,27,179,6,27,23,311,2,25,27,482,0,17,,,,,,,,,,,,
30,Florida Panthers,127,614.9167,43,202,5,34,39,285,2,21,44,508,0,19,,,,,,,,,,,,
31,Chicago Blackhawks,129,624.55,41,206,5,33,39,334,1,17,27,433,1,22,,,,,,,,,,,,
32,Seattle Kraken,3,9.4,0,6,0,0,0,5,0,0,0,10,0,1,,,,,,,,,,,,
33,SUM,3968,19880.9831,1114,6522,193,1103,1145,9533,69,715,1134,14338,28,511,0.056033446,0.328052188,0.009707769,0.055480154,0.057592725,0.479503451,0.003470653,0.035964016,0.057039433,0.7211917,0.001408381,0.025702954
