Number,Team,GP,TOI,HDCF,HDCA,HDGF,HDGA,MDCF,MDCA,MDGF,MDGA,LDCF,LDCA,LDGF,LDGA,HDCFpermin,HDCApermin,HDGFpermin,HDGApermin,MDCFpermin,MDCApermin,MDGFpermin,MDGApermin,LDCFpermin,LDCApermin,LDGFpermin,LDGApermin
1,Colorado Avalanche,128,748.3833,272,36,32,7,406,35,39,1,539,37,22,0,,,,,,,,,,,,
2,Pittsburgh Penguins,128,609.95,241,43,49,5,310,45,18,3,386,37,13,0,,,,,,,,,,,,
3,Toronto Maple Leafs,129,604.55,226,42,35,11,368,47,30,2,382,38,14,0,,,,,,,,,,,,
4,Washington Capitals,127,660.6667,188,30,37,10,290,34,22,2,501,45,23,3,,,,,,,,,,,,
5,Dallas Stars,128,619.9833,242,17,47,1,319,36,19,2,446,33,14,2,,,,,,,,,,,,
6,Columbus Blue Jackets,128,538.5167,116,38,17,6,207,20,14,1,371,43,20,0,,,,,,,,,,,,
7,Philadelphia Flyers,126,677.0167,226,43,41,4,243,38,18,3,524,49,21,2,,,,,,,,,,,,
8,Edmonton Oilers,129,613.9333,255,24,53,4,374,42,41,6,380,34,16,3,,,,,,,,,,,,
9,Anaheim Ducks,129,580.6667,192,27,24,3,275,35,10,4,385,25,7,1,,,,,,,,,,,,
10,Buffalo Sabres,127,598.1667,152,36,24,11,243,25,24,1,444,26,22,0,,,,,,,,,,,,
11,Carolina Hurricanes,126,601.5,253,37,53,8,320,28,20,1,477,32,16,0,,,,,,,,,,,,
12,San Jose Sharks,127,590.2833,207,37,33,8,292,34,14,2,468,36,11,0,,,,,,,,,,,,
13,Tampa Bay Lightning,129,671.7333,172,40,41,4,367,49,31,4,471,39,20,2,,,,,,,,,,,,
14,Boston Bruins,127,652.8333,234,52,48,8,330,44,22,3,493,44,22,2,,,,,,,,,,,,
15,Montreal Canadiens,130,603.3333,169,34,28,6,236,36,16,0,410,31,17,1,,,,,,,,,,,,
16,Minnesota Wild,127,682.0333,187,31,39,5,258,33,22,2,533,36,16,1,,,,,,,,,,,,
17,New Jersey Devils,126,668.5167,197,36,29,7,285,44,22,4,477,34,13,2,,,,,,,,,,,,
18,New York Rangers,129,699.8167,289,33,58,8,346,26,20,2,526,39,13,0,,,,,,,,,,,,
19,Vancouver Canucks,128,690.7167,197,38,34,6,381,37,34,1,533,33,18,0,,,,,,,,,,,,
20,St Louis Blues,128,578.0667,184,39,36,3,321,31,34,2,453,30,17,2,,,,,,,,,,,,
21,Winnipeg Jets,129,640.8833,206,44,31,4,364,37,25,2,501,33,22,0,,,,,,,,,,,,
22,New York Islanders,126,566.6167,211,32,36,3,259,29,12,1,346,34,8,0,,,,,,,,,,,,
23,Calgary Flames,127,637.2167,211,34,31,10,282,49,27,5,454,37,16,1,,,,,,,,,,,,
24,Detroit Red Wings,129,659.6667,157,45,18,9,263,55,21,5,406,44,12,1,,,,,,,,,,,,
25,Nashville Predators,127,660.7667,210,32,32,8,315,30,18,1,534,40,16,0,,,,,,,,,,,,
26,Arizona Coyotes,128,685.8,186,40,28,8,289,31,31,0,444,44,19,0,,,,,,,,,,,,
27,Ottawa Senators,130,665.0333,265,34,30,8,287,47,17,1,407,41,15,1,,,,,,,,,,,,
28,Vegas Golden Knights,129,626.1833,224,30,34,2,363,33,20,1,521,26,19,2,,,,,,,,,,,,
29,Los Angeles Kings,128,635,211,29,27,4,267,37,20,0,534,29,20,0,,,,,,,,,,,,
30,Florida Panthers,127,697.95,209,38,38,3,329,41,32,3,566,46,14,2,,,,,,,,,,,,
31,Chicago Blackhawks,129,704.6167,231,43,39,9,339,37,22,4,421,38,14,0,,,,,,,,,,,,
32,Seattle Kraken,3,10.5833,2,0,1,0,5,0,0,0,5,1,1,0,,,,,,,,,,,,
33,SUM,3968,19880.9834,6522,1114,1103,193,9533,1145,715,69,14338,1134,511,28,0.328052183,0.056033446,0.055480153,0.009707769,0.479503443,0.057592725,0.035964016,0.003470653,0.721191689,0.057039432,0.025702954,0.001408381
