"","Player","Team","GP","TOI","TOI/GP","Shots Against/60","Saves/60","SV%","GAA","GSAA/60","xG Against/60","HD Shots Against/60","HD Saves/60","HDSV%","HDGAA","HDGSAA/60","MD Shots Against/60","MD Saves/60","MDSV%","MDGAA","MDGSAA/60","LD Shots Against/60","LD Saves/60","LDSV%","LDGAA","LDGSAA/60","Rush Attempts Against/60","Rebound Attempts Against/60","Avg. Shot Distance","Avg. Goal Distance"
"44","Maxime Lagace","PIT","1","54","54","28.89","28.89","1.000","0.00","2.46","1.84","10","10","1.000","0.00","1.82","5.56","5.56","1.000","0.00","0.52","10","10","1.000","0.00","0.28","4.44","1.11","36.81","-"
"77","Kasimir Kaskisuo","NSH","1","15.366666666667","15.366666666667","11.71","11.71","1.000","0.00","1.00","1.45","0","0","-","0.00","0.00","3.9","3.9","1.000","0.00","0.37","7.81","7.81","1.000","0.00","0.22","0","0","31.00","-"
"89","Logan Thompson","VGK","1","6.25","6.25","19.2","19.2","1.000","0.00","1.64","1.43","0","0","-","0.00","0.00","9.6","9.6","1.000","0.00","0.90","9.6","9.6","1.000","0.00","0.27","9.6","0","29.50","-"
"94","Veini Vehvilainen","CBJ","1","5.1","5.1","11.76","11.76","1.000","0.00","1.00","0.49","0","0","-","0.00","0.00","0","0","-","0.00","0.00","11.76","11.76","1.000","0.00","0.33","0","0","44.00","-"
"61","Eric Comrie","N.J","1","49.866666666667","49.866666666667","27.67","26.47","0.957","1.20","1.16","2.3","8.42","7.22","0.857","1.20","0.33","3.61","3.61","1.000","0.00","0.34","14.44","14.44","1.000","0.00","0.41","0","2.41","38.00","14.00"
"88","Jeremy Swayman","BOS","10","507.71666666667","50.771666666667","27.42","26.12","0.953","1.30","1.04","1.82","5.79","5.2","0.898","0.59","0.46","6.97","6.74","0.966","0.24","0.42","13.71","13.24","0.966","0.47","-0.08","1.18","2.84","36.63","22.64"
"59","Juuse Saros","NSH","36","1724.1666666667","47.893518518519","31.84","30","0.942","1.84","0.87","2.31","7.9","6.79","0.859","1.11","0.32","8.67","8.25","0.952","0.42","0.40","13.99","13.68","0.978","0.31","0.08","1.22","3.51","34.75","18.23"
"80","Filip Gustavsson","OTT","9","389.85","43.316666666667","32.78","30.78","0.939","2.00","0.79","2.27","6.77","5.69","0.841","1.08","0.15","7.85","7.08","0.902","0.77","-0.03","16.62","16.47","0.991","0.15","0.32","2.15","3.08","37.81","19.46"
"63","Alex Nedeljkovic","CAR","23","1177.3666666667","51.189855072464","28.13","26.4","0.938","1.73","0.67","2.12","6.98","5.96","0.854","1.02","0.25","7.95","7.44","0.936","0.51","0.24","11.72","11.52","0.983","0.20","0.13","1.12","3.06","35.34","19.53"
"35","Petr Mrazek","CAR","12","577.51666666667","48.126388888889","27.64","25.87","0.936","1.77","0.59","2.51","9.56","8.31","0.870","1.25","0.49","6.96","6.65","0.955","0.31","0.34","10.29","10.08","0.980","0.21","0.08","1.25","3.64","31.03","15.24"
"17","Semyon Varlamov","NYI","36","1827.3166666667","50.758796296296","28.7","26.83","0.935","1.87","0.57","2.04","6.63","5.58","0.842","1.05","0.16","9.13","8.6","0.942","0.53","0.33","11.79","11.49","0.975","0.30","0.04","1.28","2.53","34.64","21.88"
"49","Chris Driedger","FLA","23","1126.5333333333","48.979710144928","28.17","26.31","0.934","1.86","0.54","2.05","6.55","5.38","0.821","1.17","0.02","7.08","6.82","0.962","0.27","0.40","12.78","12.41","0.971","0.37","-0.01","1.49","3.2","37.76","23.86"
"47","Andrei Vasilevskiy","T.B","42","2066","49.190476190476","29.62","27.62","0.932","2.00","0.52","2.16","8.51","7.41","0.870","1.10","0.44","8.97","8.31","0.926","0.67","0.17","11.04","10.8","0.979","0.23","0.08","1.28","2.73","33.87","21.13"
