"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"930","Cole Smith","NSH","L","1","5.95","5.95","40.34","131.09","23.53","30.25","80.67","27.27","20.17","70.59","22.22","0","0","-","1.12","1.76","38.99","10.08","30.25","25.00","10.08","10.08","50.00","0","0","-","0","26.89","0.00","0","0","-","43.7","131.09","25.00","0","0","-","0.00","100.00","1.000","0","30.25","0","60.5","-","0","40.34","20.17","0.00"
"599","Guillaume Brisebois","VAN","D","1","10.633333333333","10.633333333333","28.21","112.85","20.00","16.93","95.92","15.00","5.64","73.35","7.14","0","0","-","0.87","6.73","11.43","16.93","67.71","20.00","0","28.21","0.00","0","0","-","22.57","52.66","30.00","0","0","-","8.15","57.05","12.50","0","0","-","0.00","100.00","1.000","5.64","16.93","0","50.78","100.00","5.64","16.93","5.64","50.00"
"574","A.J. Greer","N.J","L","1","8.55","8.55","28.07","112.28","20.00","28.07","98.25","22.22","7.02","84.21","7.69","0","0","-","1.41","8.67","13.97","28.07","70.18","28.57","7.02","35.09","16.67","0","0","-","28.07","46.78","37.50","0","0","-","0","60.82","0.00","0","0","-","0.00","100.00","1.000","0","14.04","7.02","63.16","0.00","7.02","14.04","14.04","33.33"
"762","Jake Leschyshyn","VGK","C","2","20.383333333333","10.191666666667","38.27","105.97","26.53","29.44","82.42","26.32","29.44","58.87","33.33","0","0","-","4.49","6.59","40.53","26.49","58.87","31.03","17.66","32.38","35.29","0","0","-","11.77","35.32","25.00","0","0","-","17.01","55.27","23.53","0","0","-","0.00","100.00","1.000","0","17.66","5.89","61.82","0.00","5.89","29.44","17.66","25.00"
"772","Jonas Rondbjerg","VGK","R","1","10.166666666667","10.166666666667","23.61","100.33","19.05","17.7","76.72","18.75","17.7","59.02","23.08","0","0","-","1.19","5.37","18.13","17.7","47.21","27.27","11.8","35.41","25.00","0","0","-","7.87","15.74","33.33","0","0","-","8.52","59.67","12.50","0","0","-","0.00","100.00","1.000","5.9","11.8","5.9","64.92","50.00","11.8","29.51","17.7","40.00"
"756","Jonah Gadjovich","VAN","L","1","4.9166666666667","4.9166666666667","12.2","97.63","11.11","12.2","61.02","16.67","0","36.61","0.00","0","12.2","0.00","0.09","3.35","2.59","0","36.61","0.00","0","24.41","0.00","0","12.2","0.00","0","16.27","0.00","0","0","-","17.63","52.88","25.00","0","0","-","-","66.67","0.67","12.2","12.2","12.2","48.81","50.00","24.41","24.41","24.41","50.00"
"124","Luca Sbisa","NSH","D","1","11.2","11.2","42.86","96.43","30.77","21.43","48.21","30.77","16.07","26.79","37.50","0","0","-","1.51","2.81","34.89","21.43","53.57","28.57","10.71","16.07","40.00","0","0","-","14.29","50","22.22","0","0","-","23.21","61.9","27.27","0","0","-","0.00","100.00","1.000","10.71","10.71","16.07","48.21","40.00","10.71","16.07","32.14","25.00"
"942","Hendrix Lapierre","WSH","C","2","16.35","8.175","22.02","91.74","19.35","14.68","58.72","20.00","14.68","44.04","25.00","3.67","0","100.00","0.87","3.09","21.95","11.01","44.04","20.00","3.67","22.02","14.29","0","0","-","9.79","29.36","25.00","4.89","0","100.00","15.9","68.91","18.75","0","0","-","25.00","100.00","1.250","14.68","14.68","0","51.38","100.00","22.02","14.68","3.67","85.71"
"818","Drake Rymsha","L.A","C","1","13.266666666667","13.266666666667","31.66","90.45","25.93","22.61","67.84","25.00","18.09","49.75","26.67","4.52","0","100.00","1.02","3.84","21.06","4.52","54.27","7.69","4.52","13.57","25.00","4.52","0","100.00","0","54.27","0.00","0","0","-","39.2","52.26","42.86","0","0","-","25.00","100.00","1.250","9.05","4.52","9.05","54.27","50.00","9.05","9.05","22.61","28.57"
"853","Alec Regula","CHI","D","3","35.516666666667","11.838888888889","32.1","89.54","26.39","18.58","72.64","20.37","13.51","55.75","19.51","0","1.69","0.00","0.82","6.21","11.66","13.51","48.99","21.62","1.69","28.72","5.56","0","1.69","0.00","15.77","27.03","36.84","0","0","-","24.4","46.36","34.48","0","0","-","0.00","96.97","0.970","5.07","6.76","6.76","48.99","42.86","13.51","11.83","20.27","40.00"
"923","Lean Bergmann","S.J","C","1","10.316666666667","10.316666666667","46.53","87.24","34.78","34.89","69.79","33.33","17.45","52.34","25.00","0","5.82","0.00","1.37","5.29","20.54","5.82","63.97","8.33","0","29.08","0.00","0","5.82","0.00","7.75","46.53","14.29","0","0","-","58.8","33.6","63.64","0","0","-","0.00","88.89","0.889","11.63","23.26","5.82","52.34","66.67","17.45","23.26","11.63","60.00"
"702","Keaton Middleton","COL","D","3","27.8","9.2666666666667","49.64","84.17","37.10","41.01","73.38","35.85","25.9","53.96","32.43","0","2.16","0.00","2","3.51","36.32","28.06","21.58","56.52","8.63","12.95","40.00","0","0","-","25.9","11.51","69.23","0","2.88","0.00","28.06","71.7","28.13","0","0","-","0.00","96.00","0.960","4.32","2.16","8.63","71.22","33.33","12.95","4.32","17.27","42.86"
"917","Vasily Podkolzin","VAN","R","4","35.166666666667","8.7916666666667","52.89","81.9","39.24","35.83","49.48","42.00","30.71","37.54","45.00","3.41","3.41","50.00","2.56","3.26","44.04","27.3","44.36","38.10","15.36","15.36","50.00","0","1.71","0.00","15.92","38.67","29.17","4.55","0","100.00","29.57","44.36","40.00","0","2.46","0.00","11.11","90.91","1.020","13.65","11.94","3.41","59.72","80.00","23.89","17.06","8.53","73.68"
"523","Louie Belpedio","MIN","D","1","11.816666666667","11.816666666667","35.54","81.24","30.43","35.54","71.09","33.33","25.39","40.62","38.46","0","5.08","0.00","0.66","4.84","11.97","5.08","40.62","11.11","0","20.31","0.00","0","5.08","0.00","6.77","27.08","20.00","0","0","-","44.01","51.34","46.15","0","0","-","0.00","87.50","0.875","5.08","5.08","10.16","50.78","33.33","10.16","15.23","15.23","40.00"
"149","Matt Bartkowski","MIN","D","1","11.366666666667","11.366666666667","36.95","79.18","31.82","36.95","68.62","35.00","26.39","36.95","41.67","0","5.28","0.00","0.68","4.7","12.71","5.28","36.95","12.50","0","21.11","0.00","0","5.28","0.00","7.04","21.11","25.00","0","0","-","45.75","53.37","46.15","0","0","-","0.00","85.71","0.857","5.28","5.28","10.56","52.79","33.33","10.56","15.84","15.84","40.00"
"905","Cam York","PHI","D","3","52.233333333333","17.411111111111","53.99","76.96","41.23","35.61","55.14","39.24","22.97","42.5","35.09","1.15","2.3","33.33","1.33","2.85","31.78","19.53","27.57","41.46","6.89","16.08","30.00","0","2.3","0.00","16.85","15.32","52.38","0","0","-","39.82","56.41","41.38","1.66","0","100.00","5.00","94.59","0.996","11.49","8.04","9.19","50.54","55.56","18.38","12.64","17.23","51.61"
"415","Jonny Brodzinski","NYR","C","5","53.8","10.76","39.03","76.95","33.65","33.46","62.45","34.88","23.42","37.92","38.18","1.12","1.12","50.00","1.44","3.93","26.77","11.15","40.15","21.74","5.58","21.19","20.83","1.12","1.12","50.00","7.43","25.28","22.73","0","0","-","33.83","49.94","40.38","0","0","-","4.76","97.06","1.018","10.04","13.38","7.81","62.45","56.25","16.73","20.07","22.3","42.86"
"959","Mason McTavish","ANA","C","3","24.383333333333","8.1277777777778","44.29","76.28","36.73","36.91","66.44","35.71","19.69","51.67","27.59","4.92","2.46","66.67","1.79","4.91","26.69","17.22","46.75","26.92","7.38","17.22","30.00","2.46","2.46","50.00","13.12","39.37","25.00","3.28","0","100.00","35.54","31.99","52.63","0","0","-","25.00","95.24","1.202","2.46","9.84","9.84","61.52","20.00","9.84","14.76","24.61","28.57"
"256","Michael Sgarbossa","WSH","C","5","42.033333333333","8.4066666666667","61.38","75.65","44.79","45.68","57.1","44.44","35.69","48.53","42.37","5.71","2.85","66.67","2.14","5.4","28.42","24.27","31.4","43.59","9.99","12.85","43.75","2.85","1.43","66.67","19.03","24.74","43.48","1.9","0","100.00","51.55","45.36","53.19","2.06","2.06","50.00","16.00","94.12","1.101","11.42","15.7","0","51.39","100.00","11.42","19.98","5.71","66.67"
"858","Sampo Ranta","COL","L","4","41.333333333333","10.333333333333","50.81","75.48","40.23","29.03","50.81","36.36","26.13","40.65","39.13","0","1.45","0.00","1.43","2.89","33.08","27.58","27.58","50.00","7.26","13.06","35.71","0","0","-","27.1","19.35","58.33","0","1.94","0.00","23.06","60.81","27.50","0","0","-","0.00","96.43","0.964","8.71","8.71","10.16","58.06","46.15","13.06","11.61","17.42","42.86"
"634","Dmytro Timashov","NYI","L","1","7.1666666666667","7.1666666666667","33.49","75.35","30.77","25.12","66.98","27.27","25.12","50.23","33.33","0","16.74","0.00","0.23","2.53","8.50","0","33.49","0.00","0","8.37","0.00","0","0","-","0","33.49","0.00","0","22.33","0.00","48.37","48.37","50.00","0","0","-","0.00","66.67","0.667","16.74","0","0","58.6","100.00","25.12","0","8.37","75.00"
"660","Joey Anderson","TOR","R","1","9.6","9.6","37.5","75","33.33","12.5","56.25","18.18","6.25","31.25","16.67","6.25","0","100.00","0.54","2.68","16.85","12.5","25","33.33","0","12.5","0.00","0","0","-","16.67","16.67","50.00","8.33","0","100.00","36.11","54.17","40.00","0","0","-","100.00","100.00","2.000","12.5","6.25","0","62.5","100.00","25","12.5","18.75","57.14"
"891","Brady Keeper","FLA","D","1","7.2","7.2","16.67","75","18.18","8.33","41.67","16.67","0","33.33","0.00","0","0","-","0.19","4.55","4.06","0","58.33","0.00","0","41.67","0.00","0","0","-","0","22.22","0.00","0","0","-","24.07","24.07","50.00","0","0","-","-","100.00","1.00","16.67","25","0","50","100.00","25","33.33","0","100.00"
