"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"454","Patrick Brown","VGK","C","4","0.05","0.0125","0","2400","0.00","0","1200","0.00","0","1200","0.00","0","0","-","0","119.43","0.00","0","1200","0.00","0","1200","0.00","0","0","-","0","0","-","0","0","-","0","1733.33","0.00","0","0","-","-","100.00","1.00","0","0","0","1200","-","0","0","0","-"
"285","Brett Ritchie","CGY","R","35","0.083333333333333","0.0023809523809524","0","720","0.00","0","720","0.00","0","720","0.00","0","0","-","0","37.25","0.00","0","720","0.00","0","0","-","0","0","-","0","960","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","720","-","0","0","0","-"
"847","William Eklund","S.J","C","4","0.23333333333333","0.058333333333333","0","514.29","0.00","0","257.14","0.00","0","257.14","0.00","0","0","-","0","21.31","0.00","0","514.29","0.00","0","0","-","0","0","-","0","685.71","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","257.14","-","0","0","0","-"
"377","Liam O'Brien","ARI, COL","C","13","0.51666666666667","0.03974358974359","0","348.39","0.00","0","348.39","0.00","0","232.26","0.00","0","116.13","0.00","0","54.6","0.00","0","232.26","0.00","0","232.26","0.00","0","116.13","0.00","0","0","-","0","0","-","0","167.74","0.00","0","0","-","-","50.00","0.50","0","0","0","232.26","-","0","0","0","-"
"749","Sheldon Dries","COL","C","3","0.83333333333333","0.27777777777778","0","288","0.00","0","72","0.00","0","72","0.00","0","0","-","0","3.99","0.00","0","144","0.00","0","0","-","0","0","-","0","192","0.00","0","0","-","0","208","0.00","0","0","-","-","100.00","1.00","0","0","0","72","-","0","0","0","-"
"55","Ryan Reaves","NYR, VGK","R","42","0.25","0.005952380952381","0","240","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","346.67","0.00","0","0","-","-","-","-","0","240","0","240","-","0","240","0","-"
"120","Luca Sbisa","NSH","D","1","0.76666666666667","0.76666666666667","0","234.78","0.00","0","234.78","0.00","0","234.78","0.00","0","78.26","0.00","0","31.1","0.00","0","234.78","0.00","0","156.52","0.00","0","0","-","0","104.35","0.00","0","104.35","0.00","0","0","-","0","0","-","-","66.67","0.67","0","0","0","234.78","-","0","0","78.26","0.00"
"190","Anders Lee","NYI","L","30","0.58333333333333","0.019444444444444","308.57","205.71","60.00","308.57","205.71","60.00","102.86","205.71","33.33","0","102.86","0.00","20.61","40.41","33.78","205.71","0","100.00","205.71","0","100.00","0","0","-","0","0","-","0","0","-","148.57","148.57","50.00","0","0","-","0.00","50.00","0.500","0","0","0","411.43","-","0","0","0","-"
"797","Jasper Weatherby","S.J","C","4","0.58333333333333","0.14583333333333","0","205.71","0.00","0","102.86","0.00","0","102.86","0.00","0","0","-","0","11.91","0.00","0","205.71","0.00","0","102.86","0.00","0","0","-","0","137.14","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","102.86","-","0","0","0","-"
"756","Kiefer Sherwood","COL","L","16","2.6333333333333","0.16458333333333","45.57","205.06","18.18","45.57","91.14","33.33","45.57","91.14","33.33","0","0","-","1.42","13.7","9.38","22.78","136.71","14.29","0","45.57","0.00","0","0","-","30.38","121.52","20.00","0","0","-","0","98.73","0.00","0","0","-","0.00","100.00","1.000","0","0","45.57","91.14","0.00","0","0","45.57","0.00"
"560","Guillaume Brisebois","VAN","D","1","0.88333333333333","0.88333333333333","0","203.77","0.00","0","203.77","0.00","0","203.77","0.00","0","0","-","0","25.06","0.00","0","135.85","0.00","0","67.92","0.00","0","0","-","0","90.57","0.00","0","0","-","0","98.11","0.00","0","0","-","-","100.00","1.00","0","0","67.92","0","0.00","0","0","135.85","0.00"
"309","Rickard Rakell","ANA","L","57","1.5166666666667","0.026608187134503","39.56","197.8","16.67","39.56","158.24","20.00","39.56","79.12","33.33","0","0","-","1.23","22.96","5.09","0","158.24","0.00","0","39.56","0.00","0","0","-","0","158.24","0.00","0","0","-","57.14","0","100.00","0","0","-","0.00","100.00","1.000","79.12","0","0","356.04","100.00","79.12","0","39.56","66.67"
"833","Alexis Lafrenière","NYR","L","61","2.15","0.035245901639344","0","195.35","0.00","0","139.53","0.00","0","111.63","0.00","0","0","-","0","11.01","0.00","0","167.44","0.00","0","27.91","0.00","0","0","-","0","186.05","0.00","0","0","-","0","40.31","0.00","0","0","-","-","100.00","1.00","27.91","0","0","167.44","100.00","27.91","0","0","100.00"
"648","Nick Caamano","DAL","R","24","0.61666666666667","0.025694444444444","0","194.59","0.00","0","194.59","0.00","0","194.59","0.00","0","0","-","0","13.01","0.00","0","97.3","0.00","0","0","-","0","0","-","0","129.73","0.00","0","0","-","0","140.54","0.00","0","0","-","-","100.00","1.00","0","0","97.3","97.3","0.00","0","0","97.3","0.00"
"447","Josh Currie","PIT","R","1","1.25","1.25","0","192","0.00","0","144","0.00","0","96","0.00","0","0","-","0","10.94","0.00","0","96","0.00","0","0","-","0","0","-","0","128","0.00","0","0","-","0","138.67","0.00","0","0","-","-","100.00","1.00","0","0","48","48","0.00","0","0","48","0.00"
"219","Vladimir Tarasenko","STL","R","27","0.65","0.024074074074074","92.31","184.62","33.33","92.31","92.31","50.00","92.31","0","100.00","0","0","-","3.31","41.54","7.39","92.31","0","100.00","92.31","0","100.00","0","0","-","0","0","-","0","0","-","0","266.67","0.00","0","0","-","0.00","-","0.00","0","0","0","92.31","-","0","0","0","-"
