"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"930","Cole Smith","NSH","L","1","5.95","5.95","-28.35","79.91","-33.77","-20.93","48.35","-34.02","-14.85","45","-35.56","-4.04","-1.35","-","-1.5","0.2","-23.79","-12.81","12.74","-31.67","3.35","4.7","-5.56","0","-1.35","-","-21.55","10.73","-57.14","-3.59","0","-100.00","-14.66","98.02","-38.83","-1.95","0","-100.00","0.00","100.00","1.000","0","30.25","0","60.5","-","0","40.34","20.17","0.00"
"574","A.J. Greer","N.J","L","1","8.55","8.55","-16.19","62.97","-27.30","-2.28","55.25","-19.16","-17.01","47.54","-31.89","0","-3.79","-","0.24","6.14","-17.58","6.57","36.03","-10.06","3.22","26.24","-13.33","0","0","-","4.47","13.06","-3.68","0","-3.37","0.00","-31.05","40.73","-60.71","0","-1.83","0.00","0.00","100.00","1.000","0","14.04","7.02","63.16","0.00","7.02","14.04","14.04","33.33"
"599","Guillaume Brisebois","VAN","D","1","10.633333333333","10.633333333333","-18.66","53.89","-24.29","-13.31","56.61","-28.48","-18.55","46.14","-39.92","-4.54","-1.51","-","-0.94","4.01","-28.52","-10.29","25.38","-19.13","-7.56","14.61","-35.71","-3.02","0","-","-3.64","14.36","-10.63","-2.02","-2.02","-50.00","-7.14","37.4","-31.25","0","0","-","0.00","100.00","1.000","5.64","16.93","0","50.78","100.00","5.64","16.93","5.64","50.00"
"124","Luca Sbisa","NSH","D","1","11.2","11.2","-2.23","47.87","-17.38","-9.79","17","-19.23","0.46","9.44","-9.87","-1.73","0","-","-0.04","0.88","-9.61","0.62","24.09","-12.81","3.78","3.93","3.64","-1.73","0","-","-4.21","26.88","-22.22","0","0","-","-6.84","36.86","-27.27","0","0","-","0.00","100.00","1.000","10.71","10.71","16.07","48.21","40.00","10.71","16.07","32.14","25.00"
"942","Hendrix Lapierre","WSH","C","2","16.35","8.175","-30.09","46.67","-34.27","-24.76","27.03","-35.45","-12.79","25.02","-34.09","2.97","-1.41","66.67","-0.6","1.24","-22.30","-13.64","20.8","-31.47","1.56","14.27","-7.14","0","0","-","-20.26","8.7","-34.26","3.95","-0.94","50.00","-15.63","43.48","-36.61","0","-1.02","0.00","25.00","100.00","1.250","14.68","14.68","0","51.38","100.00","22.02","14.68","3.67","85.71"
"881","Jesse Ylonen","MTL","R","1","10.083333333333","10.083333333333","13.3","41.98","-16.11","14.77","35.43","-14.33","-20.19","26.94","-46.35","-2.67","-2.67","-","0.39","1.9","-15.29","7.02","23.67","-19.93","0.6","5.21","-11.11","-1.34","-1.34","-","8.56","24.6","-26.47","-1.78","-1.78","-50.00","14.87","30.32","-13.33","0","0","-","0.00","100.00","1.000","5.95","17.85","0","53.55","100.00","17.85","23.8","11.9","60.00"
"762","Jake Leschyshyn","VGK","C","2","20.383333333333","10.191666666667","-20.98","39.31","-20.53","-16.35","35.29","-22.96","-6.92","20.49","-15.32","-2.02","-4.71","-","2.09","3.54","-3.56","-5.82","23.19","-16.49","6.89","18.91","-9.15","-1.35","-3.37","-","-16.95","5.7","-24.23","-0.9","-0.9","-50.00","-18","18.32","-25.12","0","-0.97","0.00","0.00","100.00","1.000","0","17.66","5.89","61.82","0.00","5.89","29.44","17.66","25.00"
"891","Brady Keeper","FLA","D","1","7.2","7.2","-29.08","35.36","-35.39","-31.31","5.07","-35.33","-30.5","13.51","-60.61","0","-3.05","-","-2.62","1.02","-40.31","-28.97","38.51","-59.38","-18.3","30.99","-63.16","0","-1.52","-","-14.23","10.02","-53.85","0","-2.03","0.00","2.05","-2.36","4.55","0","0","-","-","100.00","1.00","16.67","25","0","50","100.00","25","33.33","0","100.00"
"917","Vasily Podkolzin","VAN","R","4","35.166666666667","8.7916666666667","-6.42","35.09","-16.65","-9.19","12.67","-13.02","-7.52","8.95","-12.22","1.98","0.2","19.23","0.11","0.29","-1.21","0.14","22.21","-16.98","4.99","4.28","1.67","-0.71","-0.08","-28.57","-6.47","23.9","-31.09","4.55","0","100.00","-11.72","13.91","-17.55","-1.03","1.43","-50.00","11.11","90.91","1.020","13.65","11.94","3.41","59.72","80.00","23.89","17.06","8.53","73.68"
"702","Keaton Middleton","COL","D","3","27.8","9.2666666666667","-14.91","34.78","-19.56","-4.96","34.75","-18.49","-6.37","29.02","-23.98","-3.91","1.67","-88.89","-1.37","1.55","-26.83","-5.68","-0.91","-3.48","-6.04","4.15","-22.50","-2.93","0","-","0.47","-6.75","11.02","-0.65","2.88","-100.00","-11.5","36.39","-24.71","0","-0.71","0.00","0.00","96.00","0.960","4.32","2.16","8.63","71.22","33.33","12.95","4.32","17.27","42.86"
