"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"836","Sampo Ranta","COL","L","3","24.533333333333","8.1777777777778","9.25","51.31","-11.43","3.39","34.69","-11.40","4.87","23.45","-8.97","-1.96","-2.94","-26.67","-0.06","1.77","-10.70","0.96","11.71","-7.69","-3.92","11.24","-26.11","-1.47","0.49","-42.86","6.51","0.63","7.63","0","-2.61","0.00","8.45","52.96","-16.37","-0.71","-1.41","-33.33","0.00","95.65","0.957","4.89","9.78","9.78","66.03","33.33","7.34","9.78","14.67","33.33"
"124","Luca Sbisa","NSH","D","1","11.2","11.2","-2.23","47.87","-17.38","-9.79","17","-19.23","0.46","9.44","-9.87","-1.73","0","-","-0.04","0.88","-9.61","0.62","24.09","-12.81","3.78","3.93","3.64","-1.73","0","-","-4.21","26.88","-22.22","0","0","-","-6.84","36.86","-27.27","0","0","-","0.00","100.00","1.000","10.71","10.71","16.07","48.21","40.00","10.71","16.07","32.14","25.00"
"864","Brady Keeper","FLA","D","1","7.2","7.2","-29.08","35.36","-35.39","-31.31","5.07","-35.33","-30.5","13.51","-60.61","0","-3.05","-","-2.62","1.02","-40.31","-28.97","38.51","-59.38","-18.3","30.99","-63.16","0","-1.52","-","-14.23","10.02","-53.85","0","-2.03","0.00","2.05","-2.36","4.55","0","0","-","-","100.00","1.00","16.67","25","0","50","100.00","25","33.33","0","100.00"
"888","Vasily Podkolzin","VAN","R","4","35.166666666667","8.7916666666667","-6.42","35.09","-16.65","-9.19","12.67","-13.02","-7.52","8.95","-12.22","1.98","0.2","19.23","0.11","0.29","-1.21","0.14","22.21","-16.98","4.99","4.28","1.67","-0.71","-0.08","-28.57","-6.47","23.9","-31.09","4.55","0","100.00","-11.72","13.91","-17.55","-1.03","1.43","-50.00","11.11","90.91","1.020","13.65","11.94","3.41","59.72","80.00","23.89","17.06","8.53","73.68"
"194","Byron Froese","CGY","C","3","20.75","6.9166666666667","-29.48","33.86","-27.92","-21.84","12.99","-23.96","-19.66","16.75","-30.25","-3.48","-1.99","-","-2.06","-0.14","-30.11","-22.56","17.93","-38.89","-13.92","-0.37","-53.85","-1.99","-0.99","-","-11.51","24.39","-32.49","-1.33","-0.66","-66.67","-5.69","21.85","-15.73","-0.72","0","-100.00","0.00","100.00","1.000","0","14.46","14.46","57.83","0.00","2.89","17.35","34.7","7.69"
"742","Jake Leschyshyn","VGK","C","1","10.95","10.95","-33.36","33.58","-26.54","-25.74","32.63","-28.89","-17.87","18.34","-25.36","-2.62","-5.24","-","-1.47","2.52","-32.55","-20.49","9.76","-28.00","-5","21.08","-32.77","-1.31","-3.93","-","-20.65","-15.09","-15.15","-1.75","-1.75","-50.00","-18.59","31.82","-26.81","0","0","-","0.00","100.00","1.000","0","16.44","5.48","54.79","0.00","10.96","32.88","27.4","28.57"
"921","Matt Kiersted","FLA","D","4","57.566666666667","14.391666666667","-20.01","32.3","-24.53","-16.02","24.76","-24.18","-18.04","16.48","-28.65","-2.58","2.21","-46.15","-2.36","1.69","-35.34","-18.78","18.02","-33.71","-12.82","16.43","-50.50","-0.86","0.8","-40.00","-7.94","2.12","-12.98","-1.14","-0.33","-40.00","-7.98","20.45","-22.34","-1.24","2.39","-66.67","0.00","86.11","0.861","5.21","11.46","7.3","52.11","41.67","13.55","14.59","14.59","48.15"
"17","Brian Boyle","PIT","C","2","13","6.5","-20.15","32.25","-18.66","-23.41","12.24","-18.85","-22.78","20.65","-29.29","-0.45","5.61","-25.00","-2.02","1.37","-27.88","4.63","26.44","-13.19","-5.24","7.61","-23.81","2.44","1.72","7.14","13.17","25.11","-8.69","-0.96","5.19","-50.00","-30.57","1.33","-28.16","-1.05","0","-100.00","25.00","83.33","1.083","4.62","18.46","18.46","60","20.00","9.23","36.92","27.69","25.00"
"924","Cole Sillinger","CBJ","C","1","7.7833333333333","7.7833333333333","-23.27","30.68","-21.67","-30.95","18.35","-27.45","-12.41","4.5","-13.78","0","-6.18","-","-1.88","-3.07","-9.48","-12.41","16.88","-23.65","-7.75","7.67","-25.00","0","-1.55","-","-6.21","12.29","-22.06","0","-4.12","0.00","-13.45","22.16","-19.44","0","-2.23","0.00","0.00","100.00","1.000","0","15.42","15.42","38.54","0.00","0","15.42","30.84","0.00"
"513","Louie Belpedio","MIN","D","1","11.816666666667","11.816666666667","-23.29","30.58","-23.30","-5.31","33.5","-18.75","-7.29","12.84","-15.59","0","1.81","0.00","-2.19","0.79","-29.33","-24.34","19.38","-46.95","-14.71","12.14","-64.29","0","3.44","0.00","-12.84","9.65","-32.94","0","0","-","10.96","18.29","-3.85","0","0","-","0.00","87.50","0.875","5.08","5.08","10.16","50.78","33.33","10.16","15.23","15.23","40.00"
