"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"680","Keaton Middleton","COL","D","1","7.9833333333333","7.9833333333333","-15.59","100.19","-31.47","5.68","86.75","-21.02","-7.75","68.84","-30.78","-4.56","7.52","-100.00","-0.22","5.92","-26.54","-3.28","34.38","-28.62","2.96","20.95","-13.33","-1.52","0","-","-8.31","17.91","-30.00","-2.03","10.02","-100.00","-13.39","88.58","-31.43","0","0","-","0.00","92.31","0.923","0","0","15.03","82.67","0.00","7.52","0","22.55","25.00"
"897","Cole Smith","NSH","L","1","5.95","5.95","-28.35","79.91","-33.77","-20.93","48.35","-34.02","-14.85","45","-35.56","-4.04","-1.35","-","-1.5","0.2","-23.79","-12.81","12.74","-31.67","3.35","4.7","-5.56","0","-1.35","-","-21.55","10.73","-57.14","-3.59","0","-100.00","-14.66","98.02","-38.83","-1.95","0","-100.00","0.00","100.00","1.000","0","30.25","0","60.5","-","0","40.34","20.17","0.00"
"561","A.J. Greer","N.J","L","1","8.55","8.55","-16.19","62.97","-27.30","-2.28","55.25","-19.16","-17.01","47.54","-31.89","0","-3.79","-","0.24","6.14","-17.58","6.57","36.03","-10.06","3.22","26.24","-13.33","0","0","-","4.47","13.06","-3.68","0","-3.37","0.00","-31.05","40.73","-60.71","0","-1.83","0.00","0.00","100.00","1.000","0","14.04","7.02","63.16","0.00","7.02","14.04","14.04","33.33"
"586","Guillaume Brisebois","VAN","D","1","10.633333333333","10.633333333333","-18.66","53.89","-24.29","-13.31","56.61","-28.48","-18.55","46.14","-39.92","-4.54","-1.51","-","-0.94","4.01","-28.52","-10.29","25.38","-19.13","-7.56","14.61","-35.71","-3.02","0","-","-3.64","14.36","-10.63","-2.02","-2.02","-50.00","-7.14","37.4","-31.25","0","0","-","0.00","100.00","1.000","5.64","16.93","0","50.78","100.00","5.64","16.93","5.64","50.00"
"793","Sebastian Aho","NYI","D","1","12.833333333333","12.833333333333","1.72","49.92","-17.04","-1.01","34.78","-18.65","4","16.25","-7.14","1.45","6.12","-16.67","0.19","2.46","-15.77","0.94","24.32","-19.23","4.51","16.92","-14.29","1.45","9.35","-66.67","-4.75","9.87","-20.00","0","-4.3","0.00","-0.97","35.13","-21.40","0","0","-","20.00","77.78","0.978","9.35","14.03","4.68","56.1","66.67","23.38","18.7","14.03","62.50"
"909","Hendrix Lapierre","WSH","C","2","16.35","8.175","-30.09","46.67","-34.27","-24.76","27.03","-35.45","-12.79","25.02","-34.09","2.97","-1.41","66.67","-0.6","1.24","-22.30","-13.64","20.8","-31.47","1.56","14.27","-7.14","0","0","-","-20.26","8.7","-34.26","3.95","-0.94","50.00","-15.63","43.48","-36.61","0","-1.02","0.00","25.00","100.00","1.250","14.68","14.68","0","51.38","100.00","22.02","14.68","3.67","85.71"
"739","Jake Leschyshyn","VGK","C","1","9.4333333333333","9.4333333333333","-5.63","45","-16.48","-4.5","37.56","-18.82","6.58","22.63","-9.08","-1.38","-4.15","-","6.22","4.76","9.41","11.29","38.94","-10.22","20.73","16.57","7.89","-1.38","-2.77","-","-12.58","29.83","-27.78","0","0","-","-16.44","1.56","-12.86","0","-2","0.00","0.00","100.00","1.000","0","19.08","6.36","69.96","0.00","0","25.44","6.36","0.00"
"851","Jesse Ylonen","MTL","R","1","10.083333333333","10.083333333333","13.3","41.98","-16.11","14.77","35.43","-14.33","-20.19","26.94","-46.35","-2.67","-2.67","-","0.39","1.9","-15.29","7.02","23.67","-19.93","0.6","5.21","-11.11","-1.34","-1.34","-","8.56","24.6","-26.47","-1.78","-1.78","-50.00","14.87","30.32","-13.33","0","0","-","0.00","100.00","1.000","5.95","17.85","0","53.55","100.00","17.85","23.8","11.9","60.00"
"873","Cam York","PHI","D","1","14.95","14.95","-32.54","41.74","-30.82","-32.64","26.52","-34.17","-23.41","21.1","-39.18","-5.32","2.24","-75.00","-2.08","1.06","-37.50","-18.93","14.38","-30.29","-6.62","12.98","-43.33","-5.32","2.24","-75.00","-16.41","1.87","-15.58","0","0","-","-6.86","27.92","-18.75","0","0","-","0.00","90.91","0.909","8.03","12.04","0","48.16","100.00","16.05","16.05","4.01","80.00"
"771","David Farrance","NSH","D","1","17.633333333333","17.633333333333","-0.74","40.79","-21.22","5.39","29.91","-16.46","15.63","21.75","-1.52","1.36","0","0.00","0.08","2.43","-29.21","14.26","14.96","-8.42","2.7","9.52","-22.22","3.4","0","-","15.4","7.24","3.64","0","0","-","-21.66","30.44","-44.61","-2.95","0","-100.00","10.00","100.00","1.100","10.21","0","10.21","64.65","50.00","13.61","10.21","10.21","57.14"
"825","Alec Regula","CHI","D","2","21.25","10.625","-4.07","39.62","-12.22","-8.73","40.24","-18.97","-8.97","36.26","-21.96","-4.73","-0.55","-58.33","-0.63","4.79","-22.45","-0.74","19.99","-8.95","-5.96","18.34","-28.42","-4.05","0.8","-66.67","6.95","2.19","10.83","-0.9","-1.8","-33.33","-5.95","13.01","-11.93","0","0","-","0.00","96.15","0.962","5.65","5.65","5.65","48","50.00","8.47","8.47","16.94","33.33"
"672","Jonathan Dahlen","S.J","C","1","10.55","10.55","12.7","38.77","-9.42","10.59","26.25","-11.27","5.17","14.18","-8.39","-1.66","4.03","-50.00","-0.2","2.44","-28.79","6.83","30.54","-20.63","1.4","10.41","-20.00","-1.66","-1.66","-","7.24","26.83","-20.83","0","7.58","0.00","15.68","8.48","4.84","0","0","-","0.00","83.33","0.833","11.37","22.75","5.69","56.87","66.67","11.37","34.12","11.37","50.00"
"852","Jasper Weatherby","S.J","C","1","6.4333333333333","6.4333333333333","-7.08","33.21","-15.71","0.01","29.1","-18.14","-6.71","27.24","-28.10","-1.49","7.83","-50.00","-1.54","1.64","-38.08","-16.04","7.09","-29.84","-11.94","0.37","-57.14","-1.49","-1.49","-","-5.47","8.96","-19.61","0","12.44","0.00","3.78","44.19","-16.67","0","0","-","0.00","80.00","0.800","0","37.31","0","55.96","-","18.65","37.31","9.33","66.67"
"252","Alex Belzile","MTL","R","1","11.5","11.5","10.13","32.23","-13.33","13.51","27.32","-10.87","-16.11","21.33","-37.65","-2.76","-2.76","-","0.3","1.44","-12.53","2.61","18.88","-19.93","-0.31","3.53","-11.11","-1.38","-1.38","-","3.89","20.46","-26.47","-1.84","-1.84","-50.00","16.85","23.28","-8.22","0","0","-","0.00","100.00","1.000","5.22","15.65","0","46.96","100.00","15.65","20.87","10.43","60.00"
"663","Carsen Twarynski","PHI","L","3","23.516666666667","7.8388888888889","-30.77","31.4","-28.34","-18.44","28.54","-26.20","-11.09","17.54","-23.18","-1.99","-2.99","-","-1.73","1.25","-36.51","-13.2","16.36","-30.60","-9.96","9.39","-54.05","-0.5","-1","-","-4.32","9.28","-16.67","-0.66","-1.33","-33.33","-20.33","23.8","-26.13","-1.44","-0.72","-66.67","0.00","100.00","1.000","5.1","12.76","5.1","66.34","50.00","7.65","12.76","15.31","33.33"
"273","Joseph Cramarossa","MIN","C","2","20.566666666667","10.283333333333","-10.64","29.23","-15.68","1.17","10.39","-3.31","-3.12","14.21","-11.48","-2.95","2.18","-80.00","-0.06","1.91","-16.92","-2.35","23.1","-19.37","-2.25","13.78","-31.25","-2.21","2.18","-75.00","-0.14","12.43","-11.44","0","0","-","-5.58","11.03","-9.40","-1.07","0","-100.00","0.00","93.75","0.938","8.75","20.42","5.83","52.51","60.00","14.59","20.42","14.59","50.00"
"836","Benoit-Olivier Groulx","ANA","C","2","24.666666666667","12.333333333333","2.2","28.45","-7.05","4.45","27.66","-7.16","-7.37","16.18","-17.27","-1.91","1.48","-66.67","0.86","2.38","-5.53","-2.07","18.96","-15.48","-0.34","10.34","-23.33","-0.95","2.43","-100.00","-2.31","11.48","-12.04","-1.27","0","-100.00","1.9","11.45","-3.19","0","-1.38","0.00","0.00","95.00","0.950","4.86","7.3","24.32","38.92","16.67","7.3","14.59","46.22","13.64"
"795","Ivan Chekhovich","S.J","L","3","31.033333333333","10.344444444444","-8.71","28.43","-15.59","-10.81","21.54","-16.83","-8.58","11.27","-13.83","-0.44","2.99","-13.33","-1.29","0.73","-17.79","-7.19","13.06","-16.10","-9.39","6.04","-30.26","-1.42","0.51","-50.00","2.94","9.36","-6.61","1.94","0.72","20.83","1.23","24.26","-13.92","-0.69","2.79","-100.00","7.69","83.33","0.910","7.73","7.73","7.73","54.14","50.00","11.6","11.6","21.27","35.29"
"890","Lean Bergmann","S.J","C","1","10.316666666667","10.316666666667","4.19","28.27","-7.01","4.66","18.38","-3.70","-3.72","10.01","-8.33","0","-1.74","0.00","-0.62","1.37","-13.14","-18.38","30.71","-33.77","-10.58","10.94","-36.84","0","2.79","0.00","-10.39","26.37","-33.08","0","-6.05","0.00","36.96","-1.34","25.17","0","0","-","0.00","88.89","0.889","11.63","23.26","5.82","52.34","66.67","17.45","23.26","11.63","60.00"
"199","Nate Prosser","PHI","D","1","13.383333333333","13.383333333333","-47.84","27.72","-36.00","-38.44","23.42","-41.85","-18.63","19.11","-35.24","-4.57","5.92","-60.00","-2.21","1.7","-51.95","-29.03","19.19","-60.83","-10.75","5.92","-50.00","-1.52","1.44","-33.33","-24.38","17.7","-66.67","-2.03","5.98","-100.00","-22.64","21.12","-27.78","-2.2","0","-100.00","0.00","75.00","0.750","17.93","8.97","0","62.76","100.00","17.93","17.93","0","100.00"
"197","Andrew Agozzino","ANA","L","1","15.666666666667","15.666666666667","-8.03","26.75","-15.88","0.8","2.51","-1.59","-3.58","-9.68","8.48","0","-4.69","-","0.67","-0.07","10.45","-6.71","8.76","-14.72","1.41","2.11","0.00","0","-3.13","-","-10.82","8.87","-20.77","0","0","-","-3.94","20.45","-16.14","0","-2.26","0.00","0.00","100.00","1.000","19.15","15.32","7.66","38.3","71.43","22.98","22.98","22.98","50.00"
"839","Nils Lundkvist","NYR","D","1","12.166666666667","12.166666666667","-19.41","26.73","-19.51","-23.7","4.97","-17.86","-21.25","12.58","-32.16","-3.13","3.36","-66.67","-2.4","0.64","-37.64","-22.82","15.94","-34.27","-7.61","7.19","-30.00","-1.57","3.36","-50.00","-20.28","11.67","-36.23","-2.09","0","-100.00","11.38","3.59","2.92","0","0","-","0.00","85.71","0.857","4.93","4.93","4.93","69.04","50.00","29.59","9.86","4.93","85.71"
"733","Jonah Gadjovich","VAN","L","1","4.9166666666667","4.9166666666667","-40.74","26.53","-31.57","-30.15","9.59","-28.49","-39.33","4.85","-55.32","-3.03","4.64","-28.57","-2.14","0.83","-44.42","-31.76","9.38","-53.85","-4.54","15.33","-33.33","-1.51","9.18","-33.33","-36.3","-7.93","-60.00","0","-2.02","0.00","-4.22","-3.93","-2.78","-2.18","-4.37","-33.33","-","66.67","0.67","12.2","12.2","12.2","48.81","50.00","24.41","24.41","24.41","50.00"
