"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"529","Patrick Brown","VGK","C","5","0.05","0.01","-10.53","2301.75","-9.68","-3.51","1140.35","-5.56","-3.51","1150.88","-6.67","0","-3.51","-","-0.01","113.98","-0.16","-3.51","1157.89","-7.69","0","1185.96","0.00","0","-3.51","-","-4.68","-37.43","-","0","0","-","-5.07","1667.45","-7.14","0","0","-","-","100.00","1.00","0","0","0","1200","-","0","0","0","-"
"863","Adam Johnson","PIT","C","7","0.21666666666667","0.030952380952381","-20.75","483.3","-22.73","-18.67","506.12","-28.13","-14.52","247.87","-33.33","-4.15","-8.3","-","-1.06","56.87","-21.89","-10.37","252.02","-29.41","-6.22","-6.22","-","-4.15","-2.07","-","-5.53","344.33","-18.18","0","-5.53","0.00","-5.99","343.05","-9.52","0","0","-","-","100.00","1.00","0","0","0","276.92","-","0","0","0","-"
"595","Anthony Angello","PIT","C","27","0.26666666666667","0.0098765432098765","-16.59","375.1","-18.14","-14.8","391.25","-20.12","-10.76","184.19","-20.87","-1.35","-5.83","-","-0.95","42.52","-15.74","-7.62","187.33","-16.83","-4.48","207.96","-20.83","-0.9","-3.14","-","-4.19","-27.51","-","-0.6","-2.39","-20.00","-10.37","276.41","-17.58","0","-1.3","0.00","-","100.00","1.00","0","0","0","225","-","0","0","0","-"
"224","Gabriel Dumont","MIN","C","3","0.2","0.066666666666667","-6.62","233.82","-9.09","-6.62","247.06","-11.11","0","266.91","0.00","0","-6.62","-","-0.25","10.67","-5.15","0","-39.71","-","0","-13.24","-","0","-6.62","-","0","-35.29","-","0","0","-","-9.56","395.1","-20.00","0","0","-","-","100.00","1.00","0","0","0","300","-","0","0","0","-"
"441","Liam O'Brien","ARI, COL","C","13","0.51666666666667","0.03974358974359","-8.77","232.82","-7.05","-7.17","263.91","-7.83","-5.58","171.69","-8.43","0","104.97","0.00","-0.45","48.43","-6.74","-3.19","181.25","-5.88","0","213.93","0.00","0","112.14","0.00","-4.25","-43.57","-","0","-7.44","0.00","-4.6","75.65","-4.76","0","-2.3","0.00","-","50.00","0.50","0","0","0","232.26","-","0","0","0","-"
"473","Peter Cehlarik","BOS","L","3","0.76666666666667","0.25555555555556","-13.36","214.16","-11.90","-10.69","235.54","-12.12","-10.69","89.71","-13.79","0","-8.02","-","-0.65","20.09","-7.23","-2.67","103.07","-4.76","-2.67","129.8","-9.09","0","-2.67","-","0","-35.63","-","0","-7.13","0.00","-3.86","160.46","-5.56","0","0","-","-","100.00","1.00","0","0","0","78.26","-","0","0","0","-"
"434","Joseph Blandisi","PIT","C","21","1.0666666666667","0.050793650793651","-13.42","203.44","-14.71","-10.73","106.37","-14.68","-8.72","123.81","-16.25","-2.01","50.88","-27.27","-0.76","4.6","-12.47","-6.71","78.29","-16.39","-3.35","-11.4","-","-2.01","-1.34","-","-4.47","119.59","-12.82","0","71.42","0.00","-2.91","184.65","-4.69","0","-0.97","0.00","-","66.67","0.67","0","0","0","112.5","-","0","0","0","-"
"861","Sheldon Dries","COL","C","8","0.83333333333333","0.10416666666667","-8.99","174.71","-7.35","-8.99","-1.73","-10.87","-7.19","19.85","-12.12","0","-7.19","-","-0.24","-2.68","-3.46","-1.8","88.26","-3.13","0","-23.38","-","0","-3.6","-","-2.4","148.84","-5.26","0","-2.4","0.00","-5.19","130.08","-6.25","0","-2.6","0.00","-","100.00","1.00","0","0","0","72","-","0","0","0","-"
"598","Sammy Blais","NYR, STL","L","78","0.26666666666667","0.0034188034188034","-14.04","132.03","-13.12","-13.21","154.65","-15.81","-11.23","171","-17.22","-1.32","-8.26","-","-0.76","13","-10.18","-3.8","176.28","-7.23","-1.82","-21.47","-","-0.83","-3.14","-","-2.64","263.67","-6.78","0","-3.96","0.00","-6.44","-61.06","-","-0.24","-3.1","-7.14","-","100.00","1.00","0","225","0","225","-","0","225","0","-"
"5","Justin Williams","CAR","R","20","1.1833333333333","0.059166666666667","-17.93","123.94","-18.52","-17.03","142.76","-22.09","-15.24","53.01","-23.94","-0.45","-4.48","-","-1.25","4.33","-17.59","-8.51","57.04","-16.10","-3.59","-19.72","-","-0.45","-2.69","-","-6.57","102.35","-16.67","0","-1.2","0.00","-5.18","98.58","-9.76","0","-1.29","0.00","-","100.00","1.00","0","0","0","0","-","0","0","0","-"
