"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"437","Patrick Brown","VGK","C","1","0.05","0.05","0","2287.15","0.00","0","1121","0.00","0","1121","0.00","0","0","-","0","112.53","0.00","0","1143.57","0.00","0","1188.71","0.00","0","0","-","0","-60.19","-","0","0","-","0","1651.83","0.00","0","0","-","-","100.00","1.00","0","0","0","1200","-","0","0","0","-"
"171","Tomas Tatar","MTL","L","26","0.21666666666667","0.0083333333333333","-13.84","455.7","-12.36","-12.16","474.57","-13.30","-10.07","215.27","-14.04","-2.1","-7.97","-","-0.88","19.13","-9.97","-7.55","214.43","-10.78","-3.36","251.34","-11.59","-1.26","-3.77","-","-5.59","-49.21","-","-1.12","-4.47","-20.00","-5.45","349.71","-9.78","0","-1.21","0.00","-","100.00","1.00","0","0","0","276.92","-","0","0","276.92","0.00"
"810","William Eklund","S.J","C","3","0.23333333333333","0.077777777777778","-4.92","396.25","-4.00","-4.92","173.54","-5.56","-4.92","207.96","-9.09","0","0","-","-0.51","14.29","-6.79","-4.92","440.52","-6.25","-4.92","-24.59","-","0","0","-","0","620.14","0.00","0","0","-","0","-63.93","-","0","0","-","-","100.00","1.00","0","0","0","257.14","-","0","0","0","-"
"400","Adam Erne","DET","L","23","0.55","0.023913043478261","-11.81","233.98","-11.24","-10.63","150.87","-13.64","-9.45","57.13","-15.38","0","-6.49","-","-0.3","1.96","-4.26","-3.54","59.49","-6.67","0","89.02","0.00","0","-1.18","-","-4.72","-39.36","-","0","-4.72","0.00","-3.41","254.6","-5.33","0","-2.56","0.00","-","100.00","1.00","0","0","218.18","109.09","0.00","0","0","218.18","0.00"
"364","Liam O'Brien","ARI, COL","C","10","0.51666666666667","0.051666666666667","-11.74","232.09","-9.17","-9.6","261.96","-10.00","-7.47","172.51","-11.11","0","103.33","0.00","-0.6","48.48","-8.89","-4.27","182.11","-7.84","0","213.05","0.00","0","112.93","0.00","-5.69","-41.26","-","0","-9.96","0.00","-6.16","73.73","-6.15","0","-3.08","0.00","-","50.00","0.50","0","0","0","232.26","-","0","0","0","-"
"797","Alexis Lafrenière","NYR","L","33","0.78333333333333","0.023737373737374","-13.16","212.35","-12.28","-11.66","162.08","-14.69","-9.4","183.15","-16.78","-1.13","-6.39","-","-1.21","17.53","-18.41","-6.02","112.57","-12.90","-3.01","64.94","-20.51","0","-2.63","-","-4.01","63.51","-9.41","0","-4.01","0.00","-4.89","147.39","-6.21","-0.54","-1.09","-33.33","-","100.00","1.00","76.6","0","0","153.19","100.00","76.6","0","0","100.00"
"644","Tarmo Reunanen","NYR","D","2","0.23333333333333","0.11666666666667","-36.27","184.6","-33.33","-36.27","211.8","-44.44","-36.27","229.94","-57.14","0","257.14","-","-2.26","13.69","-49.75","-9.07","239.01","-33.33","-9.07","-9.07","-","0","0","-","0","330.77","0.00","0","342.86","0.00","-26.2","-78.59","-","0","0","-","-","0.00","0.00","0","0","0","257.14","-","0","0","0","-"
"379","Will Butcher","BUF, N.J","D","12","0.48333333333333","0.040277777777778","108.38","163.16","17.71","-14.19","62.67","-18.75","-9.46","80","-17.65","-4.73","114.68","-33.33","-1.04","1.74","-14.02","-7.88","67.4","-12.20","-3.15","-26.8","-","-3.15","-7.88","-","-6.3","125.59","-13.64","-2.1","165.52","-100.00","172.48","138.33","35.71","0","-2.28","0.00","-","0.00","0.00","0","0","0","124.14","-","0","0","0","-"
"750","Liam Foudy","CBJ","C","11","1.6666666666667","0.15151515151515","57.88","155.96","9.40","60.7","185.62","7.68","60.7","162.33","7.61","0","33.18","0.00","3.05","26.74","-1.14","31.76","101.63","10.91","-4.24","128.46","-21.43","0","36","-","48","-35.78","100.00","0","-1.88","0.00","41.8","30.56","21.14","0","-2.04","0.00","0.00","83.33","0.833","0","0","72","72","0.00","0","0","72","0.00"
"512","Jack Eichel","BUF","C","12","1.05","0.0875","-14.85","137.98","-14.08","-11.88","160.25","-14.81","-10.4","175.11","-16.28","0","51.2","0.00","-0.39","48.08","-6.77","-4.46","134.3","-10.71","0","159.55","0.00","0","54.17","0.00","-5.94","-33.66","-","0","0","-","-6.44","9.6","-8.11","0","-4.29","0.00","-","75.00","0.75","0","0","114.29","57.14","0.00","0","0","114.29","0.00"
"739","Mattias Samuelsson","BUF","D","6","15.416666666667","2.5694444444444","-9.37","118.93","-12.36","-13.26","127.14","-18.18","-13.26","59.83","-20.00","-6.63","2.31","-33.33","-0.46","11.63","-8.92","-6.63","92.55","-14.29","0","19.03","0.00","0","-9.37","0.00","-8.84","98.02","-25.00","-8.84","5.19","-100.00","5.62","32.49","5.88","0","11.24","0.00","-","86.21","0.86","0","3.89","38.92","15.57","0.00","0","7.78","70.05","0.00"
"458","Tony DeAngelo","CAR, NYR","D","7","0.3","0.042857142857143","-16.23","118.85","-16.67","-9.74","136.7","-13.33","-8.12","-51.94","-","0","-9.74","-","-0.75","12.66","-10.44","-6.49","157.8","-13.33","-4.87","-21.1","-","0","-6.49","-","-2.16","238.53","-7.14","0","-4.33","0.00","-11.72","-46.89","-","0","0","-","-","-","-","0","0","0","0","-","0","0","0","-"
"761","Dominik Kahun","EDM","C","24","0.26666666666667","0.011111111111111","-10.98","115.19","-9.09","-10.37","146.91","-11.72","-6.71","165.21","-10.09","-0.61","-4.88","-","-0.56","11.62","-7.65","-5.49","-63.45","-","-1.83","-23.18","-","-0.61","-0.61","-","-4.88","-53.69","-","0","-4.07","0.00","-2.64","261.55","-4.00","0","-1.76","0.00","-","100.00","1.00","0","0","0","225","-","0","0","0","-"
"490","Clark Bishop","OTT","C","4","2.2666666666667","0.56666666666667","-21.74","103.09","-16.67","-19.02","-10.25","-17.50","-19.02","-49.6","-20.00","-5.43","-8.15","-","-1.62","2.62","-14.33","-16.3","96.33","-20.69","-8.15","-11.57","-17.65","-5.43","-2.72","-","-10.87","143.87","-25.00","0","-3.62","0.00","0","9.75","0.00","0","-3.92","0.00","-","100.00","1.00","0","26.47","26.47","52.94","0.00","0","26.47","52.94","0.00"
"190","Anders Lee","NYI","L","17","0.58333333333333","0.034313725490196","297.75","99.06","50.79","298.52","126.88","48.70","95.13","149.3","21.29","0","95.13","0.00","20.13","32.28","28.17","201.08","-54.87","92.21","204.17","-18.55","92.31","0","-3.86","-","-4.12","-48.43","-","0","-3.09","0.00","141.87","76.01","41.55","0","-2.23","0.00","0.00","50.00","0.500","0","0","0","411.43","-","0","0","0","-"
"103","Max Pacioretty","VGK","L","25","1.9","0.076","49.8","94.22","12.70","50.96","58.36","18.12","21.12","43.04","8.18","-0.58","25.77","-9.09","30.31","11.55","51.22","25.77","72.88","10.20","28.09","14.73","32.86","-0.58","-1.74","-","-3.1","77.53","-5.97","0","-3.1","0.00","-4.19","-11.44","-6.85","0","-2.52","0.00","0.00","66.67","0.667","0","63.16","0","157.89","-","31.58","63.16","31.58","50.00"
"765","Jasper Weatherby","S.J","C","4","0.58333333333333","0.14583333333333","-7.47","89.95","-6.06","-7.47","13.23","-7.69","-7.47","46.84","-11.76","0","-3.73","-","-0.61","4.77","-7.93","-7.47","131.03","-9.09","-3.73","84.18","-16.67","0","0","-","-4.98","62.45","-6.25","0","-4.98","0.00","0","-59.34","-","0","0","-","-","100.00","1.00","0","0","0","102.86","-","0","0","0","-"
"663","Gavin Bayreuther","CBJ","D","5","0.65","0.13","-10.99","88.43","-10.26","-10.99","113.17","-13.33","-10.99","45.59","-19.05","0","-2.75","-","-0.38","6.47","-5.86","-5.5","-43.97","-","0","-19.24","-","0","-2.75","-","-7.33","-32.98","-","0","0","-","-3.97","199.19","-5.56","0","0","-","-","100.00","1.00","0","0","0","92.31","-","0","0","0","-"
"314","Phillip Di Giuseppe","NYR","L","15","2.0333333333333","0.13555555555556","-14.69","85.95","-13.89","-12.49","113.13","-16.35","-11.02","73.22","-19.74","-0.73","24.37","-12.50","-1.21","14","-18.45","-5.88","45.91","-12.12","-5.14","15.55","-26.92","0","-2.94","-","-0.98","40.48","-2.50","0","36.41","0.00","-6.37","61.01","-8.70","0","0","-","-","75.00","0.75","0","0","59.02","59.02","0.00","0","0","88.52","0.00"
