"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"357","Christian Djoos","DET","D","17","0.033333333333333","0.0019607843137255","-12.89","1704.44","-11.89","-11.38","1719.61","-12.40","-9.86","1740.85","-14.29","0","-10.62","-","-0.44","87.08","-5.85","-4.55","1754.5","-9.09","-1.52","-17.44","-","0","-7.58","-","-4.04","2362.59","-9.76","0","-2.02","0.00","-5.48","-71.2","-","0","-2.19","0.00","-","100.00","1.00","0","1800","0","0","-","0","1800","0","-"
"506","Travis Konecny","PHI","R","29","0.05","0.0017241379310345","-17.68","1107.75","-16.08","-16.14","1132.35","-19.27","-13.07","1154.26","-22.22","-0.38","-9.22","-","-0.85","22.95","-12.70","-7.3","-44.59","-","-3.07","-17.3","-","-0.38","-4.23","-","-5.64","-36.39","-","0","-3.07","0.00","-3.89","1667.26","-5.56","0","-3.89","0.00","-","100.00","1.00","1200","0","0","0","100.00","1200","0","0","100.00"
"507","Dylan Strome","CHI","C","21","0.13333333333333","0.0063492063492063","-15.26","801.14","-13.37","-14.65","-74.45","-","-13.43","-60.42","-","-0.61","-7.93","-","-1.35","-6.73","-","-7.32","-53.7","-","-4.27","-20.75","-","0","-4.88","-","-4.07","-43.94","-","0","-1.63","0.00","-6.17","1236.53","-8.86","0","-2.64","0.00","-","-","-","900","0","450","0","66.67","900","0","450","66.67"
"269","Brett Ritchie","CGY","R","22","0.083333333333333","0.0037878787878788","-15.41","634.25","-15.23","-14.74","658.37","-19.30","-11.39","675.79","-20.48","-0.67","-7.37","-","-0.78","31.53","-11.94","-9.38","669.09","-15.56","-5.36","-17.42","-","-0.67","-2.68","-","-5.36","915.34","-10.71","0","-4.47","0.00","-4.84","-50.32","-","0","-1.94","0.00","-","100.00","1.00","0","0","0","720","-","0","0","0","-"
"229","Brendan Gallagher","MTL","R","20","0.13333333333333","0.0066666666666667","-23.41","356.36","-20.00","-20.16","372.62","-20.67","-17.56","-58.53","-","-1.95","-11.05","-","-0.85","13.16","-12.72","-11.05","-43.57","-","-3.25","-17.56","-","-1.3","-2.6","-","-10.4","-34.68","-","0","-4.34","0.00","-10.33","580.49","-12.94","-0.94","-6.58","-12.50","-","-","-","0","0","0","450","-","0","0","0","-"
"203","Nick Bjugstad","MIN","C","25","0.88333333333333","0.035333333333333","-11.25","314.25","-10.76","-10.41","274.23","-13.74","-8.75","225.46","-15.91","0","-6.25","-","-0.55","19.3","-9.50","-4.58","235.04","-11.11","-0.83","51.68","-4.88","0","-2.5","-","-5","244.49","-15.52","0","-4.44","0.00","-4.81","24.71","-6.15","0","-0.6","0.00","-","100.00","1.00","0","0","0","203.77","-","0","0","67.92","0.00"
"607","Pierre-Luc Dubois","CBJ, WPG","L","22","0.3","0.013636363636364","-13.35","298.29","-11.60","-9.54","325.62","-11.36","-6.99","340.24","-10.48","0","-8.26","-","-0.39","3.76","-4.88","-6.99","-55.94","-","-1.27","-26.7","-","0","-5.09","-","-7.63","-38.99","-","0","-2.54","0.00","-1.84","226.45","-2.86","0","-1.84","0.00","-","100.00","1.00","0","0","400","0","0.00","0","0","400","0.00"
"510","Mathew Barzal","NYI","C","28","0.48333333333333","0.017261904761905","108.87","279.54","10.88","108.87","180.84","14.87","111.41","81.52","27.01","-1.91","-2.54","-","6.55","12.79","14.59","116.5","324.07","11.36","-6.36","-19.72","-","-1.27","-0.64","-","163.82","458.38","20.74","0","-1.7","0.00","-4.59","-62.48","-","-0.92","-0.92","-50.00","0.00","100.00","1.000","0","0","0","248.28","-","0","0","124.14","0.00"
"139","Tyler Johnson","CHI, T.B","C","30","0.66666666666667","0.022222222222222","-15.24","276.58","-15.45","-13.55","209.45","-18.29","-9.32","133.42","-16.67","-0.42","-6.35","-","-1.39","2.15","-20.28","-8.89","-49.54","-","-3.39","-19.05","-","-0.42","-3.81","-","-7.34","-40.65","-","0","-1.13","0.00","-6.73","474.13","-12.79","0","-1.83","0.00","-","100.00","1.00","0","0","180","0","0.00","0","0","180","0.00"
"260","Josh Leivo","CGY","L","16","0.16666666666667","0.010416666666667","-14.46","249.76","-11.59","-9.94","275.06","-10.48","-7.23","295.84","-10.13","0","-9.04","-","-0.84","6.2","-10.40","-3.61","-63.25","-","-1.81","-19.88","-","0","-4.52","-","-2.41","-57.83","-","0","-4.82","0.00","-9.14","452.13","-11.86","0","-1.31","0.00","-","100.00","1.00","0","0","360","0","0.00","0","0","360","0.00"
"600","Nick Caamano","DAL","R","14","0.36666666666667","0.026190476190476","-13.71","237.44","-13.25","-11.66","261.44","-15.04","-10.29","281.33","-18.29","-1.37","-6.86","-","-0.29","16.4","-5.00","-4.8","123.18","-10.61","-0.69","-13.71","-","-0.69","-2.74","-","-5.49","182.52","-13.33","-0.91","-4.57","-16.67","-1.98","170","-2.90","0","-0.99","0.00","-","100.00","1.00","0","0","163.64","0","0.00","0","0","163.64","0.00"
"254","Nick Cousins","NSH","C","29","0.2","0.0068965517241379","-12.7","220.09","-13.72","-11.88","237.3","-15.93","-9.02","250.83","-15.49","-1.23","-7.38","-","-0.9","13.52","-15.31","-7.38","-36.06","-","-4.92","-13.11","-","-1.23","-3.69","-","-3.28","-30.6","-","0","-2.73","0.00","-5.33","373.55","-8.18","0","-1.78","0.00","-","100.00","1.00","0","300","0","600","-","0","0","0","-"
"54","Ryan Reaves","NYR, VGK","R","20","0.2","0.01","-17.84","204.85","-15.79","-16.35","-63.18","-","-13.38","-41.63","-","-1.49","-5.2","-","-1","-6.63","-","-8.92","-52.78","-","-5.2","-20.81","-","-0.74","-2.97","-","-4.96","-42.62","-","0","-1.98","0.00","-5.37","376.43","-8.62","0","-1.07","0.00","-","-","-","0","300","0","0","-","0","300","0","-"
"727","Jacob Bernard-Docker","OTT","D","3","0.2","0.066666666666667","-34.88","203.12","-26.47","-31","245.75","-36.36","-27.13","253.5","-36.84","-3.88","-7.75","-","-3.76","16.08","-51.26","-27.13","245.75","-33.33","-11.63","-7.75","-","-3.88","0","-","-20.67","338","-25.00","0","-5.17","0.00","-5.6","-55.97","-","0","-5.6","0.00","-","100.00","1.00","0","0","300","300","0.00","0","0","300","0.00"
"221","Nino Niederreiter","CAR","R","29","0.45","0.01551724137931","113.22","199.48","10.29","114.83","218.79","5.45","-14.08","230.86","-28.23","-1.61","130.92","-40.00","3.77","18.55","-7.72","124.88","104.37","27.42","-6.03","-13.68","-","-0.4","-1.21","-","174.56","157.39","36.36","-0.54","176.17","-25.00","-5.81","143.78","-10.64","-0.58","0","-100.00","-","50.00","0.50","0","0","0","533.33","-","0","0","0","-"
"693","Sheldon Dries","COL","C","1","0.83333333333333","0.83333333333333","0","197.03","0.00","0","7.02","0.00","0","33.01","0.00","0","-13","-","0","-4.61","0.00","0","79.02","0.00","0","-25.99","-","0","-13","-","0","140.01","0.00","0","0","-","0","170.45","0.00","0","0","-","-","100.00","1.00","0","0","0","72","-","0","0","0","-"
"248","Fredrik Claesson","S.J","D","2","0.5","0.25","-32.21","183.62","-36.36","-24.16","191.68","-33.33","-16.11","223.89","-50.00","0","-8.05","-","-0.83","41.78","-16.92","-8.05","95.84","-25.00","0","111.95","0.00","0","0","-","-10.74","-21.48","-","0","0","-","-23.27","126.8","-33.33","0","-11.63","0.00","-","100.00","1.00","0","0","0","120","-","0","0","0","-"
"737","Simon Benoit","ANA","D","2","1.4666666666667","0.73333333333333","0","180.22","0.00","0","139.31","0.00","0","57.49","0.00","0","0","-","0","21.25","0.00","0","98.4","0.00","0","16.58","0.00","0","0","-","0","109.09","-","0","0","-","0","59.09","-","0","0","-","-","100.00","1.00","0","0","0","122.73","-","0","0","40.91","0.00"
"176","Kevin Connauton","FLA","D","5","1.8666666666667","0.37333333333333","-15.18","173.66","-15.38","-15.18","183.78","-17.14","-10.12","110.12","-16.67","-2.53","59.23","-33.33","-1.26","27.68","-20.13","-12.65","127.83","-27.78","-7.59","86.31","-42.86","-2.53","29.61","-50.00","-6.75","55.36","-18.18","0","0","-","0","69.85","0.00","0","42.77","0.00","-","60.00","0.60","0","32.14","32.14","96.43","0.00","0","32.14","32.14","0.00"
"186","Nate Prosser","PHI","D","1","0.88333333333333","0.88333333333333","0","145.38","0.00","0","140.62","0.00","0","172.19","0.00","0","-31.58","-","0","29.45","0.00","0","208.54","0.00","0","104.27","0.00","0","0","-","0","139.03","0.00","0","0","-","0","-91.23","-","0","-45.61","0.00","-","100.00","1.00","0","0","0","67.92","-","0","0","0","-"
