"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"96","Yannick Weber","PIT","D","2","0.066666666666667","0.033333333333333","-79.08","882.81","-82.14","-55.01","882.81","-76.19","-37.82","886.25","-73.33","0","-3.44","-","-4.73","28.32","-74.42","-37.82","-13.75","-","-13.75","-6.88","-","0","-3.44","-","-32.09","-9.17","-","0","0","-","-59.6","1300","-100.00","0","0","-","-","100.00","1.00","0","0","0","0","-","0","0","0","-"
"873","Josh Dunne","CBJ","C","6","0.13333333333333","0.022222222222222","-128.57","426.62","-84.62","-116.88","-23.38","-","-87.66","-17.53","-","-11.69","0","-","-10.32","-2.24","-","-52.6","-17.53","-","-23.38","-5.84","-","-5.84","0","-","-38.96","-15.58","-","0","0","-","-109.74","650","-100.00","-8.44","0","-100.00","-","-","-","900","0","0","0","100.00","900","0","0","100.00"
"137","Greg Pateryn","ANA, COL, MIN, S.J","D","15","0.43333333333333","0.028888888888889","21.65","263.52","-56.37","54.21","264.8","-54.08","77.82","266.71","-52.25","-5.11","0","-","3.71","12.23","-44.46","-54.89","132.72","-90.53","-19.79","133.99","-81.58","-2.55","0","-","-46.81","-1.7","-","-1.7","0","-100.00","115.18","-3.69","4.17","-1.84","0","-100.00","0.00","100.00","1.000","0","0","0","415.38","-","0","0","0","-"
"269","Steven Fogarty","BUF","C","9","0.21666666666667","0.024074074074074","-94.84","260.78","-85.45","-72.65","262.8","-83.72","-44.39","266.83","-81.48","-10.09","0","-","-6.41","-0.19","-92.04","-38.34","-6.05","-","-18.16","-2.02","-","-6.05","0","-","-26.91","-5.38","-","-5.38","0","-100.00","-81.61","-5.83","-","0","0","-","-","100.00","1.00","0","0","0","276.92","-","0","0","0","-"
"485","Ryan MacInnis","CBJ","C","16","0.21666666666667","0.013541666666667","-83.17","260.59","-83.58","-72.77","-13.37","-","-50.5","-11.88","-","-5.94","0","-","-6.19","-1.21","-","-41.58","-10.4","-","-16.34","-5.94","-","-2.97","0","-","-33.66","-5.94","-","0","0","-","-55.78","395.71","-92.86","-4.29","0","-100.00","-","-","-","0","0","0","553.85","-","0","0","0","-"
"72","Michael Frolik","MTL","R","8","0.23333333333333","0.029166666666667","-66.75","247.61","-87.50","-49.27","247.61","-83.78","-30.2","247.61","-76.00","-6.36","0","-","-3.82","-0.3","-90.30","-39.74","-1.59","-","-12.72","-1.59","-","-1.59","0","-","-36.03","0","-","-6.36","0","-100.00","-34.44","0","-","0","0","-","-","100.00","1.00","0","257.14","0","0","-","0","257.14","0","-"
"764","Parker Kelly","OTT","C, L","4","0.26666666666667","0.066666666666667","-89.34","205.15","-81.82","-72.79","-19.85","-","-39.71","-13.24","-","-13.24","0","-","-6.63","-0.6","-","-62.87","-9.93","-","-29.78","-3.31","-","-9.93","0","-","-44.12","-8.82","-","-4.41","0","-100.00","-33.46","0","-","0","0","-","-","-","-","0","225","225","0","0.00","0","225","225","0.00"
"726","Alex Formenton","OTT","L","24","0.28333333333333","0.011805555555556","-76.74","194.54","-81.67","-63.17","-17.23","-","-48.03","-12.53","-","-7.31","-1.04","-","-6.28","-0.99","-","-54.81","-7.83","-","-25.06","-4.18","-","-4.7","-1.04","-","-39.68","-4.87","-","-2.78","0","-100.00","-27.9","-3.77","-","-0.75","0","-100.00","-","-","-","211.76","211.76","0","423.53","100.00","211.76","211.76","0","100.00"
"773","Martin Fehervary","WSH","D","4","0.38333333333333","0.095833333333333","-88.17","151.48","-94.59","-75.58","154","-96.77","-57.94","154","-95.83","-7.56","-2.52","-","-6.04","-0.46","-89.55","-42.83","-5.04","-","-10.08","-2.52","-","-2.52","-2.52","-","-43.67","-3.36","-","-3.36","0","-100.00","-61.86","0","-","-3.64","0","-100.00","-","100.00","1.00","0","0","0","156.52","-","0","0","0","-"
"825","Nolan Foote","N.J","L","6","0.36666666666667","0.061111111111111","-117.1","146.91","-87.50","-66.91","146.91","-80.00","-46.84","146.91","-73.68","-10.04","0","-","-7.57","24.54","-87.73","-50.19","153.6","-83.33","-13.38","163.64","-100.00","-3.35","0","-","-49.07","-13.38","-","-4.46","0","-100.00","-91.82","-4.83","-","-4.83","0","-100.00","-","100.00","1.00","0","0","0","163.64","-","0","0","0","-"
"169","Brayden McNabb","VGK","D","45","0.81666666666667","0.018148148148148","36.85","133.72","-39.28","-12.47","135.5","-54.92","12.96","137.79","-53.53","-5.59","-0.51","-","-2.57","2.17","-27.25","14.74","-6.36","9.77","51.09","-3.05","12.00","-3.05","0","-","-48.48","-4.41","-","-1.36","0","-100.00","-69.41","101.35","-93.56","-2.2","-0.73","-75.00","0.00","100.00","1.000","146.94","0","0","293.88","100.00","146.94","0","0","100.00"
"409","Ryan Graves","COL, N.J","D","57","3.4166666666667","0.059941520467836","-54.56","95.57","-58.29","-29.23","78.93","-52.72","-9.63","45.1","-39.15","-8.88","-0.18","-","3.28","3.25","-19.66","-26.45","66.73","-61.27","9.05","50.65","-52.76","-3.51","0","-","-47.34","21.44","-96.00","-5.18","-0.25","-95.45","-39.27","47.79","-62.32","-2.14","0","-100.00","0.00","100.00","1.000","70.24","52.68","17.56","87.8","80.00","87.8","52.68","35.12","71.43"
"262","Tobias Rieder","BUF","L","44","1.8833333333333","0.04280303030303","-81.7","84.26","-87.84","-64.73","53.03","-85.83","-45.88","54.6","-83.43","-7.54","-0.94","-","-5.7","-0.7","-87.16","-35.2","27.46","-88.89","-16.34","-3.46","-","-2.51","-0.31","-","-25.14","41.22","-95.24","-4.19","0","-100.00","-65.82","-3.63","-","-2.72","0","-100.00","-","100.00","1.00","31.86","95.58","0","127.43","100.00","31.86","95.58","31.86","50.00"
"293","Adam Larsson","EDM, SEA","D","61","2.05","0.033606557377049","-75.91","75.78","-64.74","-50.64","77.82","-63.89","-30.25","79.04","-62.16","-10.4","-0.82","-","-7.87","3.54","-89.55","-65.02","23.56","-91.93","-26.7","-1.83","-","-4.69","-0.41","-","-51.1","33.86","-90.82","-4.89","-0.54","-90.00","-57.12","38.74","-94.17","-2.94","0","-100.00","0.00","100.00","1.000","29.27","29.27","0","263.41","100.00","29.27","29.27","0","100.00"
"364","Brett Kulak","MTL","D","51","1.4166666666667","0.027777777777778","0.3","74.79","-39.49","-21.25","77.69","-56.74","-47.65","35.58","-87.56","-5.8","-0.48","-","-0.62","4.55","-44.00","44.07","37.76","-23.17","26.15","40.18","-38.16","-2.66","-0.48","-","23.9","-3.22","9.01","-0.97","0","-100.00","-60.09","58.73","-96.09","-3.49","0","-100.00","-","100.00","1.00","84.71","42.35","0","127.06","100.00","84.71","42.35","0","100.00"
