"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"93","Yannick Weber","PIT","D","2","0.066666666666667","0.033333333333333","-79.08","882.81","-82.14","-55.01","882.81","-76.19","-37.82","886.25","-73.33","0","-3.44","-","-4.73","28.32","-74.42","-37.82","-13.75","-","-13.75","-6.88","-","0","-3.44","-","-32.09","-9.17","-","0","0","-","-59.6","1300","-100.00","0","0","-","-","100.00","1.00","0","0","0","0","-","0","0","0","-"
"134","Greg Pateryn","COL, MIN","D","6","0.21666666666667","0.036111111111111","-113.62","541.08","-89.90","-81.7","542.36","-87.67","-58.72","544.91","-86.79","-2.55","0","-","-6.99","25.47","-91.81","-54.89","270.54","-89.58","-21.7","273.09","-85.00","-1.28","0","-","-44.26","-3.4","-","-1.7","0","-100.00","-79.29","-1.84","-","0","0","-","-","100.00","1.00","0","0","0","276.92","-","0","0","0","-"
"728","Parker Kelly","OTT","L","1","0.13333333333333","0.13333333333333","-49.66","450","-100.00","-49.66","0","-","-24.83","0","-","-24.83","0","-","-5.23","0","-","-49.66","0","-","-24.83","0","-","0","0","-","-33.1","0","-","-33.1","0","-100.00","0","0","-","0","0","-","-","-","-","0","450","0","0","-","0","450","0","-"
"693","Alex Formenton","OTT","L","9","0.13333333333333","0.014814814814815","-69.37","438.85","-86.15","-60.7","-11.15","-","-50.79","-8.67","-","-9.91","0","-","-6.25","-0.32","-","-52.03","-2.48","-","-24.78","-1.24","-","-4.96","0","-","-36.34","-1.65","-","-6.61","0","-100.00","-23.26","-3.58","-","0","0","-","-","-","-","0","450","0","0","-","0","450","0","-"
"825","Josh Dunne","CBJ","C","6","0.13333333333333","0.022222222222222","-128.57","426.62","-84.62","-116.88","-23.38","-","-87.66","-17.53","-","-11.69","0","-","-10.32","-2.24","-","-52.6","-17.53","-","-23.38","-5.84","-","-5.84","0","-","-38.96","-15.58","-","0","0","-","-109.74","650","-100.00","-8.44","0","-100.00","-","-","-","900","0","0","0","100.00","900","0","0","100.00"
"133","Matt Calvert","COL","L","6","0.16666666666667","0.027777777777778","-110.16","352.94","-93.98","-74.85","354.35","-92.98","-53.67","355.76","-92.68","-7.06","0","-","-8.05","33.52","-97.00","-56.49","357.18","-95.24","-32.48","358.59","-95.83","-2.82","0","-","-32.01","-1.88","-","-1.88","0","-100.00","-77.52","-2.04","-","-4.08","0","-100.00","-","100.00","1.00","0","0","0","360","-","360","0","0","100.00"
"226","Jarred Tinordi","BOS, NSH, NYR","D","8","0.5","0.0625","-119.35","226.4","-89.77","-95.17","107.91","-88.73","-66.47","112.45","-89.80","-9.06","-1.51","-","-8.2","20.92","-91.01","-51.36","113.96","-89.47","-27.19","116.98","-90.00","-4.53","-1.51","-","-32.23","-4.03","-","0","0","-","-89.47","166.79","-93.18","-4.36","0","-100.00","-","100.00","1.00","0","120","0","240","-","0","120","0","-"
"477","Jake Walman","STL","D","15","0.35","0.023333333333333","229.97","162.4","-25.93","87.89","163.53","-41.36","109.34","165.78","-41.67","-7.9","-1.13","-","3.79","-0.52","6.82","-58.7","-5.64","-","-14.68","-3.39","-","-2.26","0","-","-58.7","-3.01","-","-6.02","-1.51","-80.00","420.23","-1.63","2.13","-1.63","0","-100.00","0.00","100.00","1.000","342.86","0","0","0","100.00","514.29","0","0","100.00"
"781","Nolan Foote","N.J","L","4","0.36666666666667","0.091666666666667","-122.57","145.48","-87.10","-63.56","145.48","-77.78","-36.32","145.48","-66.67","-4.54","0","-","-6.92","24.88","-90.67","-49.94","154.56","-84.62","-13.62","163.64","-100.00","0","0","-","-48.42","-12.11","-","0","0","-","-98.36","-6.56","-","-6.56","0","-100.00","-","100.00","1.00","0","0","0","163.64","-","0","0","0","-"
"737","Martin Fehervary","WSH","D","1","0.38333333333333","0.38333333333333","-49.66","144.11","-80.00","-49.66","156.52","-100.00","-24.83","156.52","-100.00","0","0","-","-5.38","0.24","-100.00","-37.24","-12.41","-","0","0","-","0","0","-","-49.66","-16.55","-","0","0","-","-17.93","0","-","0","0","-","-","100.00","1.00","0","0","0","156.52","-","0","0","0","-"
