"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"258","Steven Fogarty","BUF","C","6","0.21666666666667","0.036111111111111","-101.85","253.42","-81.25","-74.43","257.34","-79.17","-39.17","261.25","-71.43","-11.75","0","-","-6.27","-0.39","-89.24","-39.17","-7.83","-","-15.67","-3.92","-","-3.92","0","-","-31.34","-5.22","-","-10.45","0","-100.00","-90.53","-11.32","-","0","0","-","-","100.00","1.00","0","0","0","276.92","-","0","0","0","-"
"73","Michael Frolik","MTL","R","6","0.23333333333333","0.038888888888889","-70.59","245.04","-85.37","-52.44","245.04","-81.25","-36.3","245.04","-75.00","-8.07","0","-","-3.73","-0.41","-87.74","-38.32","-2.02","-","-10.08","-2.02","-","-2.02","0","-","-37.65","0","-","-8.07","0","-100.00","-43.7","0","-","0","0","-","-","100.00","1.00","0","257.14","0","0","-","0","257.14","0","-"
"166","Brayden McNabb","VGK","D","23","0.3","0.01304347826087","279.63","187.91","-24.21","105.73","188.88","-39.45","135.22","189.85","-36.45","-6.77","-0.97","-","5.58","6.76","-27.55","136.19","-5.8","8.33","173.9","-3.38","11.48","-4.35","0","-","-50.28","-3.22","-","-1.29","0","-100.00","-76.81","284.7","-94.83","-2.09","-1.4","-60.00","0.00","100.00","1.000","200","0","0","400","100.00","200","0","0","100.00"
"508","Travis Dermott","TOR","D","30","0.31666666666667","0.010555555555556","-109.88","176.71","-89.59","-82.07","176.71","-86.54","-57.9","179.9","-85.81","-5.02","-1.37","-","-8.04","-1.24","-86.36","-66.57","-9.57","-","-25.53","-2.74","-","-2.28","-1.37","-","-54.71","-9.12","-","-3.04","0","-100.00","-59.93","-2.63","-","-0.66","0","-100.00","-","100.00","1.00","0","0","0","378.95","-","0","0","0","-"
"674","Urho Vaakanainen","BOS","D","4","0.31666666666667","0.079166666666667","-76","172.59","-81.82","-53.48","181.03","-86.36","-39.41","181.03","-82.35","-5.63","0","-","-4.22","7.09","-90.91","-39.41","-8.44","-","-8.44","-5.63","-","-2.81","0","-","-41.28","-3.75","-","0","0","-","-52.85","269.62","-92.86","-4.07","0","-100.00","-","100.00","1.00","0","0","0","378.95","-","0","0","0","-"
"432","Garnet Hathaway","WSH","R","32","0.4","0.0125","-89.77","136.66","-87.06","-71.98","138.27","-85.99","-50.14","141.51","-85.52","-10.11","-2.43","-","-6.19","10.99","-85.98","-40.44","-4.85","-","-10.92","-2.43","-","-4.45","-1.21","-","-39.36","-3.23","-","-3.77","-0.54","-87.50","-66","208.49","-88.98","-3.5","-0.58","-85.71","-","100.00","1.00","150","0","150","300","50.00","300","150","150","66.67"
"189","Brenden Dillon","WPG, WSH","D","30","0.43333333333333","0.014444444444444","-91.47","125","-87.17","-74.76","126.85","-86.56","-51.08","130.1","-85.94","-11.61","-1.86","-","-6.55","13.15","-88.28","-41.33","134.75","-91.75","-11.61","-1.39","-","-5.11","-0.46","-","-39.62","181.52","-92.75","-3.71","-0.62","-85.71","-67.07","-9.39","-","-4.69","-0.67","-87.50","-","100.00","1.00","138.46","0","0","276.92","100.00","138.46","0","0","100.00"
"392","Ryan Graves","COL, N.J","D","31","2.2","0.070967741935484","-115.03","124.9","-90.94","-93.21","98.73","-90.00","-71.02","45.3","-88.48","-9.99","-0.37","-","-8.94","2.52","-93.69","-66.95","76.64","-92.82","-27","51.22","-89.02","-3.33","0","-","-53.26","33.9","-95.58","-6.41","-0.49","-92.86","-68.39","75.58","-95.52","-2.67","0","-100.00","-","100.00","1.00","81.82","54.55","27.27","81.82","75.00","81.82","54.55","54.55","60.00"
"252","Tobias Rieder","BUF","L","24","0.91666666666667","0.038194444444444","-82.17","119.7","-88.00","-67.76","120.77","-86.99","-46.42","121.84","-83.65","-6.94","0","-","-5.95","-0.28","-91.17","-32.55","-4.27","-","-17.61","-3.73","-","-2.67","0","-","-19.92","-0.71","-","-3.56","0","-100.00","-69.36","-5.39","-","-2.31","0","-100.00","-","100.00","1.00","65.45","196.36","0","196.36","100.00","65.45","196.36","0","100.00"
"181","Cody Eakin","BUF","C","27","1.5166666666667","0.056172839506173","31.77","70.62","-31.09","48.31","71.56","-30.30","65.78","72.51","-28.89","31.53","-0.47","5.56","12.57","-0.34","7.26","42.75","-4.72","11.49","63.53","-3.78","19.51","36.73","0","0.00","-27.71","-1.26","-","-3.78","-0.63","-85.71","-14.49","-2.73","3.67","-3.41","0","-100.00","33.33","100.00","1.333","39.56","197.8","0","158.24","100.00","39.56","197.8","0","100.00"
