Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
AARON NESSDARI20-21,Aaron Ness,D,ARI,20-21,Even Strength,AARON NESS,1,20202021,12.83333333,23.21%,28.29%,26.46%
JOEY KEANEDCAR20-21,Joey Keane,D,CAR,20-21,Even Strength,JOEY KEANE,1,20202021,16.8,35.85%,25.92%,23.22%
BRADY KEEPERDFLA20-21,Brady Keeper,D,FLA,20-21,Even Strength,BRADY KEEPER,1,20202021,7.183333333,15.54%,28.23%,25.92%
LOUIE BELPEDIODMIN20-21,Louie Belpedio,D,MIN,20-21,Even Strength,LOUIE BELPEDIO,1,20202021,11.81666667,25.21%,27.58%,24.81%
MATT BARTKOWSKIDMIN20-21,Matt Bartkowski,D,MIN,20-21,Even Strength,MATT BARTKOWSKI,1,20202021,11.36666667,24.25%,27.48%,24.96%
OTTO LESKINENDMTL20-21,Otto Leskinen,D,MTL,20-21,Even Strength,OTTO LESKINEN,1,20202021,16.38333333,33.79%,27.18%,26.48%
FREDERIC ALLARDDNSH20-21,Frederic Allard,D,NSH,20-21,Even Strength,FREDERIC ALLARD,1,20202021,16.98333333,31.50%,28.46%,25.91%
LUCA SBISADNSH20-21,Luca Sbisa,D,NSH,20-21,Even Strength,LUCA SBISA,1,20202021,11.2,25.09%,27.67%,24.79%
JACOB MIDDLETONDS.J20-21,Jacob Middleton,D,S.J,20-21,Even Strength,JACOB MIDDLETON,1,20202021,8.566666667,18.64%,28.89%,27.02%
BROGAN RAFFERTYDVAN20-21,Brogan Rafferty,D,VAN,20-21,Even Strength,BROGAN RAFFERTY,1,20202021,11.2,28.73%,29.01%,27.11%
GUILLAUME BRISEBOISDVAN20-21,Guillaume Brisebois,D,VAN,20-21,Even Strength,GUILLAUME BRISEBOIS,1,20202021,10.63333333,21.23%,27.65%,24.31%
KYLE CAPOBIANCODARI20-21,Kyle Capobianco,D,ARI,20-21,Even Strength,KYLE CAPOBIANCO,2,20202021,24.33333333,28.89%,28.54%,27.07%
MADISON BOWEYDCHI20-21,Madison Bowey,D,CHI,20-21,Even Strength,MADISON BOWEY,2,20202021,22.06666667,21.48%,29.06%,28.99%
MARK ALTDL.A20-21,Mark Alt,D,L.A,20-21,Even Strength,MARK ALT,2,20202021,24.28333333,23.80%,28.15%,25.67%
COLTON WHITEDN.J20-21,Colton White,D,N.J,20-21,Even Strength,COLTON WHITE,2,20202021,28.05,25.69%,28.16%,25.19%
DAVID FARRANCEDNSH20-21,David Farrance,D,NSH,20-21,Even Strength,DAVID FARRANCE,2,20202021,30.5,30.95%,26.44%,26.67%
TYLER LEWINGTONDNSH20-21,Tyler Lewington,D,NSH,20-21,Even Strength,TYLER LEWINGTON,2,20202021,24.6,24.96%,26.87%,25.60%
EGOR ZAMULADPHI20-21,Egor Zamula,D,PHI,20-21,Even Strength,EGOR ZAMULA,2,20202021,33.81666667,34.04%,28.13%,27.96%
JUUSO RIIKOLADPIT20-21,Juuso Riikola,D,PIT,20-21,Even Strength,JUUSO RIIKOLA,2,20202021,17.83333333,16.97%,28.29%,26.79%
KEVIN CZUCZMANDPIT20-21,Kevin Czuczman,D,PIT,20-21,Even Strength,KEVIN CZUCZMAN,2,20202021,20.25,22.37%,27.85%,25.55%
YANNICK WEBERDPIT20-21,Yannick Weber,D,PIT,20-21,Even Strength,YANNICK WEBER,2,20202021,20.3,23.03%,28.69%,26.26%
TIMOTHY LILJEGRENDTOR20-21,Timothy Liljegren,D,TOR,20-21,Even Strength,TIMOTHY LILJEGREN,2,20202021,25.83333333,24.72%,28.55%,26.17%
JACK AHCANDBOS20-21,Jack Ahcan,D,BOS,20-21,Even Strength,JACK AHCAN,3,20202021,54.1,36.57%,28.13%,25.91%
ALEC REGULADCHI20-21,Alec Regula,D,CHI,20-21,Even Strength,ALEC REGULA,3,20202021,35.31666667,21.43%,27.48%,26.25%
DENNIS GILBERTDCOL20-21,Dennis Gilbert,D,COL,20-21,Even Strength,DENNIS GILBERT,3,20202021,18,12.28%,27.40%,24.71%
KEATON MIDDLETONDCOL20-21,Keaton Middleton,D,COL,20-21,Even Strength,KEATON MIDDLETON,3,20202021,27.73333333,18.70%,27.85%,24.47%
CALEN ADDISONDMIN20-21,Calen Addison,D,MIN,20-21,Even Strength,CALEN ADDISON,3,20202021,45.65,31.93%,28.23%,27.73%
DAKOTA MERMISDMIN20-21,Dakota Mermis,D,MIN,20-21,Even Strength,DAKOTA MERMIS,3,20202021,47.7,33.51%,28.29%,26.33%
SEBASTIAN AHO SWEDNYI20-21,Sebastian Aho Swe,D,NYI,20-21,Even Strength,SEBASTIAN AHO SWE,3,20202021,39.18333333,26.24%,28.13%,26.89%
CAM YORKDPHI20-21,Cam York,D,PHI,20-21,Even Strength,CAM YORK,3,20202021,51.86666667,34.24%,27.81%,27.48%
STEVEN SANTINIDSTL20-21,Steven Santini,D,STL,20-21,Even Strength,STEVEN SANTINI,3,20202021,39.38333333,25.54%,26.28%,25.50%
VICTOR SODERSTROMDARI20-21,Victor Soderstrom,D,ARI,20-21,Even Strength,VICTOR SODERSTROM,4,20202021,58.48333333,29.35%,28.93%,27.03%
JOAKIM RYANDCAR20-21,Joakim Ryan,D,CAR,20-21,Even Strength,JOAKIM RYAN,4,20202021,39.1,21.08%,27.75%,26.38%
ERIK JOHNSONDCOL20-21,Erik Johnson,D,COL,20-21,Even Strength,ERIK JOHNSON,4,20202021,40.13333333,22.25%,28.26%,26.55%
NOAH JUULSENDFLA20-21,Noah Juulsen,D,FLA,20-21,Even Strength,NOAH JUULSEN,4,20202021,46.66666667,21.97%,27.70%,25.48%
TARMO REUNANENDNYR20-21,Tarmo Reunanen,D,NYR,20-21,Even Strength,TARMO REUNANEN,4,20202021,52.13333333,26.01%,28.15%,25.58%
OLLE ALSINGDOTT20-21,Olle Alsing,D,OTT,20-21,Even Strength,OLLE ALSING,4,20202021,43.06666667,21.18%,26.88%,25.11%
BRINSON PASICHNUKDS.J20-21,Brinson Pasichnuk,D,S.J,20-21,Even Strength,BRINSON PASICHNUK,4,20202021,46.4,23.19%,27.37%,25.80%
JOHN MOOREDBOS20-21,John Moore,D,BOS,20-21,Even Strength,JOHN MOORE,5,20202021,87.83333333,34.87%,27.85%,26.83%
KYLE BURROUGHSDCOL20-21,Kyle Burroughs,D,COL,20-21,Even Strength,KYLE BURROUGHS,5,20202021,47.6,19.87%,27.59%,24.57%
THOMAS HICKEYDNYI20-21,Thomas Hickey,D,NYI,20-21,Even Strength,THOMAS HICKEY,5,20202021,80.85,31.23%,27.70%,27.09%
JACOB BERNARD-DOCKERDOTT20-21,Jacob Bernard-docker,D,OTT,20-21,Even Strength,JACOB BERNARD-DOCKER,5,20202021,66.15,26.35%,26.94%,25.15%
BEN THOMASDT.B20-21,Ben Thomas,D,T.B,20-21,Even Strength,BEN THOMAS,5,20202021,68.3,29.65%,28.22%,27.69%
VILLE HEINOLADWPG20-21,Ville Heinola,D,WPG,20-21,Even Strength,VILLE HEINOLA,5,20202021,72,30.18%,27.40%,27.04%
SIMON BENOITDANA20-21,Simon Benoit,D,ANA,20-21,Even Strength,SIMON BENOIT,6,20202021,92.91666667,29.77%,28.57%,27.15%
BRANDON DAVIDSONDBUF20-21,Brandon Davidson,D,BUF,20-21,Even Strength,BRANDON DAVIDSON,6,20202021,84.16666667,27.73%,28.56%,27.07%
