Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
LOUIE BELPEDIODMIN20-21,Louie Belpedio,D,MIN,20-21,Penalty Kill,LOUIE BELPEDIO,1,20202021,2.133333333,39.02%,38.72%,18.68%
MATT BARTKOWSKIDMIN20-21,Matt Bartkowski,D,MIN,20-21,Penalty Kill,MATT BARTKOWSKI,1,20202021,1.65,30.18%,33.12%,25.68%
LUCA SBISADNSH20-21,Luca Sbisa,D,NSH,20-21,Penalty Kill,LUCA SBISA,1,20202021,0.766666667,12.07%,50.31%,35.15%
JACOB MIDDLETONDS.J20-21,Jacob Middleton,D,S.J,20-21,Penalty Kill,JACOB MIDDLETON,1,20202021,0.166666667,2.82%,43.48%,23.03%
BROGAN RAFFERTYDVAN20-21,Brogan Rafferty,D,VAN,20-21,Penalty Kill,BROGAN RAFFERTY,1,20202021,2.766666667,21.67%,34.98%,36.79%
GUILLAUME BRISEBOISDVAN20-21,Guillaume Brisebois,D,VAN,20-21,Penalty Kill,GUILLAUME BRISEBOIS,1,20202021,0.883333333,9.81%,28.55%,18.48%
MADISON BOWEYDCHI20-21,Madison Bowey,D,CHI,20-21,Penalty Kill,MADISON BOWEY,2,20202021,0.216666667,2.51%,32.94%,19.19%
MARK ALTDL.A20-21,Mark Alt,D,L.A,20-21,Penalty Kill,MARK ALT,2,20202021,1.8,14.90%,40.19%,35.85%
COLTON WHITEDN.J20-21,Colton White,D,N.J,20-21,Penalty Kill,COLTON WHITE,2,20202021,0.483333333,20.14%,36.03%,33.91%
DAVID FARRANCEDNSH20-21,David Farrance,D,NSH,20-21,Penalty Kill,DAVID FARRANCE,2,20202021,0.7,5.75%,33.27%,11.38%
TYLER LEWINGTONDNSH20-21,Tyler Lewington,D,NSH,20-21,Penalty Kill,TYLER LEWINGTON,2,20202021,2.45,20.14%,31.74%,21.27%
KEVIN CZUCZMANDPIT20-21,Kevin Czuczman,D,PIT,20-21,Penalty Kill,KEVIN CZUCZMAN,2,20202021,0.666666667,7.41%,20.44%,29.96%
YANNICK WEBERDPIT20-21,Yannick Weber,D,PIT,20-21,Penalty Kill,YANNICK WEBER,2,20202021,1.866666667,13.97%,52.80%,31.26%
TIMOTHY LILJEGRENDTOR20-21,Timothy Liljegren,D,TOR,20-21,Penalty Kill,TIMOTHY LILJEGREN,2,20202021,3.816666667,34.70%,39.84%,43.86%
JACK AHCANDBOS20-21,Jack Ahcan,D,BOS,20-21,Penalty Kill,JACK AHCAN,3,20202021,1.216666667,8.53%,51.91%,28.67%
DENNIS GILBERTDCOL20-21,Dennis Gilbert,D,COL,20-21,Penalty Kill,DENNIS GILBERT,3,20202021,2.15,17.55%,37.72%,27.34%
DAKOTA MERMISDMIN20-21,Dakota Mermis,D,MIN,20-21,Penalty Kill,DAKOTA MERMIS,3,20202021,0.9,6.56%,51.95%,18.37%
STEVEN SANTINIDSTL20-21,Steven Santini,D,STL,20-21,Penalty Kill,STEVEN SANTINI,3,20202021,2.15,15.02%,29.24%,25.52%
VICTOR SODERSTROMDARI20-21,Victor Soderstrom,D,ARI,20-21,Penalty Kill,VICTOR SODERSTROM,4,20202021,0.883333333,4.17%,27.56%,22.65%
JOAKIM RYANDCAR20-21,Joakim Ryan,D,CAR,20-21,Penalty Kill,JOAKIM RYAN,4,20202021,4.083333333,13.16%,31.14%,20.25%
ERIK JOHNSONDCOL20-21,Erik Johnson,D,COL,20-21,Penalty Kill,ERIK JOHNSON,4,20202021,9.133333333,43.46%,47.17%,40.57%
NOAH JUULSENDFLA20-21,Noah Juulsen,D,FLA,20-21,Penalty Kill,NOAH JUULSEN,4,20202021,1.2,12.97%,48.46%,35.55%
TARMO REUNANENDNYR20-21,Tarmo Reunanen,D,NYR,20-21,Penalty Kill,TARMO REUNANEN,4,20202021,0.416666667,2.14%,39.62%,22.45%
JOHN MOOREDBOS20-21,John Moore,D,BOS,20-21,Penalty Kill,JOHN MOORE,5,20202021,10.58333333,49.69%,41.01%,36.15%
KYLE BURROUGHSDCOL20-21,Kyle Burroughs,D,COL,20-21,Penalty Kill,KYLE BURROUGHS,5,20202021,2.733333333,10.66%,43.31%,29.21%
JACOB BERNARD-DOCKERDOTT20-21,Jacob Bernard-docker,D,OTT,20-21,Penalty Kill,JACOB BERNARD-DOCKER,5,20202021,1.866666667,8.97%,38.46%,29.34%
BEN THOMASDT.B20-21,Ben Thomas,D,T.B,20-21,Penalty Kill,BEN THOMAS,5,20202021,1.516666667,4.96%,41.79%,19.52%
SIMON BENOITDANA20-21,Simon Benoit,D,ANA,20-21,Penalty Kill,SIMON BENOIT,6,20202021,9.983333333,35.01%,44.36%,24.45%
BRANDON DAVIDSONDBUF20-21,Brandon Davidson,D,BUF,20-21,Penalty Kill,BRANDON DAVIDSON,6,20202021,7.266666667,31.46%,47.96%,40.21%
CONNOR MACKEYDCGY20-21,Connor Mackey,D,CGY,20-21,Penalty Kill,CONNOR MACKEY,6,20202021,6.55,20.09%,41.72%,29.84%
XAVIER OUELLETDMTL20-21,Xavier Ouellet,D,MTL,20-21,Penalty Kill,XAVIER OUELLET,6,20202021,2.566666667,12.01%,40.79%,31.30%
NATE PROSSERDPHI20-21,Nate Prosser,D,PHI,20-21,Penalty Kill,NATE PROSSER,6,20202021,5.333333333,21.67%,47.17%,33.22%
FREDRIK CLAESSONDS.J/T.B20-21,Fredrik Claesson,D,S.J/T.B,20-21,Penalty Kill,FREDRIK CLAESSON,6,20202021,3.983333333,9.99%,25.70%,28.38%
KEVIN CONNAUTONDFLA20-21,Kevin Connauton,D,FLA,20-21,Penalty Kill,KEVIN CONNAUTON,7,20202021,2.783333333,7.99%,37.51%,39.94%
MATT KIERSTEDDFLA20-21,Matt Kiersted,D,FLA,20-21,Penalty Kill,MATT KIERSTED,7,20202021,3.016666667,12.79%,44.60%,36.96%
KEVIN BAHLDN.J20-21,Kevin Bahl,D,N.J,20-21,Penalty Kill,KEVIN BAHL,7,20202021,7.366666667,27.47%,45.65%,32.96%
CHRISTIAN JAROSDS.J20-21,Christian Jaros,D,S.J,20-21,Penalty Kill,CHRISTIAN JAROS,7,20202021,1.433333333,4.03%,54.29%,30.29%
NICOLAS MELOCHEDS.J20-21,Nicolas Meloche,D,S.J,20-21,Penalty Kill,NICOLAS MELOCHE,7,20202021,2.183333333,5.80%,37.65%,32.43%
ANDREAS BORGMANDT.B20-21,Andreas Borgman,D,T.B,20-21,Penalty Kill,ANDREAS BORGMAN,7,20202021,0.883333333,2.88%,31.92%,27.60%
