Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
JOEY KEANEDCAR20-21,Joey Keane,D,CAR,20-21,Power Play,JOEY KEANE,1,20202021,2.65,37.77%,16.49%,21.52%
BRADY KEEPERDFLA20-21,Brady Keeper,D,FLA,20-21,Power Play,BRADY KEEPER,1,20202021,2.266666667,30.77%,36.89%,45.75%
KYLE CAPOBIANCODARI20-21,Kyle Capobianco,D,ARI,20-21,Power Play,KYLE CAPOBIANCO,2,20202021,4.45,31.98%,39.82%,44.86%
MARK ALTDL.A20-21,Mark Alt,D,L.A,20-21,Power Play,MARK ALT,2,20202021,0.883333333,11.35%,34.32%,33.81%
DAVID FARRANCEDNSH20-21,David Farrance,D,NSH,20-21,Power Play,DAVID FARRANCE,2,20202021,4.15,51.55%,29.30%,42.53%
EGOR ZAMULADPHI20-21,Egor Zamula,D,PHI,20-21,Power Play,EGOR ZAMULA,2,20202021,0.316666667,4.71%,16.51%,23.50%
JUUSO RIIKOLADPIT20-21,Juuso Riikola,D,PIT,20-21,Power Play,JUUSO RIIKOLA,2,20202021,4.4,39.11%,36.49%,34.46%
KEVIN CZUCZMANDPIT20-21,Kevin Czuczman,D,PIT,20-21,Power Play,KEVIN CZUCZMAN,2,20202021,1.966666667,11.45%,36.86%,47.96%
JACK AHCANDBOS20-21,Jack Ahcan,D,BOS,20-21,Power Play,JACK AHCAN,3,20202021,6.166666667,35.51%,43.47%,51.06%
ALEC REGULADCHI20-21,Alec Regula,D,CHI,20-21,Power Play,ALEC REGULA,3,20202021,1.616666667,13.07%,28.82%,35.41%
CALEN ADDISONDMIN20-21,Calen Addison,D,MIN,20-21,Power Play,CALEN ADDISON,3,20202021,8.233333333,44.46%,37.98%,35.94%
DAKOTA MERMISDMIN20-21,Dakota Mermis,D,MIN,20-21,Power Play,DAKOTA MERMIS,3,20202021,0.55,2.75%,36.03%,22.08%
CAM YORKDPHI20-21,Cam York,D,PHI,20-21,Power Play,CAM YORK,3,20202021,7.483333333,45.49%,34.85%,46.69%
VICTOR SODERSTROMDARI20-21,Victor Soderstrom,D,ARI,20-21,Power Play,VICTOR SODERSTROM,4,20202021,5.666666667,30.88%,37.51%,44.14%
