"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","56","2894.9833","37","16","3","34","77","0.688","2475","2446","50.29","1904","1873","50.41","1424","1409","50.26","151","115","56.77","116.62","112.21","50.96","1205","1138","51.43","765","732","51.10","127","96","56.95","16.60","86.89","470","500","48.45","380","402","48.59","87","67","56.49","22.89","83.33","735","638","53.53","385","330","53.85","40","29","57.97","10.39","91.21","1100","1138","49.15","590","612","49.08","16","16","50.00","2.71","97.39","10.60","91.84","1.024"
"2","Philadelphia Flyers","56","2852.9667","25","23","8","22","58","0.518","2603","2381","52.23","1943","1820","51.63","1394","1348","50.84","127","146","46.52","106.86","105.01","50.44","1173","1125","51.04","692","693","49.96","108","116","48.21","15.61","83.26","444","467","48.74","349","369","48.61","71","77","47.97","20.34","79.13","729","658","52.56","343","324","51.42","37","39","48.68","10.79","87.96","1248","1101","53.13","633","598","51.42","14","26","35.00","2.21","95.65","9.11","89.17","0.983"
"3","Chicago Blackhawks","56","2839.3333","24","25","7","22","55","0.491","2350","2751","46.07","1715","2078","45.21","1337","1578","45.87","118","142","45.38","100.08","129.11","43.67","1142","1415","44.66","738","896","45.17","100","123","44.84","13.55","86.27","439","581","43.04","357","467","43.33","62","87","41.61","17.37","81.37","703","834","45.74","381","429","47.04","38","36","51.35","9.97","91.61","1030","1154","47.16","542","617","46.76","14","16","46.67","2.58","97.41","8.83","91.00","0.998"
"4","Tampa Bay Lightning","56","2771.1","36","17","3","35","75","0.670","2464","2269","52.06","1890","1738","52.09","1390","1304","51.60","137","112","55.02","117.16","99.08","54.18","1259","1189","51.43","789","747","51.37","111","94","54.15","14.07","87.42","476","449","51.46","385","359","51.75","77","55","58.33","20.00","84.68","783","740","51.41","404","388","51.01","34","39","46.58","8.42","89.95","1054","933","53.04","553","499","52.57","20","14","58.82","3.62","97.19","9.86","91.41","1.013"
"5","Montreal Canadiens","56","2870.3667","24","21","11","23","59","0.527","2845","2398","54.26","2067","1807","53.36","1490","1278","53.83","120","126","48.78","111.39","105.47","51.36","1364","1147","54.32","759","666","53.26","103","109","48.58","13.57","83.63","497","472","51.29","360","342","51.28","70","70","50.00","19.44","79.53","867","675","56.23","399","324","55.19","33","39","45.83","8.27","87.96","1289","1050","55.11","672","537","55.58","14","13","51.85","2.08","97.58","8.05","90.14","0.982"
"6","Toronto Maple Leafs","56","2879.0667","35","14","7","34","77","0.688","2603","2494","51.07","1999","1857","51.84","1439","1309","52.37","152","110","58.02","129.15","101.3","56.04","1485","1222","54.86","911","673","57.51","130","91","58.82","14.27","86.48","595","443","57.32","450","318","58.59","85","61","58.22","18.89","80.82","890","779","53.33","461","355","56.50","45","30","60.00","9.76","91.55","988","1098","47.36","491","576","46.02","21","18","53.85","4.28","96.88","10.56","91.60","1.022"
"7","Vancouver Canucks","56","2804.7167","23","29","4","20","50","0.446","2446","2818","46.47","1851","2117","46.65","1354","1539","46.80","115","146","44.06","106.61","133.74","44.36","1142","1486","43.46","669","882","43.13","98","127","43.56","14.65","85.60","450","557","44.69","323","410","44.07","57","84","40.43","17.65","79.51","692","929","42.69","346","472","42.30","41","43","48.81","11.85","90.89","1098","1149","48.87","601","595","50.25","14","12","53.85","2.33","97.98","8.49","90.51","0.990"
"8","Edmonton Oilers","56","2832.75","35","19","2","35","72","0.643","2483","2618","48.68","1859","1948","48.83","1356","1429","48.69","133","123","51.95","113.1","106.51","51.50","1182","1280","48.01","715","765","48.31","111","102","52.11","15.52","86.67","487","477","50.52","363","347","51.13","59","60","49.58","16.25","82.71","695","803","46.40","352","418","45.71","52","42","55.32","14.77","89.95","1098","1154","48.76","570","592","49.05","13","19","40.63","2.28","96.79","9.81","91.39","1.012"
"9","St Louis Blues","56","2900.45","27","20","9","25","63","0.563","2405","2582","48.23","1775","1924","47.99","1340","1385","49.17","125","127","49.60","99.02","116.21","46.01","1148","1208","48.73","702","733","48.92","102","102","50.00","14.53","86.08","394","504","43.88","297","355","45.55","63","66","48.84","21.21","81.41","754","704","51.71","405","378","51.72","39","36","52.00","9.63","90.48","1052","1165","47.45","572","594","49.06","21","22","48.84","3.67","96.30","9.33","90.83","1.002"
"10","Colorado Avalanche","56","2750.9833","39","13","4","39","82","0.732","2948","2075","58.69","2142","1538","58.21","1541","1109","58.15","149","99","60.08","128.62","85.29","60.13","1423","937","60.30","841","580","59.18","123","83","59.71","14.63","85.69","544","378","59.00","397","290","57.79","74","45","62.18","18.64","84.48","879","559","61.13","444","290","60.49","49","38","56.32","11.04","86.90","1342","947","58.63","658","469","58.39","22","12","64.71","3.34","97.44","9.67","91.07","1.007"
