"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","6","308.9167","2","2","2","2","6","0.500","339","279","54.85","262","202","56.47","194","154","55.75","19","17","52.78","15.58","12.61","55.27","162","135","54.55","103","82","55.68","15","16","48.39","14.56","80.49","59","57","50.86","47","41","53.41","11","12","47.83","23.40","70.73","103","78","56.91","56","41","57.73","4","4","50.00","7.14","90.24","158","124","56.03","83","64","56.46","2","1","66.67","2.41","98.44","9.79","88.96","0.988"
"2","Seattle Kraken","8","410.3167","1","6","1","1","3","0.188","352","337","51.09","249","249","50.00","182","178","50.56","15","29","34.09","15.11","16.76","47.41","175","172","50.43","108","107","50.23","13","26","33.33","12.04","75.70","68","76","47.22","51","66","43.59","9","20","31.03","17.65","69.70","107","96","52.71","57","41","58.16","4","6","40.00","7.02","85.37","153","145","51.34","70","67","51.09","2","3","40.00","2.86","95.52","8.24","83.71","0.919"
"3","Montreal Canadiens","9","442.05","1","7","1","1","3","0.167","372","431","46.33","270","337","44.48","215","241","47.15","15","22","40.54","14.73","19.22","43.38","178","225","44.17","107","137","43.85","11","19","36.67","10.28","86.13","65","90","41.94","50","66","43.10","6","13","31.58","12.00","80.30","113","135","45.56","57","71","44.53","5","6","45.45","8.77","91.55","160","175","47.76","96","90","51.61","3","2","60.00","3.13","97.78","6.98","90.87","0.978"
"4","New York Rangers","11","553.4333","6","3","2","6","14","0.636","424","558","43.18","316","433","42.19","218","297","42.33","21","22","48.84","18.42","25.12","42.31","206","294","41.20","123","177","41.00","18","20","47.37","14.63","88.70","78","112","41.05","58","84","40.85","9","12","42.86","15.52","85.71","128","182","41.29","65","93","41.14","9","8","52.94","13.85","91.40","188","240","43.93","84","110","43.30","2","2","50.00","2.38","98.18","9.63","92.59","1.022"
"5","Chicago Blackhawks","7","346.3667","1","5","1","1","3","0.214","261","347","42.93","181","266","40.49","129","195","39.81","8","23","25.81","9.85","15.78","38.42","132","198","40.00","67","121","35.64","7","20","25.93","10.45","83.47","40","77","34.19","30","64","31.91","5","16","23.81","16.67","75.00","92","121","43.19","37","57","39.36","2","4","33.33","5.41","92.98","114","132","46.34","58","68","46.03","0","3","0.00","0.00","95.59","6.20","88.21","0.944"
"6","Vancouver Canucks","9","444.45","3","5","1","2","7","0.389","418","413","50.30","307","319","49.04","236","233","50.32","18","25","41.86","18.83","23.56","44.42","192","225","46.04","121","145","45.49","15","19","44.12","12.40","86.90","72","105","40.68","59","85","40.97","9","11","45.00","15.25","87.06","120","120","50.00","62","60","50.82","6","8","42.86","9.68","86.67","199","159","55.59","106","78","57.61","3","4","42.86","2.83","94.87","7.63","89.27","0.969"
"7","Toronto Maple Leafs","6","297.55","3","3","0","3","6","0.500","288","289","49.91","211","233","47.52","157","168","48.31","11","17","39.29","11.89","13.51","46.82","142","158","47.33","88","98","47.31","10","16","38.46","11.36","83.67","52","58","47.27","45","46","49.45","5","8","38.46","11.11","82.61","90","100","47.37","43","52","45.26","5","8","38.46","11.63","84.62","133","116","53.41","65","62","51.18","1","1","50.00","1.54","98.39","7.01","89.88","0.969"
"8","Tampa Bay Lightning","7","365.1","5","1","1","4","11","0.786","368","299","55.17","285","220","56.44","203","168","54.72","19","18","51.35","17.76","12.84","58.04","201","142","58.60","115","89","56.37","16","15","51.61","13.91","83.15","86","51","62.77","57","39","59.38","11","9","55.00","19.30","76.92","115","91","55.83","58","50","53.70","5","6","45.45","8.62","88.00","145","133","52.16","79","68","53.74","2","2","50.00","2.53","97.06","9.36","89.29","0.986"
"9","Dallas Stars","9","456.1167","3","5","1","2","7","0.389","375","433","46.41","291","320","47.63","216","231","48.32","14","23","37.84","15.5","19.51","44.29","185","199","48.18","116","127","47.74","12","20","37.50","10.34","84.25","70","73","48.95","49","54","47.57","8","12","40.00","16.33","77.78","115","126","47.72","67","73","47.86","4","8","33.33","5.97","89.04","170","197","46.32","89","96","48.11","2","3","40.00","2.25","96.88","6.48","90.04","0.965"
"10","New York Islanders","13","670.05","5","6","2","5","12","0.462","585","705","45.35","452","517","46.65","335","362","48.06","24","30","44.44","26.97","27.76","49.27","280","352","44.30","177","195","47.58","20","24","45.45","11.30","87.69","114","134","45.97","86","106","44.79","15","17","46.88","17.44","83.96","166","218","43.23","91","89","50.56","5","7","41.67","5.49","92.13","269","322","45.52","148","158","48.37","4","4","50.00","2.70","97.47","7.16","91.71","0.989"
"11","Arizona Coyotes","11","547.0167","1","9","1","1","3","0.136","421","489","46.26","317","372","46.01","228","273","45.51","9","26","25.71","16.43","22.45","42.26","205","239","46.17","126","150","45.65","6","18","25.00","4.76","88.00","78","101","43.58","63","75","45.65","5","10","33.33","7.94","86.67","127","138","47.92","63","75","45.65","1","8","11.11","1.59","89.33","186","219","45.93","93","115","44.71","3","7","30.00","3.23","93.91","3.95","90.48","0.944"
"12","Winnipeg Jets","8","401.9","2","3","3","2","7","0.438","410","357","53.46","298","282","51.38","217","209","50.94","16","14","53.33","17.11","15.95","51.75","189","189","50.00","120","115","51.06","11","12","47.83","9.17","89.57","69","76","47.59","51","55","48.11","5","8","38.46","9.80","85.45","120","113","51.50","69","60","53.49","6","4","60.00","8.70","93.33","192","146","56.80","88","80","52.38","5","2","71.43","5.68","97.50","7.37","93.30","1.007"
"13","Vegas Golden Knights","7","369.7667","4","3","0","4","8","0.571","337","403","45.54","234","288","44.83","175","219","44.42","17","15","53.13","14.99","17.81","45.71","167","216","43.60","93","125","42.66","13","12","52.00","13.98","90.40","65","86","43.05","44","66","40.00","8","10","44.44","18.18","84.85","102","130","43.97","49","59","45.37","5","2","71.43","10.20","96.61","140","155","47.46","71","82","46.41","3","2","60.00","4.23","97.56","9.71","93.15","1.029"
"14","Minnesota Wild","10","502.9833","6","4","0","5","12","0.600","468","466","50.11","357","352","50.35","271","262","50.84","24","24","50.00","21.16","19.19","52.44","240","223","51.84","151","145","51.01","22","17","56.41","14.57","88.28","92","88","51.11","72","74","49.32","17","9","65.38","23.61","87.84","148","135","52.30","79","71","52.67","5","8","38.46","6.33","88.73","195","209","48.27","108","105","50.70","2","4","33.33","1.85","96.19","8.86","90.84","0.997"
"15","Ottawa Senators","5","249.05","1","3","1","1","3","0.300","183","288","38.85","142","206","40.80","101","148","40.56","9","13","40.91","7.57","11.03","40.70","93","141","39.74","61","76","44.53","7","10","41.18","11.48","86.84","35","48","42.17","26","34","43.33","5","6","45.45","19.23","82.35","58","93","38.41","35","42","45.45","2","4","33.33","5.71","90.48","76","131","36.71","35","65","35.00","2","3","40.00","5.71","95.38","8.91","91.22","1.001"
