"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Philadelphia Flyers","28","1417.65","12","12","4","10","28","0.500","1369","1196","53.37","1008","903","52.75","728","666","52.22","63","68","48.09","52.54","50.25","51.12","589","513","53.45","346","322","51.80","53","54","49.53","15.32","83.23","206","207","49.88","158","166","48.77","32","34","48.48","20.25","79.52","383","306","55.59","188","156","54.65","21","20","51.22","11.17","87.18","686","591","53.72","350","311","52.95","8","11","42.11","2.29","96.46","8.65","89.79","0.984"
"2","Tampa Bay Lightning","28","1401.6","21","7","0","21","42","0.750","1163","1056","52.41","904","816","52.56","675","638","51.41","77","49","61.11","54.52","44.16","55.25","639","604","51.41","396","392","50.25","59","42","58.42","14.90","89.29","213","211","50.24","175","181","49.16","39","25","60.94","22.29","86.19","426","393","52.01","221","211","51.16","20","17","54.05","9.05","91.94","474","397","54.42","260","230","53.06","12","5","70.59","4.62","97.83","11.41","92.32","1.037"
"3","Toronto Maple Leafs","28","1440.0333","18","7","3","18","39","0.696","1353","1200","53.00","1054","900","53.94","730","636","53.44","83","54","60.58","66.59","44.52","59.93","814","587","58.10","484","323","59.98","71","41","63.39","14.67","87.31","308","186","62.35","229","133","63.26","44","26","62.86","19.21","80.45","506","401","55.79","255","190","57.30","27","15","64.29","10.59","92.11","493","540","47.73","230","280","45.10","11","12","47.83","4.78","95.71","11.37","91.51","1.029"
"4","Edmonton Oilers","28","1383.7167","16","12","0","16","32","0.571","1276","1251","50.49","953","926","50.72","709","693","50.57","67","64","51.15","59.86","52.01","53.51","602","587","50.63","362","358","50.28","57","52","52.29","15.75","85.47","260","234","52.63","191","168","53.20","29","31","48.33","15.18","81.55","342","353","49.21","171","190","47.37","28","21","57.14","16.37","88.95","575","570","50.22","317","302","51.21","8","12","40.00","2.52","96.03","9.45","90.76","1.002"
"5","Colorado Avalanche","28","1387.9667","22","4","2","22","46","0.821","1503","1002","60.00","1094","725","60.14","824","528","60.95","84","40","67.74","64.91","35.63","64.56","713","418","63.04","450","264","63.03","66","34","66.00","14.67","87.12","280","166","62.78","213","130","62.10","39","23","62.90","18.31","82.31","433","252","63.21","237","134","63.88","27","11","71.05","11.39","91.79","702","489","58.94","357","236","60.20","15","5","75.00","4.20","97.88","10.19","92.42","1.026"
"6","Buffalo Sabres","28","1449.45","8","16","4","5","20","0.357","1163","1385","45.64","912","1118","44.93","667","832","44.50","43","83","34.13","50.12","66.13","43.12","529","602","46.77","310","366","45.86","35","62","36.08","11.29","83.06","248","260","48.82","174","190","47.80","21","27","43.75","12.07","85.79","281","342","45.10","136","176","43.59","14","35","28.57","10.29","80.11","566","698","44.78","329","432","43.23","6","18","25.00","1.82","95.83","6.45","90.02","0.965"
"7","New Jersey Devils","28","1448.6167","7","18","3","7","17","0.304","1286","1154","52.70","982","935","51.23","678","689","49.60","53","73","42.06","55.34","60.13","47.92","615","581","51.42","363","389","48.27","42","59","41.58","11.57","84.83","209","222","48.49","160","187","46.11","26","42","38.24","16.25","77.54","406","359","53.07","203","202","50.12","16","17","48.48","7.88","91.58","613","517","54.25","300","281","51.64","11","11","50.00","3.67","96.09","7.82","89.40","0.972"
"8","New York Rangers","28","1379.6833","14","11","3","14","31","0.554","1154","1334","46.38","882","1002","46.82","652","720","47.52","71","61","53.79","52.66","57.17","47.95","552","634","46.54","329","371","47.00","54","51","51.43","16.41","86.25","233","275","45.87","179","199","47.35","38","35","52.05","21.23","82.41","319","359","47.05","150","172","46.58","16","16","50.00","10.67","90.70","508","608","45.52","288","312","48.00","16","8","66.67","5.56","97.44","10.89","91.53","1.024"
"9","Florida Panthers","28","1399.2333","20","5","3","20","43","0.768","1341","1131","54.25","1064","872","54.96","829","701","54.18","77","46","62.60","64.31","47.81","57.36","625","459","57.66","434","336","56.36","57","39","59.38","13.13","88.39","243","183","57.04","198","161","55.15","37","27","57.81","18.69","83.23","382","276","58.05","236","175","57.42","20","12","62.50","8.47","93.14","627","571","52.34","349","324","51.86","15","6","71.43","4.30","98.15","9.29","93.44","1.027"
"10","Detroit Red Wings","28","1423.75","12","11","5","11","29","0.518","1105","1311","45.74","857","1000","46.15","618","759","44.88","60","52","53.57","52.71","53.67","49.55","500","594","45.70","304","380","44.44","44","43","50.57","14.47","88.68","200","236","45.87","152","189","44.57","28","32","46.67","18.42","83.07","300","358","45.59","152","191","44.31","16","11","59.26","10.53","94.24","516","633","44.91","270","346","43.83","12","6","66.67","4.44","98.27","9.71","93.15","1.029"
