"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","56","258.6833","37","16","3","34","77","0.688","59","367","13.85","48","286","14.37","39","215","15.35","6","35","14.63","3.1","25.57","10.81","25","179","12.25","17","122","12.23","6","26","18.75","35.29","78.69","14","80","14.89","12","69","14.81","3","19","13.64","25.00","72.46","11","99","10.00","5","53","8.62","3","7","30.00","60.00","86.79","17","181","8.59","9","91","9.00","0","9","0.00","0.00","90.11","15.38","83.72","0.991"
"2","Philadelphia Flyers","56","276.3","25","23","8","22","58","0.518","83","420","16.50","75","324","18.80","60","236","20.27","1","45","2.17","3.3","30.56","9.75","28","213","11.62","18","133","11.92","1","37","2.63","5.56","72.18","12","98","10.91","10","77","11.49","1","27","3.57","10.00","64.94","16","115","12.21","8","56","12.50","0","10","0.00","0.00","82.14","18","198","8.33","8","102","7.27","0","8","0.00","0.00","92.16","1.67","80.93","0.826"
"3","Chicago Blackhawks","56","261.3667","24","25","7","22","55","0.491","61","410","12.95","56","317","15.01","49","248","16.50","3","35","7.89","4.68","29.21","13.81","36","221","14.01","28","142","16.47","2","22","8.33","7.14","84.51","17","84","16.83","16","68","19.05","1","16","5.88","6.25","76.47","19","137","12.18","12","74","13.95","1","6","14.29","8.33","91.89","11","182","5.70","8","106","7.02","0","13","0.00","0.00","87.74","6.12","85.89","0.920"
"4","Tampa Bay Lightning","56","315.3833","36","17","3","35","75","0.670","75","417","15.24","66","311","17.51","54","230","19.01","2","29","6.45","6.54","27.08","19.46","48","222","17.78","37","127","22.56","2","20","9.09","5.41","84.25","24","79","23.30","20","58","25.64","1","14","6.67","5.00","75.86","24","143","14.37","17","69","19.77","1","6","14.29","5.88","91.30","18","187","8.78","9","100","8.26","0","8","0.00","0.00","92.00","3.70","87.39","0.911"
"5","Montreal Canadiens","56","275.2167","24","21","11","23","59","0.527","81","434","15.73","70","350","16.67","58","267","17.85","9","37","19.57","4.44","31.64","12.31","43","250","14.68","35","168","17.24","8","27","22.86","22.86","83.93","17","103","14.17","14","83","14.43","5","16","23.81","35.71","80.72","26","147","15.03","21","85","19.81","3","11","21.43","14.29","87.06","23","179","11.39","10","99","9.17","1","10","9.09","10.00","89.90","15.52","86.14","1.017"
"6","Toronto Maple Leafs","56","246.9667","35","14","7","34","77","0.688","81","330","19.71","74","266","21.76","66","194","25.38","3","31","8.82","5.37","23.33","18.71","48","185","20.60","41","110","27.15","3","25","10.71","7.32","77.27","22","66","25.00","19","52","26.76","2","14","12.50","10.53","73.08","26","119","17.93","22","58","27.50","1","11","8.33","4.55","81.03","6","141","4.08","3","81","3.57","0","5","0.00","0.00","93.83","4.55","84.02","0.886"
"7","Edmonton Oilers","56","262.9667","35","19","2","35","72","0.643","60","455","11.65","56","333","14.40","44","244","15.28","2","27","6.90","3.79","30.32","11.10","33","249","11.70","23","146","13.61","2","22","8.33","8.70","84.93","14","102","12.07","13","72","15.29","2","11","15.38","15.38","84.72","19","147","11.45","10","74","11.90","0","11","0.00","0.00","85.14","12","195","5.80","9","97","8.49","0","5","0.00","0.00","94.85","4.55","88.93","0.935"
"8","Vancouver Canucks","56","312.35","23","29","4","20","50","0.446","72","488","12.86","64","388","14.16","53","283","15.77","6","37","13.95","2.99","35.85","7.70","25","283","8.12","16","176","8.33","4","25","13.79","25.00","85.80","6","108","5.26","5","79","5.95","1","16","5.88","20.00","79.75","19","175","9.79","11","97","10.19","3","9","25.00","27.27","90.72","18","200","8.26","12","106","10.17","1","12","7.69","8.33","88.68","11.32","86.93","0.982"
"9","St Louis Blues","56","273.7333","27","20","9","25","63","0.563","53","457","10.39","52","363","12.53","40","260","13.33","6","39","13.33","2.91","36.07","7.45","23","236","8.88","16","140","10.26","4","34","10.53","25.00","75.71","14","110","11.29","10","71","12.35","4","21","16.00","40.00","70.42","9","126","6.67","6","69","8.00","0","13","0.00","0.00","81.16","15","212","6.61","11","119","8.46","1","5","16.67","9.09","95.80","15.00","85.00","1.000"
"10","Colorado Avalanche","56","294.5667","39","13","4","39","82","0.732","69","493","12.28","60","361","14.25","50","265","15.87","1","30","3.23","2.74","29.93","8.40","26","233","10.04","19","128","12.93","1","20","4.76","5.26","84.38","12","87","12.12","10","65","13.33","1","8","11.11","10.00","87.69","14","146","8.75","9","63","12.50","0","12","0.00","0.00","80.95","17","257","6.20","8","137","5.52","0","10","0.00","0.00","92.70","2.00","88.68","0.907"
