"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","6","24.6167","2","2","2","2","6","0.500","9","37","19.57","5","28","15.15","3","19","13.64","0","3","0.00","0.24","2.16","10.10","5","12","29.41","1","5","16.67","0","1","0.00","0.00","80.00","2","3","40.00","0","1","0.00","0","1","0.00","-","0.00","3","9","25.00","1","4","20.00","0","0","-","0.00","100.00","3","25","10.71","1","14","6.67","0","2","0.00","0.00","85.71","0.00","84.21","0.842"
"2","Seattle Kraken","8","29.2833","1","6","1","1","3","0.188","3","52","5.45","3","44","6.38","1","29","3.33","0","4","0.00","0.06","4.55","1.32","0","32","0.00","0","17","0.00","0","3","0.00","-","82.35","0","13","0.00","0","8","0.00","0","2","0.00","-","75.00","0","19","0.00","0","9","0.00","0","1","0.00","-","88.89","2","20","9.09","0","12","0.00","0","1","0.00","-","91.67","0.00","86.21","0.862"
"3","Montreal Canadiens","9","60.0667","1","7","1","1","3","0.167","17","94","15.32","16","80","16.67","10","61","14.08","0","10","0.00","0.48","6.6","6.79","7","53","11.67","4","38","9.52","0","8","0.00","0.00","78.95","1","17","5.56","1","12","7.69","0","2","0.00","0.00","83.33","6","36","14.29","3","26","10.34","0","6","0.00","0.00","76.92","5","40","11.11","1","23","4.17","0","2","0.00","0.00","91.30","0.00","83.61","0.836"
"4","New York Rangers","11","60.5333","6","3","2","6","14","0.636","16","114","12.31","15","85","15.00","11","65","14.47","0","8","0.00","0.78","5.96","11.57","7","55","11.29","6","30","16.67","0","6","0.00","0.00","80.00","2","13","13.33","2","10","16.67","0","3","0.00","0.00","70.00","5","42","10.64","4","20","16.67","0","3","0.00","0.00","85.00","7","56","11.11","3","34","8.11","0","2","0.00","0.00","94.12","0.00","87.69","0.877"
"5","Chicago Blackhawks","7","34.2","1","5","1","1","3","0.214","12","50","19.35","12","34","26.09","10","25","28.57","1","4","20.00","0.83","3.24","20.29","8","33","19.51","6","14","30.00","1","3","25.00","16.67","78.57","3","13","18.75","2","9","18.18","1","2","33.33","50.00","77.78","5","20","20.00","4","5","44.44","0","1","0.00","0.00","80.00","0","17","0.00","0","11","0.00","0","1","0.00","-","90.91","10.00","84.00","0.940"
"6","Vancouver Canucks","9","48.8833","3","5","1","2","7","0.389","10","98","9.26","10","76","11.63","9","60","13.04","0","10","0.00","0.29","7.2","3.86","1","46","2.13","0","31","0.00","0","10","0.00","-","67.74","1","21","4.55","0","17","0.00","0","5","0.00","-","70.59","0","25","0.00","0","14","0.00","0","5","0.00","-","64.29","2","49","3.92","2","29","6.45","0","0","-","0.00","100.00","0.00","83.33","0.833"
"7","Toronto Maple Leafs","6","35.2667","3","3","0","3","6","0.500","11","44","20.00","8","34","19.05","5","24","17.24","0","3","0.00","0.73","3.19","18.56","5","29","14.71","2","15","11.76","0","3","0.00","0.00","80.00","2","11","15.38","1","6","14.29","0","2","0.00","0.00","66.67","3","18","14.29","1","9","10.00","0","1","0.00","0.00","88.89","4","14","22.22","2","9","18.18","0","0","-","0.00","100.00","0.00","87.50","0.875"
"8","Tampa Bay Lightning","7","41.8833","5","1","1","4","11","0.786","11","65","14.47","8","48","14.29","7","33","17.50","0","3","0.00","0.76","5.01","13.17","6","41","12.77","4","22","15.38","0","3","0.00","0.00","86.36","3","19","13.64","3","14","17.65","0","3","0.00","0.00","78.57","3","22","12.00","1","8","11.11","0","0","-","0.00","100.00","3","23","11.54","1","11","8.33","0","0","-","0.00","100.00","0.00","90.91","0.909"
"9","Dallas Stars","9","54.2667","3","5","1","2","7","0.389","10","89","10.10","9","68","11.69","9","46","16.36","0","8","0.00","0.65","4.98","11.52","6","38","13.64","5","25","16.67","0","6","0.00","0.00","76.00","2","13","13.33","2","9","18.18","0","4","0.00","0.00","55.56","4","25","13.79","3","16","15.79","0","2","0.00","0.00","87.50","3","51","5.56","3","21","12.50","0","2","0.00","0.00","90.48","0.00","82.61","0.826"
"10","New York Islanders","13","57.95","5","6","2","5","12","0.462","14","100","12.28","13","74","14.94","9","56","13.85","0","6","0.00","0.9","6.19","12.65","7","47","12.96","4","25","13.79","0","3","0.00","0.00","88.00","3","15","16.67","2","10","16.67","0","2","0.00","0.00","80.00","4","32","11.11","2","15","11.76","0","1","0.00","0.00","93.33","3","52","5.45","1","30","3.23","0","3","0.00","0.00","90.00","0.00","89.29","0.893"
"11","Arizona Coyotes","11","70.25","1","9","1","1","3","0.136","13","134","8.84","10","105","8.70","8","70","10.26","0","11","0.00","0.76","9.08","7.70","6","57","9.52","4","31","11.43","0","6","0.00","0.00","80.65","4","30","11.76","3","19","13.64","0","5","0.00","0.00","73.68","2","27","6.90","1","12","7.69","0","1","0.00","0.00","91.67","3","74","3.90","0","39","0.00","0","5","0.00","-","87.18","0.00","84.29","0.843"
"12","Winnipeg Jets","8","47.1333","2","3","3","2","7","0.438","13","74","14.94","10","62","13.89","9","45","16.67","1","10","9.09","0.8","5.04","13.63","8","37","17.78","6","29","17.14","1","9","10.00","16.67","68.97","2","12","14.29","2","11","15.38","0","6","0.00","0.00","45.45","6","25","19.35","4","18","18.18","1","3","25.00","25.00","83.33","4","35","10.26","2","15","11.76","0","1","0.00","0.00","93.33","11.11","77.78","0.889"
"13","Vegas Golden Knights","7","26.4167","4","3","0","4","8","0.571","5","47","9.62","4","31","11.43","4","21","16.00","1","6","14.29","0.35","3.34","9.60","2","31","6.06","2","14","12.50","1","4","20.00","50.00","71.43","1","14","6.67","1","9","10.00","1","2","33.33","100.00","77.78","1","17","5.56","1","5","16.67","0","2","0.00","0.00","60.00","3","15","16.67","2","7","22.22","0","2","0.00","0.00","71.43","25.00","71.43","0.964"
"14","Minnesota Wild","10","60.15","6","4","0","5","12","0.600","8","106","7.02","7","80","8.05","6","50","10.71","0","5","0.00","0.15","6.66","2.20","2","57","3.39","1","29","3.33","0","5","0.00","0.00","82.76","0","18","0.00","0","14","0.00","0","4","0.00","-","71.43","2","39","4.88","1","15","6.25","0","1","0.00","0.00","93.33","0","45","0.00","0","20","0.00","0","0","-","-","100.00","0.00","90.00","0.900"
"15","Ottawa Senators","5","21.3333","1","3","1","1","3","0.300","6","38","13.64","6","29","17.14","5","25","16.67","0","4","0.00","0.2","2.79","6.73","1","23","4.17","1","19","5.00","0","3","0.00","0.00","84.21","1","8","11.11","1","8","11.11","0","2","0.00","0.00","75.00","0","15","0.00","0","11","0.00","0","1","0.00","-","90.91","2","14","12.50","2","6","25.00","0","1","0.00","0.00","83.33","0.00","84.00","0.840"
"16","Carolina Hurricanes","9","60.6","8","1","0","8","16","0.889","19","72","20.88","16","51","23.88","12","38","24.00","0","5","0.00","1.25","4.52","21.64","10","37","21.28","9","23","28.13","0","4","0.00","0.00","82.61","6","16","27.27","5","11","31.25","0","3","0.00","0.00","72.73","4","21","16.00","4","12","25.00","0","1","0.00","0.00","91.67","6","31","16.22","1","15","6.25","0","1","0.00","0.00","93.33","0.00","86.84","0.868"
"17","St Louis Blues","8","40.25","5","2","1","4","11","0.688","13","60","17.81","12","47","20.34","11","37","22.92","2","4","33.33","0.68","4.88","12.18","8","33","19.51","7","23","23.33","2","3","40.00","28.57","86.96","6","17","26.09","5","12","29.41","2","2","50.00","40.00","83.33","2","16","11.11","2","11","15.38","0","1","0.00","0.00","90.91","0","26","0.00","0","14","0.00","0","1","0.00","-","92.86","18.18","89.19","1.074"
"18","Calgary Flames","11","68.7833","7","2","2","7","16","0.727","21","97","17.80","19","71","21.11","17","53","24.29","1","5","16.67","1.19","5.65","17.36","8","49","14.04","6","28","17.65","1","4","20.00","16.67","85.71","5","12","29.41","4","8","33.33","1","2","33.33","25.00","75.00","3","37","7.50","2","20","9.09","0","2","0.00","0.00","90.00","6","46","11.54","4","23","14.81","0","1","0.00","0.00","95.65","5.88","90.57","0.964"
"19","Anaheim Ducks","7","27.6667","3","2","2","3","8","0.571","5","52","8.77","3","41","6.82","3","32","8.57","0","3","0.00","0.06","3.51","1.67","2","23","8.00","0","17","0.00","0","2","0.00","-","88.24","0","6","0.00","0","3","0.00","0","1","0.00","-","66.67","2","17","10.53","0","14","0.00","0","1","0.00","-","92.86","1","29","3.33","1","15","6.25","0","1","0.00","0.00","93.33","0.00","90.63","0.906"
"20","San Jose Sharks","10","50.35","5","5","0","5","10","0.500","7","96","6.80","7","75","8.54","7","49","12.50","0","4","0.00","0.37","6.49","5.33","4","61","6.15","4","36","10.00","0","3","0.00","0.00","91.67","2","19","9.52","2","13","13.33","0","0","-","0.00","100.00","2","42","4.55","2","23","8.00","0","3","0.00","0.00","86.96","0","35","0.00","0","13","0.00","0","1","0.00","-","92.31","0.00","91.84","0.918"
"21","Columbus Blue Jackets","5","29.4667","3","2","0","1","6","0.600","6","51","10.53","5","42","10.64","4","29","12.12","0","2","0.00","0.32","4.35","6.88","5","29","14.71","3","17","15.00","0","2","0.00","0.00","88.24","2","15","11.76","2","13","13.33","0","2","0.00","0.00","84.62","3","14","17.65","1","4","20.00","0","0","-","0.00","100.00","0","21","0.00","0","12","0.00","0","0","-","-","100.00","0.00","93.10","0.931"
"22","Florida Panthers","8","44.4333","3","2","3","3","9","0.563","7","73","8.75","6","59","9.23","6","45","11.76","1","6","14.29","0.71","5.36","11.75","3","40","6.98","2","29","6.45","1","5","16.67","50.00","82.76","1","21","4.55","1","19","5.00","0","5","0.00","0.00","73.68","2","19","9.52","1","10","9.09","1","0","100.00","100.00","100.00","2","32","5.88","2","16","11.11","0","1","0.00","0.00","93.75","16.67","86.67","1.033"
"23","Colorado Avalanche","7","37.95","4","3","0","3","8","0.571","7","65","9.72","7","52","11.86","7","39","15.22","2","3","40.00","0.63","4.35","12.66","5","27","15.63","5","22","18.52","2","3","40.00","40.00","86.36","2","14","12.50","2","10","16.67","1","2","33.33","50.00","80.00","3","13","18.75","3","12","20.00","1","1","50.00","33.33","91.67","1","35","2.78","1","17","5.56","0","0","-","0.00","100.00","28.57","92.31","1.209"
"24","Los Angeles Kings","8","35.4667","3","3","2","3","8","0.500","11","64","14.67","11","48","18.64","11","41","21.15","0","8","0.00","0.34","4.85","6.53","4","40","9.09","4","30","11.76","0","8","0.00","0.00","73.33","0","14","0.00","0","12","0.00","0","4","0.00","-","66.67","4","26","13.33","4","18","18.18","0","4","0.00","0.00","77.78","1","24","4.00","1","11","8.33","0","0","-","0.00","100.00","0.00","80.49","0.805"
"25","Boston Bruins","6","28.8667","2","4","0","2","4","0.333","8","39","17.02","8","26","23.53","7","18","28.00","0","5","0.00","0.33","2.83","10.43","1","19","5.00","1","11","8.33","0","4","0.00","0.00","63.64","1","9","10.00","1","6","14.29","0","3","0.00","0.00","50.00","0","10","0.00","0","5","0.00","0","1","0.00","-","80.00","2","17","10.53","1","5","16.67","0","0","-","0.00","100.00","0.00","72.22","0.722"
"26","Washington Capitals","8","30.9167","5","1","2","5","12","0.750","10","52","16.13","8","36","18.18","8","30","21.05","0","4","0.00","0.26","3.78","6.45","4","32","11.11","3","20","13.04","0","4","0.00","0.00","80.00","1","13","7.14","1","12","7.69","0","4","0.00","0.00","66.67","3","19","13.64","2","8","20.00","0","0","-","0.00","100.00","2","19","9.52","2","10","16.67","0","0","-","0.00","100.00","0.00","86.67","0.867"
"27","Edmonton Oilers","8","42.2167","5","3","0","5","10","0.625","14","65","17.72","13","55","19.12","11","40","21.57","1","2","33.33","1.18","5.18","18.53","8","37","17.78","6","22","21.43","1","2","33.33","16.67","90.91","3","16","15.79","3","11","21.43","0","1","0.00","0.00","90.91","5","21","19.23","3","11","21.43","1","1","50.00","33.33","90.91","0","28","0.00","0","18","0.00","0","0","-","-","100.00","9.09","95.00","1.041"
"28","Detroit Red Wings","10","50.3","3","7","0","3","6","0.300","11","86","11.34","9","60","13.04","8","46","14.81","0","9","0.00","0.76","6.99","9.80","3","50","5.66","2","33","5.71","0","6","0.00","0.00","81.82","2","18","10.00","2","15","11.76","0","2","0.00","0.00","86.67","1","32","3.03","0","18","0.00","0","4","0.00","-","77.78","4","33","10.81","2","13","13.33","0","3","0.00","0.00","76.92","0.00","80.43","0.804"
