"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Philadelphia Flyers","28","151.4833","12","12","4","10","28","0.500","49","248","16.50","44","185","19.21","36","128","21.95","0","24","0.00","1.82","15.67","10.42","18","115","13.53","12","65","15.58","0","18","0.00","0.00","72.31","6","45","11.76","6","34","15.00","0","12","0.00","0.00","64.71","12","70","14.63","6","31","16.22","0","6","0.00","0.00","80.65","7","127","5.22","2","62","3.13","0","6","0.00","0.00","90.32","0.00","81.25","0.813"
"2","Tampa Bay Lightning","28","135.5333","21","7","0","21","42","0.750","28","182","13.33","24","129","15.69","16","99","13.91","1","14","6.67","2.83","11.57","19.65","19","108","14.96","12","59","16.90","1","9","10.00","8.33","84.75","7","40","14.89","6","32","15.79","1","8","11.11","16.67","75.00","12","68","15.00","6","27","18.18","0","1","0.00","0.00","96.30","6","70","7.89","2","37","5.13","0","4","0.00","0.00","89.19","6.25","85.86","0.921"
"3","Toronto Maple Leafs","28","122.9833","18","7","3","18","39","0.696","41","158","20.60","38","121","23.90","34","92","26.98","1","17","5.56","3.25","9.94","24.62","31","82","27.43","28","48","36.84","1","13","7.14","3.57","72.92","13","27","32.50","12","20","37.50","0","7","0.00","0.00","65.00","18","55","24.66","16","28","36.36","1","6","14.29","6.25","78.57","2","73","2.67","0","41","0.00","0","3","0.00","-","92.68","2.94","81.52","0.845"
"4","Edmonton Oilers","28","141.7833","16","12","0","16","32","0.571","38","243","13.52","35","183","16.06","29","133","17.90","1","18","5.26","2.58","16.72","13.36","22","123","15.17","16","77","17.20","1","15","6.25","6.25","80.52","9","52","14.75","8","37","17.78","1","9","10.00","12.50","75.68","13","71","15.48","8","40","16.67","0","6","0.00","0.00","85.00","8","114","6.56","6","55","9.84","0","3","0.00","0.00","94.55","3.45","86.47","0.899"
"5","Colorado Avalanche","28","146.35","22","4","2","22","46","0.821","41","227","15.30","37","164","18.41","33","133","19.88","1","11","8.33","1.56","13.32","10.51","14","102","12.07","11","59","15.71","1","8","11.11","9.09","86.44","10","37","21.28","8","33","19.51","1","5","16.67","12.50","84.85","4","65","5.80","3","26","10.34","0","3","0.00","0.00","88.46","7","124","5.34","4","74","5.13","0","3","0.00","0.00","95.95","3.03","91.73","0.948"
"6","Buffalo Sabres","28","120.35","8","16","4","5","20","0.357","20","215","8.51","16","171","8.56","14","130","9.72","3","12","20.00","0.96","13.96","6.47","6","97","5.83","4","63","5.97","1","9","10.00","25.00","85.71","4","46","8.00","3","37","7.50","1","7","12.50","33.33","81.08","2","51","3.77","1","26","3.70","0","2","0.00","0.00","92.31","6","116","4.92","3","67","4.29","1","3","25.00","33.33","95.52","21.43","90.77","1.122"
"7","New Jersey Devils","28","123.0333","7","18","3","7","17","0.304","18","162","10.00","17","137","11.04","10","93","9.71","0","19","0.00","0.8","14.42","5.24","7","95","6.86","2","62","3.13","0","17","0.00","0.00","72.58","2","45","4.26","1","39","2.50","0","14","0.00","0.00","64.10","5","50","9.09","1","23","4.17","0","3","0.00","0.00","86.96","8","64","11.11","5","31","13.89","0","2","0.00","0.00","93.55","0.00","79.57","0.796"
"8","New York Rangers","28","159.9167","14","11","3","14","31","0.554","44","241","15.44","38","192","16.52","30","133","18.40","5","16","23.81","3.62","18.51","16.37","25","135","15.63","17","85","16.67","3","14","17.65","17.65","83.53","16","62","20.51","11","44","20.00","2","7","22.22","18.18","84.09","9","73","10.98","6","41","12.77","1","7","12.50","16.67","82.93","8","104","7.14","3","48","5.88","0","2","0.00","0.00","95.83","16.67","87.97","1.046"
"9","Florida Panthers","28","130","20","5","3","20","43","0.768","37","207","15.16","32","162","16.49","27","126","17.65","3","17","15.00","2.26","13.83","14.02","21","88","19.27","13","61","17.57","3","12","20.00","23.08","80.33","12","33","26.67","9","26","25.71","3","7","30.00","33.33","73.08","9","55","14.06","4","35","10.26","0","5","0.00","0.00","85.71","9","111","7.50","8","63","11.27","0","3","0.00","0.00","95.24","11.11","86.51","0.976"
"10","Detroit Red Wings","28","138.8333","12","11","5","11","29","0.518","27","238","10.19","24","186","11.43","20","137","12.74","0","19","0.00","1.17","17.03","6.45","10","125","7.41","6","79","7.06","0","16","0.00","0.00","79.75","5","53","8.62","4","45","8.16","0","14","0.00","0.00","68.89","5","72","6.49","2","34","5.56","0","2","0.00","0.00","94.12","7","110","5.98","6","58","9.38","0","3","0.00","0.00","94.83","0.00","86.13","0.861"
"11","Nashville Predators","28","142.2167","18","10","0","16","36","0.643","27","193","12.27","25","148","14.45","20","114","14.93","3","19","13.64","2","12.09","14.20","17","91","15.74","13","61","17.57","3","16","15.79","23.08","73.77","12","34","26.09","10","28","26.32","3","10","23.08","30.00","64.29","5","57","8.06","3","33","8.33","0","6","0.00","0.00","81.82","6","97","5.83","4","52","7.14","0","2","0.00","0.00","96.15","15.00","83.33","0.983"
"12","Winnipeg Jets","28","128.5","13","13","2","13","28","0.500","26","192","11.93","20","139","12.58","15","108","12.20","1","13","7.14","1.09","13.27","7.56","13","95","12.04","7","59","10.61","1","11","8.33","14.29","81.36","4","45","8.16","3","33","8.33","1","5","16.67","33.33","84.85","9","50","15.25","4","26","13.33","0","6","0.00","0.00","76.92","3","90","3.23","0","47","0.00","0","2","0.00","-","95.74","6.67","87.96","0.946"
"13","Arizona Coyotes","28","121.8333","12","12","4","10","28","0.500","20","212","8.62","14","171","7.57","10","118","7.81","0","18","0.00","0.66","16.42","3.87","7","104","6.31","2","68","2.86","0","16","0.00","0.00","76.47","3","46","6.12","1","36","2.70","0","14","0.00","0.00","61.11","4","58","6.45","1","32","3.03","0","2","0.00","0.00","93.75","4","106","3.64","1","50","1.96","0","2","0.00","0.00","96.00","0.00","84.75","0.847"
"14","Vegas Golden Knights","28","127.6667","21","5","2","20","44","0.786","40","203","16.46","32","133","19.39","25","89","21.93","3","8","27.27","2.08","12.14","14.65","23","103","18.25","13","51","20.31","2","7","22.22","15.38","86.27","10","33","23.26","7","24","22.58","1","4","20.00","14.29","83.33","13","70","15.66","6","27","18.18","1","3","25.00","16.67","88.89","8","96","7.69","4","37","9.76","0","1","0.00","0.00","97.30","12.00","91.01","1.030"
"15","Los Angeles Kings","28","123.9667","9","14","5","9","23","0.411","17","226","7.00","16","172","8.51","14","122","10.29","2","16","11.11","1.42","14.77","8.77","10","115","8.00","9","67","11.84","2","10","16.67","22.22","85.07","5","41","10.87","5","27","15.63","1","5","16.67","20.00","81.48","5","74","6.33","4","40","9.09","1","5","16.67","25.00","87.50","2","108","1.82","0","55","0.00","0","6","0.00","-","89.09","14.29","86.89","1.012"
"16","Ottawa Senators","28","144.0333","14","10","4","13","32","0.571","39","218","15.18","36","165","17.91","31","121","20.39","3","12","20.00","2.91","13.76","17.47","24","125","16.11","20","71","21.98","3","9","25.00","15.00","87.32","14","46","23.33","13","28","31.71","3","3","50.00","23.08","89.29","10","79","11.24","7","43","14.00","0","6","0.00","0.00","86.05","7","91","7.14","3","50","5.66","0","3","0.00","0.00","94.00","9.68","90.08","0.998"
"17","Calgary Flames","28","124.95","15","12","1","15","31","0.554","34","195","14.85","28","146","16.09","20","107","15.75","1","16","5.88","1.81","13.61","11.73","15","114","11.63","11","69","13.75","1","14","6.67","9.09","79.71","7","39","15.22","7","28","20.00","1","7","12.50","14.29","75.00","8","75","9.64","4","41","8.89","0","7","0.00","0.00","82.93","11","81","11.96","4","38","9.52","0","2","0.00","0.00","94.74","5.00","85.05","0.900"
"18","Pittsburgh Penguins","28","139.9667","22","4","2","20","46","0.821","31","215","12.60","25","168","12.95","21","131","13.82","4","12","25.00","1.88","14.92","11.20","15","101","12.93","10","71","12.35","4","8","33.33","40.00","88.73","8","44","15.38","7","41","14.58","3","7","30.00","42.86","82.93","7","57","10.94","3","30","9.09","1","1","50.00","33.33","96.67","9","110","7.56","5","59","7.81","0","4","0.00","0.00","93.22","19.05","90.84","1.099"
"19","New York Islanders","28","98.7167","21","4","3","18","45","0.804","25","149","14.37","25","108","18.80","21","68","23.60","3","4","42.86","1.57","9.24","14.49","13","79","14.13","12","35","25.53","2","3","40.00","16.67","91.43","10","31","24.39","9","23","28.13","2","1","66.67","22.22","95.65","3","48","5.88","3","12","20.00","0","2","0.00","0.00","83.33","5","68","6.85","2","32","5.88","1","1","50.00","50.00","96.88","14.29","94.12","1.084"
"20","St Louis Blues","28","132.8833","12","11","5","12","29","0.518","25","221","10.16","25","169","12.89","20","119","14.39","1","17","5.56","0.93","16.11","5.48","9","108","7.69","5","61","7.58","1","17","5.56","20.00","72.13","5","48","9.43","2","28","6.67","1","10","9.09","50.00","64.29","4","60","6.25","3","33","8.33","0","7","0.00","0.00","78.79","6","105","5.41","5","57","8.06","0","0","-","0.00","100.00","5.00","85.71","0.907"
"21","Anaheim Ducks","28","141.8833","6","18","4","5","16","0.286","36","206","14.88","33","156","17.46","28","117","19.31","1","18","5.26","1.6","16.18","8.99","14","130","9.72","11","85","11.46","1","15","6.25","9.09","82.35","8","59","11.94","7","43","14.00","1","10","9.09","14.29","76.74","6","71","7.79","4","42","8.70","0","5","0.00","0.00","88.10","7","72","8.86","4","32","11.11","0","3","0.00","0.00","90.63","3.57","84.62","0.882"
"22","Vancouver Canucks","28","168.05","13","12","3","11","29","0.518","43","273","13.61","40","220","15.38","32","166","16.16","4","19","17.39","2.32","20.59","10.13","15","159","8.62","10","104","8.77","2","12","14.29","20.00","88.46","5","60","7.69","4","47","7.84","0","8","0.00","0.00","82.98","10","99","9.17","6","57","9.52","2","4","33.33","33.33","92.98","13","111","10.48","9","61","12.86","1","7","12.50","11.11","88.52","12.50","88.55","1.011"
"23","Boston Bruins","28","157.9667","18","7","3","15","39","0.696","46","207","18.18","44","162","21.36","40","120","25.00","4","12","25.00","2.36","11.85","16.60","21","101","17.21","18","64","21.95","3","10","23.08","16.67","84.38","9","30","23.08","8","25","24.24","2","6","25.00","25.00","76.00","12","71","14.46","10","39","20.41","1","4","20.00","10.00","89.74","9","101","8.18","6","55","9.84","0","2","0.00","0.00","96.36","10.00","90.00","1.000"
"24","Carolina Hurricanes","28","145.5","20","3","5","19","45","0.804","48","169","22.12","44","121","26.67","33","91","26.61","4","7","36.36","4.25","11.74","26.57","22","73","23.16","15","45","25.00","2","7","22.22","13.33","84.44","15","34","30.61","11","21","34.38","1","3","25.00","9.09","85.71","7","39","15.22","4","24","14.29","1","4","20.00","25.00","83.33","9","85","9.57","6","44","12.00","1","0","100.00","16.67","100.00","12.12","92.31","1.044"
"25","Columbus Blue Jackets","28","112.8333","11","9","8","9","30","0.536","38","166","18.63","35","126","21.74","32","87","26.89","4","18","18.18","1.69","10.97","13.36","18","70","20.45","15","46","24.59","3","16","15.79","20.00","65.22","11","25","30.56","10","21","32.26","2","10","16.67","20.00","52.38","7","45","13.46","5","25","16.67","1","6","14.29","20.00","76.00","11","90","10.89","8","41","16.33","1","2","33.33","12.50","95.12","12.50","79.31","0.918"
"26","Washington Capitals","28","150.7833","17","8","3","16","37","0.661","32","214","13.01","27","156","14.75","18","92","16.36","1","14","6.67","1.05","15.6","6.32","11","112","8.94","6","52","10.34","1","11","8.33","16.67","78.85","3","56","5.08","2","29","6.45","1","4","20.00","50.00","86.21","8","56","12.50","4","23","14.81","0","7","0.00","0.00","69.57","12","97","11.01","4","40","9.09","0","3","0.00","0.00","92.50","5.56","84.78","0.903"
