"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","56","245.1667","37","16","3","34","77","0.688","374","70","84.23","286","61","82.42","222","54","80.43","36","4","90.00","27.18","4.22","86.57","216","36","85.71","136","29","82.42","31","4","88.57","22.79","86.21","96","20","82.76","79","16","83.16","23","2","92.00","29.11","87.50","120","16","88.24","57","13","81.43","8","2","80.00","14.04","84.62","151","19","88.82","86","11","88.66","5","0","100.00","5.81","100.00","16.22","92.59","1.088"
"2","Philadelphia Flyers","56","291.5667","25","23","8","22","58","0.518","445","75","85.58","337","63","84.25","236","51","82.23","32","6","84.21","30.02","3.42","89.78","213","29","88.02","125","16","88.65","28","4","87.50","22.40","75.00","106","16","86.89","88","12","88.00","20","3","86.96","22.73","75.00","107","13","89.17","37","4","90.24","8","1","88.89","21.62","75.00","224","23","90.69","109","16","87.20","4","1","80.00","3.67","93.75","13.56","88.24","1.018"
"3","Chicago Blackhawks","56","314.6333","24","25","7","22","55","0.491","425","77","84.66","310","67","82.23","246","59","80.66","38","6","86.36","29.08","5.7","83.60","248","39","86.41","160","29","84.66","34","5","87.18","21.25","82.76","91","23","79.82","69","19","78.41","23","3","88.46","33.33","84.21","157","16","90.75","91","10","90.10","11","2","84.62","12.09","80.00","163","22","88.11","85","15","85.00","4","0","100.00","4.71","100.00","15.45","89.83","1.053"
"4","Tampa Bay Lightning","56","300.75","36","17","3","35","75","0.670","431","54","88.87","338","46","88.02","245","44","84.78","40","3","93.02","29.34","2.69","91.62","213","32","86.94","143","26","84.62","33","3","91.67","23.08","88.46","74","13","85.06","64","13","83.12","21","1","95.45","32.81","92.31","139","19","87.97","79","13","85.87","12","2","85.71","15.19","84.62","206","9","95.81","100","7","93.46","7","0","100.00","7.00","100.00","16.33","93.18","1.095"
"5","Montreal Canadiens","56","263.1833","24","21","11","23","59","0.527","336","45","88.19","260","36","87.84","196","34","85.22","29","2","93.55","22.26","1.77","92.63","161","20","88.95","102","13","88.70","18","2","90.00","17.65","84.62","65","9","87.84","52","8","86.67","13","2","86.67","25.00","75.00","96","11","89.72","50","5","90.91","5","0","100.00","10.00","100.00","168","7","96.00","93","4","95.88","11","0","100.00","11.83","100.00","14.80","94.12","1.089"
"6","Toronto Maple Leafs","56","260.1333","35","14","7","34","77","0.688","440","72","85.94","338","65","83.87","246","56","81.46","31","7","81.58","33.96","5.93","85.14","278","45","86.07","166","36","82.18","26","6","81.25","15.66","83.33","118","18","86.76","87","17","83.65","15","6","71.43","17.24","64.71","160","27","85.56","79","19","80.61","11","0","100.00","13.92","100.00","156","11","93.41","79","6","92.94","5","0","100.00","6.33","100.00","12.60","87.50","1.001"
"7","Vancouver Canucks","56","272.1667","23","29","4","20","50","0.446","447","61","87.99","323","57","85.00","222","45","83.15","27","4","87.10","27.7","4.44","86.19","254","39","86.69","134","30","81.71","21","4","84.00","15.67","86.67","81","15","84.38","52","13","80.00","13","3","81.25","25.00","76.92","173","24","87.82","82","17","82.83","8","1","88.89","9.76","94.12","189","9","95.45","87","6","93.55","6","0","100.00","6.90","100.00","12.16","91.11","1.033"
"8","Edmonton Oilers","56","273.35","35","19","2","35","72","0.643","480","57","89.39","367","49","88.22","275","43","86.48","48","4","92.31","36.73","2.91","92.67","295","28","91.33","190","25","88.37","39","4","90.70","20.53","84.00","121","9","93.08","96","9","91.43","22","2","91.67","22.92","77.78","174","19","90.16","94","16","85.45","17","2","89.47","18.09","87.50","182","10","94.79","84","2","97.67","9","0","100.00","10.71","100.00","17.45","90.70","1.082"
"9","St Louis Blues","56","241.2333","27","20","9","25","63","0.563","426","45","90.45","317","37","89.55","242","24","90.98","36","1","97.30","27.61","2.57","91.47","196","20","90.74","128","10","92.75","29","1","96.67","22.66","90.00","67","11","85.90","52","6","89.66","13","0","100.00","25.00","100.00","129","9","93.48","76","4","95.00","16","1","94.12","21.05","75.00","221","12","94.85","112","4","96.55","7","0","100.00","6.25","100.00","14.88","95.83","1.107"
"10","Colorado Avalanche","56","333","39","13","4","39","82","0.732","593","64","90.26","452","56","88.98","343","46","88.17","47","2","95.92","44.28","2.87","93.91","339","26","92.88","217","20","91.56","39","2","95.12","17.97","90.00","145","15","90.63","104","13","88.89","18","1","94.74","17.31","92.31","194","11","94.63","113","7","94.17","21","1","95.45","18.58","85.71","248","14","94.66","125","5","96.15","8","0","100.00","6.40","100.00","13.70","95.65","1.094"
"11","Washington Capitals","56","259.95","36","15","5","33","77","0.688","411","57","87.82","334","50","86.98","243","40","85.87","38","8","82.61","28.95","3.65","88.81","193","21","90.19","126","14","90.00","28","4","87.50","22.22","71.43","65","8","89.04","55","6","90.16","16","3","84.21","29.09","50.00","128","13","90.78","71","8","89.87","12","1","92.31","16.90","87.50","205","19","91.52","113","10","91.87","9","2","81.82","7.96","80.00","15.64","80.00","0.956"
"12","Buffalo Sabres","56","247.45","15","34","7","11","37","0.330","334","49","87.21","265","46","85.21","193","38","83.55","30","5","85.71","23.33","3.23","87.84","149","19","88.69","97","13","88.18","22","3","88.00","22.68","76.92","67","14","82.72","54","11","83.08","12","2","85.71","22.22","81.82","82","5","94.25","43","2","95.56","10","1","90.91","23.26","50.00","182","11","94.30","96","6","94.12","8","0","100.00","8.33","100.00","15.54","86.84","1.024"
