"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","28","133.6333","15","12","1","14","31","0.554","199","42","82.57","151","38","79.89","112","34","76.71","19","3","86.36","13.74","2.55","84.35","114","22","83.82","67","19","77.91","16","3","84.21","23.88","84.21","50","11","81.97","40","10","80.00","13","1","92.86","32.50","90.00","64","11","85.33","27","9","75.00","3","2","60.00","11.11","77.78","81","12","87.10","45","7","86.54","3","0","100.00","6.67","100.00","16.96","91.18","1.081"
"2","Chicago Blackhawks","28","166.0333","11","14","3","10","25","0.446","209","41","83.60","155","36","81.15","122","34","78.21","19","3","86.36","14.4","2.9","83.24","117","17","87.31","79","14","84.95","17","2","89.47","21.52","85.71","41","9","82.00","32","9","78.05","11","2","84.62","34.38","77.78","76","8","90.48","47","5","90.38","6","0","100.00","12.77","100.00","86","14","86.00","42","10","80.77","2","0","100.00","4.76","100.00","15.57","91.18","1.068"
"3","Montreal Canadiens","28","135.3833","11","10","7","11","29","0.518","166","23","87.83","135","19","87.66","100","17","85.47","14","1","93.33","11.3","0.89","92.68","74","11","87.06","49","7","87.50","8","1","88.89","16.33","85.71","33","5","86.84","24","4","85.71","6","1","85.71","25.00","75.00","41","6","87.23","25","3","89.29","2","0","100.00","8.00","100.00","87","6","93.55","51","4","92.73","6","0","100.00","11.76","100.00","14.00","94.12","1.081"
"4","Vancouver Canucks","28","129.0167","10","17","1","9","21","0.375","198","30","86.84","143","30","82.66","100","22","81.97","9","1","90.00","10.79","2.2","83.10","98","21","82.35","53","17","75.71","7","1","87.50","13.21","94.12","24","7","77.42","14","6","70.00","3","1","75.00","21.43","83.33","74","14","84.09","39","11","78.00","4","0","100.00","10.26","100.00","98","4","96.08","47","3","94.00","2","0","100.00","4.26","100.00","9.00","95.45","1.045"
"5","St Louis Blues","28","105.05","15","9","4","13","34","0.607","185","20","90.24","135","17","88.82","95","13","87.96","17","1","94.44","11.64","0.96","92.35","99","8","92.52","62","4","93.94","15","1","93.75","24.19","75.00","31","5","86.11","24","3","88.89","7","0","100.00","29.17","100.00","68","3","95.77","38","1","97.44","8","1","88.89","21.05","0.00","83","4","95.40","33","2","94.29","2","0","100.00","6.06","100.00","17.89","92.31","1.102"
"6","Washington Capitals","28","135.3333","19","7","2","17","40","0.714","228","27","89.41","186","24","88.57","143","21","87.20","16","4","80.00","15.84","1.67","90.46","110","12","90.16","72","9","88.89","12","2","85.71","16.67","77.78","42","5","89.36","33","4","89.19","6","2","75.00","18.18","50.00","68","7","90.67","39","5","88.64","6","0","100.00","15.38","100.00","113","5","95.76","69","2","97.18","4","1","80.00","5.80","50.00","11.19","80.95","0.921"
"7","Boston Bruins","28","132.1333","15","9","4","14","34","0.607","211","41","83.73","159","36","81.54","97","29","76.98","14","3","82.35","14.37","2.46","85.39","111","18","86.05","58","14","80.56","11","2","84.62","18.97","85.71","54","14","79.41","31","13","70.45","10","2","83.33","32.26","84.62","57","4","93.44","27","1","96.43","1","0","100.00","3.70","100.00","98","12","89.09","39","5","88.64","3","1","75.00","7.69","80.00","14.43","89.66","1.041"
"8","New York Islanders","28","142.55","11","13","4","10","26","0.464","199","24","89.24","159","19","89.33","116","12","90.63","10","0","100.00","14.43","1.01","93.45","107","11","90.68","71","6","92.21","8","0","100.00","11.27","100.00","45","4","91.84","36","2","94.74","6","0","100.00","16.67","100.00","62","7","89.86","35","4","89.74","2","0","100.00","5.71","100.00","88","9","90.72","45","3","93.75","2","0","100.00","4.44","100.00","8.62","100.00","1.086"
"9","Dallas Stars","28","119.8167","10","12","6","9","26","0.464","182","30","85.85","142","28","83.53","103","20","83.74","15","2","88.24","13.11","1.63","88.95","94","13","87.85","58","7","89.23","13","1","92.86","22.41","85.71","50","8","86.21","37","4","90.24","12","1","92.31","32.43","75.00","44","5","89.80","21","3","87.50","1","0","100.00","4.76","100.00","81","7","92.05","44","7","86.27","2","1","66.67","4.55","85.71","14.56","90.00","1.046"
"10","Carolina Hurricanes","28","120.25","16","9","3","13","35","0.625","195","38","83.69","129","33","79.63","96","22","81.36","17","3","85.00","10.5","3.85","73.20","107","26","80.45","55","16","77.46","12","3","80.00","21.82","81.25","36","16","69.23","28","12","70.00","10","3","76.92","35.71","75.00","71","10","87.65","27","4","87.10","2","0","100.00","7.41","100.00","80","8","90.91","39","4","90.70","3","0","100.00","7.69","100.00","17.71","86.36","1.041"
"11","Columbus Blue Jackets","28","88.2","7","17","4","6","18","0.321","125","27","82.24","97","24","80.17","73","21","77.66","5","2","71.43","8.1","1.7","82.69","54","13","80.60","35","10","77.78","2","2","50.00","5.71","80.00","21","9","70.00","15","7","68.18","2","1","66.67","13.33","85.71","33","4","89.19","20","3","86.96","0","1","0.00","0.00","66.67","69","7","90.79","38","5","88.37","3","0","100.00","7.89","100.00","6.85","90.48","0.973"
"12","Calgary Flames","28","143.7","11","15","2","10","24","0.429","218","57","79.27","170","51","76.92","120","42","74.07","12","4","75.00","14.24","4.28","76.87","99","34","74.44","62","25","71.26","9","3","75.00","14.52","88.00","41","13","75.93","29","11","72.50","4","2","66.67","13.79","81.82","58","21","73.42","33","14","70.21","5","1","83.33","15.15","92.86","112","9","92.56","56","6","90.32","3","1","75.00","5.36","83.33","10.00","90.48","1.005"
"13","San Jose Sharks","28","124.8667","10","15","3","6","23","0.411","192","30","86.49","146","26","84.88","109","23","82.58","12","2","85.71","12.82","1.82","87.60","84","11","88.42","51","10","83.61","11","2","84.62","21.57","80.00","35","7","83.33","30","6","83.33","8","2","80.00","26.67","66.67","49","4","92.45","21","4","84.00","3","0","100.00","14.29","100.00","100","8","92.59","57","4","93.44","1","0","100.00","1.75","100.00","11.01","91.30","1.023"
"14","Anaheim Ducks","28","95.45","11","12","5","10","27","0.482","132","27","83.02","103","25","80.47","71","18","79.78","8","1","88.89","9.89","1.22","89.04","58","14","80.56","29","8","78.38","7","1","87.50","24.14","87.50","31","7","81.58","19","4","82.61","6","0","100.00","31.58","100.00","27","7","79.41","10","4","71.43","1","1","50.00","10.00","75.00","72","4","94.74","42","1","97.67","1","0","100.00","2.38","100.00","11.27","94.44","1.057"
"15","Minnesota Wild","28","142.3833","14","11","3","13","31","0.554","244","37","86.83","186","32","85.32","125","26","82.78","12","1","92.31","15.53","1.68","90.24","115","17","87.12","69","9","88.46","11","1","91.67","15.94","88.89","42","11","79.25","30","7","81.08","5","1","83.33","16.67","85.71","73","6","92.41","39","2","95.12","6","0","100.00","15.38","100.00","123","8","93.89","55","5","91.67","1","0","100.00","1.82","100.00","9.60","96.15","1.058"
"16","Toronto Maple Leafs","28","133.5667","17","7","4","16","38","0.679","232","47","83.15","183","40","82.06","139","35","79.89","20","4","83.33","18.42","3.24","85.05","145","26","84.80","91","20","81.98","16","3","84.21","17.58","85.00","66","12","84.62","46","11","80.70","9","3","75.00","19.57","72.73","79","14","84.95","45","9","83.33","7","0","100.00","15.56","100.00","85","8","91.40","48","4","92.31","4","0","100.00","8.33","100.00","14.39","88.57","1.030"
"17","Buffalo Sabres","28","112.95","7","18","3","6","17","0.304","156","24","86.67","119","23","83.80","89","17","83.96","14","4","77.78","10.62","1.98","84.30","76","9","89.41","47","5","90.38","10","2","83.33","21.28","60.00","29","6","82.86","25","4","86.21","5","2","71.43","20.00","50.00","47","3","94.00","22","1","95.65","5","0","100.00","22.73","100.00","80","4","95.24","42","1","97.67","4","0","100.00","9.52","100.00","15.73","76.47","0.922"
"18","Winnipeg Jets","28","148.5333","17","10","1","17","35","0.625","266","45","85.53","198","38","83.90","149","30","83.24","21","2","91.30","16.47","2.9","85.02","146","23","86.39","85","16","84.16","15","2","88.24","17.65","87.50","49","14","77.78","37","12","75.51","8","1","88.89","21.62","91.67","97","9","91.51","48","4","92.31","7","1","87.50","14.58","75.00","116","13","89.92","61","5","92.42","5","0","100.00","8.20","100.00","14.09","93.33","1.074"
"19","Arizona Coyotes","28","138.9","12","14","2","11","26","0.464","198","30","86.84","146","27","84.39","107","22","82.95","20","2","90.91","13","1.55","89.38","90","12","88.24","52","9","85.25","15","1","93.75","28.85","88.89","34","7","82.93","21","4","84.00","9","1","90.00","42.86","75.00","56","5","91.80","31","5","86.11","6","0","100.00","19.35","100.00","104","8","92.86","53","6","89.83","5","0","100.00","9.43","100.00","18.69","90.91","1.096"
"20","New Jersey Devils","28","140.7333","12","12","4","12","28","0.500","197","31","86.40","141","31","81.98","96","27","78.05","10","1","90.91","12.29","1.78","87.38","87","18","82.86","49","16","75.38","6","1","85.71","12.24","93.75","25","7","78.13","20","7","74.07","2","0","100.00","10.00","100.00","62","11","84.93","29","9","76.32","4","1","80.00","13.79","88.89","106","6","94.64","47","4","92.16","4","0","100.00","8.51","100.00","10.42","96.30","1.067"
"21","Colorado Avalanche","28","176.3833","17","9","2","17","36","0.643","292","26","91.82","210","22","90.52","158","17","90.29","22","0","100.00","21.1","0.75","96.55","166","8","95.40","107","5","95.54","19","0","100.00","17.76","100.00","75","3","96.15","57","3","95.00","11","0","100.00","19.30","100.00","91","5","94.79","50","2","96.15","8","0","100.00","16.00","100.00","123","6","95.35","51","1","98.08","3","0","100.00","5.88","100.00","13.92","100.00","1.139"
"22","Edmonton Oilers","28","118.15","19","7","2","19","40","0.714","198","27","88.00","154","23","87.01","118","18","86.76","23","1","95.83","15.13","1.33","91.93","117","13","90.00","73","11","86.90","16","1","94.12","21.92","90.91","45","5","90.00","37","5","88.10","9","0","100.00","24.32","100.00","72","8","90.00","36","6","85.71","7","1","87.50","19.44","83.33","80","6","93.02","44","2","95.65","7","0","100.00","15.91","100.00","19.49","94.44","1.139"
"23","Philadelphia Flyers","28","151.4833","13","11","4","12","30","0.536","219","40","84.56","174","32","84.47","120","25","82.76","13","3","81.25","15.28","1.76","89.69","105","17","86.07","67","8","89.33","12","2","85.71","17.91","75.00","58","8","87.88","50","5","90.91","8","2","80.00","16.00","60.00","47","9","83.93","17","3","85.00","4","0","100.00","23.53","100.00","110","8","93.22","53","5","91.38","1","0","100.00","1.89","100.00","10.83","88.00","0.988"
"24","Florida Panthers","28","157.9667","17","9","2","16","36","0.643","258","38","87.16","204","35","85.36","152","30","83.52","25","2","92.59","17.96","2.13","89.40","132","19","87.42","87","14","86.14","21","1","95.45","24.14","92.86","52","8","86.67","43","7","86.00","14","0","100.00","32.56","100.00","80","11","87.91","44","7","86.27","7","1","87.50","15.91","85.71","119","6","95.20","64","4","94.12","4","1","80.00","6.25","75.00","16.45","93.33","1.098"
"25","Tampa Bay Lightning","28","156.05","15","10","3","14","33","0.589","232","32","87.88","179","28","86.47","125","28","81.70","22","2","91.67","16.11","1.64","90.75","108","17","86.40","67","15","81.71","19","2","90.48","28.36","86.67","38","8","82.61","30","8","78.95","10","1","90.91","33.33","87.50","70","9","88.61","37","7","84.09","9","1","90.00","24.32","85.71","117","5","95.90","57","5","91.94","3","0","100.00","5.26","100.00","17.60","92.86","1.105"
"26","New York Rangers","28","153.4","13","12","3","12","29","0.518","242","36","87.05","190","33","85.20","122","25","82.99","17","2","89.47","17.59","0.86","95.31","125","9","93.28","66","4","94.29","15","2","88.24","22.73","50.00","56","3","94.92","37","2","94.87","8","2","80.00","21.62","0.00","69","6","92.00","29","2","93.55","7","0","100.00","24.14","100.00","111","8","93.28","54","3","94.74","2","0","100.00","3.70","100.00","13.93","92.00","1.059"
