"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Philadelphia Flyers","28","140.0833","12","12","4","10","28","0.500","226","35","86.59","163","31","84.02","116","26","81.69","19","3","86.36","14.74","1.66","89.87","108","12","90.00","58","8","87.88","16","2","88.89","27.59","75.00","48","8","85.71","38","7","84.44","12","1","92.31","31.58","85.71","60","4","93.75","20","1","95.24","4","1","80.00","20.00","0.00","114","15","88.37","56","11","83.58","3","1","75.00","5.36","90.91","16.38","88.46","1.048"
"2","Tampa Bay Lightning","28","144.7","21","7","0","21","42","0.750","199","22","90.05","159","18","89.83","120","16","88.24","18","1","94.74","13.23","1.04","92.69","105","15","87.50","76","11","87.36","14","1","93.33","18.42","90.91","36","5","87.80","34","5","87.18","11","0","100.00","32.35","100.00","69","10","87.34","42","6","87.50","3","1","75.00","7.14","83.33","89","4","95.70","43","2","95.56","4","0","100.00","9.30","100.00","15.00","93.75","1.088"
"3","Toronto Maple Leafs","28","126.5667","18","7","3","18","39","0.696","208","25","89.27","155","25","86.11","107","21","83.59","11","3","78.57","15.54","2.69","85.24","133","19","87.50","75","16","82.42","10","3","76.92","13.33","81.25","52","6","89.66","41","6","87.23","6","3","66.67","14.63","50.00","81","13","86.17","34","10","77.27","4","0","100.00","11.76","100.00","71","3","95.95","31","2","93.94","1","0","100.00","3.23","100.00","10.28","85.71","0.960"
"4","Edmonton Oilers","28","155.2","16","12","0","16","32","0.571","282","30","90.38","213","26","89.12","157","25","86.26","25","3","89.29","21.59","1.58","93.20","178","15","92.23","117","14","89.31","23","3","88.46","19.66","78.57","76","4","95.00","59","4","93.65","13","2","86.67","22.03","50.00","102","11","90.27","58","10","85.29","10","1","90.91","17.24","90.00","102","4","96.23","40","0","100.00","2","0","100.00","5.00","-","15.92","88.00","1.039"
"5","Colorado Avalanche","28","156.6167","22","4","2","22","46","0.821","301","38","88.79","242","34","87.68","185","29","86.45","25","2","92.59","23.18","2.12","91.63","173","18","90.58","110","15","88.00","20","2","90.91","18.18","86.67","70","12","85.37","47","10","82.46","7","1","87.50","14.89","90.00","103","6","94.50","63","5","92.65","13","1","92.86","20.63","80.00","125","8","93.98","74","4","94.87","5","0","100.00","6.76","100.00","13.51","93.10","1.066"
"6","Buffalo Sabres","28","134.5","8","16","4","5","20","0.357","178","25","87.68","146","23","86.39","104","21","83.20","16","1","94.12","12.71","1.25","91.03","73","10","87.95","50","8","86.21","12","1","92.31","24.00","87.50","38","8","82.61","29","7","80.56","7","0","100.00","24.14","100.00","35","2","94.59","21","1","95.45","5","1","83.33","23.81","0.00","102","7","93.58","54","5","91.53","4","0","100.00","7.41","100.00","15.38","95.24","1.106"
"7","New Jersey Devils","28","130.6667","7","18","3","7","17","0.304","165","20","89.19","130","18","87.84","98","14","87.50","12","4","75.00","11.82","2.47","82.74","83","13","86.46","52","11","82.54","10","3","76.92","19.23","72.73","34","7","82.93","21","7","75.00","7","3","70.00","33.33","57.14","49","6","89.09","31","4","88.57","3","0","100.00","9.68","100.00","81","2","97.59","46","0","100.00","2","0","100.00","4.35","-","12.24","71.43","0.837"
"8","New York Rangers","28","146.5333","14","11","3","14","31","0.554","267","29","90.20","207","24","89.61","144","17","89.44","20","2","90.91","19.89","1.27","94.01","153","10","93.87","93","8","92.08","16","1","94.12","17.20","87.50","70","4","94.59","50","3","94.34","13","1","92.86","26.00","66.67","83","6","93.26","43","5","89.58","3","0","100.00","6.98","100.00","111","6","94.87","50","2","96.15","4","0","100.00","8.00","100.00","13.89","88.24","1.021"
"9","Florida Panthers","28","169.2333","20","5","3","20","43","0.768","267","47","85.03","209","43","82.94","163","35","82.32","14","2","87.50","18.38","3.79","82.91","112","20","84.85","83","15","84.69","11","2","84.62","13.25","86.67","52","9","85.25","46","8","85.19","6","1","85.71","13.04","87.50","60","11","84.51","37","7","84.09","5","1","83.33","13.51","85.71","146","15","90.68","78","10","88.64","3","0","100.00","3.85","100.00","8.59","94.29","1.029"
"10","Detroit Red Wings","28","137.95","12","11","5","11","29","0.518","167","35","82.67","125","30","80.65","86","28","75.44","4","1","80.00","10.93","2.34","82.34","84","21","80.00","47","19","71.21","3","1","75.00","6.38","94.74","29","10","74.36","25","10","71.43","2","0","100.00","8.00","100.00","55","11","83.33","22","9","70.97","1","1","50.00","4.55","88.89","81","11","88.04","39","6","86.67","1","0","100.00","2.56","100.00","4.65","96.43","1.011"
