"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","56","51.6961","37","16","3","34","77","0.688","51.3","50.69","50.29","39.46","38.82","50.41","29.51","29.2","50.26","3.13","2.38","56.77","2.42","2.33","50.96","24.97","23.59","51.43","15.86","15.17","51.10","2.63","1.99","56.95","16.60","86.89","9.74","10.36","48.45","7.88","8.33","48.59","1.8","1.39","56.49","22.89","83.33","15.23","13.22","53.53","7.98","6.84","53.85","0.83","0.6","57.97","10.39","91.21","22.8","23.59","49.15","12.23","12.68","49.08","0.33","0.33","50.00","2.71","97.39","10.60","91.84","1.024"
"2","Philadelphia Flyers","56","50.9458","25","23","8","22","58","0.518","54.74","50.07","52.23","40.86","38.28","51.63","29.32","28.35","50.84","2.67","3.07","46.52","2.25","2.21","50.44","24.67","23.66","51.04","14.55","14.57","49.96","2.27","2.44","48.21","15.61","83.26","9.34","9.82","48.74","7.34","7.76","48.61","1.49","1.62","47.97","20.34","79.13","15.33","13.84","52.56","7.21","6.81","51.42","0.78","0.82","48.68","10.79","87.96","26.25","23.15","53.13","13.31","12.58","51.42","0.29","0.55","35.00","2.21","95.65","9.11","89.17","0.983"
"3","Chicago Blackhawks","56","50.7024","24","25","7","22","55","0.491","49.66","58.13","46.07","36.24","43.91","45.21","28.25","33.35","45.87","2.49","3","45.38","2.11","2.73","43.67","24.13","29.9","44.66","15.6","18.93","45.17","2.11","2.6","44.84","13.55","86.27","9.28","12.28","43.04","7.54","9.87","43.33","1.31","1.84","41.61","17.37","81.37","14.86","17.62","45.74","8.05","9.07","47.04","0.8","0.76","51.35","9.97","91.61","21.77","24.39","47.16","11.45","13.04","46.76","0.3","0.34","46.67","2.58","97.41","8.83","91.00","0.998"
"4","Tampa Bay Lightning","56","49.4839","36","17","3","35","75","0.670","53.35","49.13","52.06","40.92","37.63","52.09","30.1","28.23","51.60","2.97","2.43","55.02","2.54","2.15","54.18","27.26","25.74","51.43","17.08","16.17","51.37","2.4","2.04","54.15","14.07","87.42","10.31","9.72","51.46","8.34","7.77","51.75","1.67","1.19","58.33","20.00","84.68","16.95","16.02","51.41","8.75","8.4","51.01","0.74","0.84","46.58","8.42","89.95","22.82","20.2","53.04","11.97","10.8","52.57","0.43","0.3","58.82","3.62","97.19","9.86","91.41","1.013"
"5","Montreal Canadiens","56","51.2565","24","21","11","23","59","0.527","59.47","50.13","54.26","43.21","37.77","53.36","31.15","26.71","53.83","2.51","2.63","48.78","2.33","2.2","51.36","28.51","23.98","54.32","15.87","13.92","53.26","2.15","2.28","48.58","13.57","83.63","10.39","9.87","51.29","7.53","7.15","51.28","1.46","1.46","50.00","19.44","79.53","18.12","14.11","56.23","8.34","6.77","55.19","0.69","0.82","45.83","8.27","87.96","26.94","21.95","55.11","14.05","11.23","55.58","0.29","0.27","51.85","2.08","97.58","8.05","90.14","0.982"
"6","Toronto Maple Leafs","56","51.4119","35","14","7","34","77","0.688","54.25","51.98","51.07","41.66","38.7","51.84","29.99","27.28","52.37","3.17","2.29","58.02","2.69","2.11","56.04","30.95","25.47","54.86","18.99","14.03","57.51","2.71","1.9","58.82","14.27","86.48","12.4","9.23","57.32","9.38","6.63","58.59","1.77","1.27","58.22","18.89","80.82","18.55","16.23","53.33","9.61","7.4","56.50","0.94","0.63","60.00","9.76","91.55","20.59","22.88","47.36","10.23","12","46.02","0.44","0.38","53.85","4.28","96.88","10.56","91.60","1.022"
"7","Vancouver Canucks","56","50.0842","23","29","4","20","50","0.446","52.33","60.28","46.47","39.6","45.29","46.65","28.97","32.92","46.80","2.46","3.12","44.06","2.28","2.86","44.36","24.43","31.79","43.46","14.31","18.87","43.13","2.1","2.72","43.56","14.65","85.60","9.63","11.92","44.69","6.91","8.77","44.07","1.22","1.8","40.43","17.65","79.51","14.8","19.87","42.69","7.4","10.1","42.30","0.88","0.92","48.81","11.85","90.89","23.49","24.58","48.87","12.86","12.73","50.25","0.3","0.26","53.85","2.33","97.98","8.49","90.51","0.990"
"8","Edmonton Oilers","56","50.5848","35","19","2","35","72","0.643","52.59","55.45","48.68","39.38","41.26","48.83","28.72","30.27","48.69","2.82","2.61","51.95","2.4","2.26","51.50","25.04","27.11","48.01","15.14","16.2","48.31","2.35","2.16","52.11","15.52","86.67","10.32","10.1","50.52","7.69","7.35","51.13","1.25","1.27","49.58","16.25","82.71","14.72","17.01","46.40","7.46","8.85","45.71","1.1","0.89","55.32","14.77","89.95","23.26","24.44","48.76","12.07","12.54","49.05","0.28","0.4","40.63","2.28","96.79","9.81","91.39","1.012"
"9","St Louis Blues","56","51.7938","27","20","9","25","63","0.563","49.75","53.41","48.23","36.72","39.8","47.99","27.72","28.65","49.17","2.59","2.63","49.60","2.05","2.4","46.01","23.75","24.99","48.73","14.52","15.16","48.92","2.11","2.11","50.00","14.53","86.08","8.15","10.43","43.88","6.14","7.34","45.55","1.3","1.37","48.84","21.21","81.41","15.6","14.56","51.71","8.38","7.82","51.72","0.81","0.74","52.00","9.63","90.48","21.76","24.1","47.45","11.83","12.29","49.06","0.43","0.46","48.84","3.67","96.30","9.33","90.83","1.002"
"10","Colorado Avalanche","56","49.1247","39","13","4","39","82","0.732","64.3","45.26","58.69","46.72","33.54","58.21","33.61","24.19","58.15","3.25","2.16","60.08","2.81","1.86","60.13","31.04","20.44","60.30","18.34","12.65","59.18","2.68","1.81","59.71","14.63","85.69","11.86","8.24","59.00","8.66","6.33","57.79","1.61","0.98","62.18","18.64","84.48","19.17","12.19","61.13","9.68","6.33","60.49","1.07","0.83","56.32","11.04","86.90","29.27","20.65","58.63","14.35","10.23","58.39","0.48","0.26","64.71","3.34","97.44","9.67","91.07","1.007"
"11","Washington Capitals","56","51.1012","36","15","5","33","77","0.688","53.15","52.54","50.29","40.17","40.3","49.92","28.62","28.83","49.82","3.1","2.66","53.82","2.33","2.2","51.38","24.45","23.15","51.37","14.59","14.11","50.84","2.35","2.16","52.09","16.09","84.70","9.88","9.14","51.93","7.46","6.75","52.51","1.53","1.45","51.41","20.51","78.57","14.57","14.01","50.99","7.13","7.36","49.20","0.82","0.71","53.42","11.47","90.31","25.06","24.76","50.29","12.89","12.94","49.92","0.65","0.42","60.78","5.04","96.76","10.84","90.76","1.016"
"12","Buffalo Sabres","56","52.3735","15","34","7","11","37","0.330","48.91","55.71","46.75","38.46","44.52","46.35","27.9","32.75","46.00","2","3.27","37.98","2.17","2.61","45.42","22.59","26.1","46.39","13.54","16.18","45.56","1.53","2.52","37.88","11.33","84.45","10.02","10.68","48.42","7.28","8.1","47.34","1","1.47","40.50","13.76","81.82","12.56","15.42","44.88","6.26","8.08","43.65","0.53","1.04","33.77","8.50","87.09","23.18","26.39","46.76","13.11","15.16","46.38","0.39","0.63","38.00","2.96","95.82","7.18","90.01","0.972"
"13","Boston Bruins","56","50.5402","33","16","7","29","73","0.652","57.49","48.76","54.11","45.49","36.99","55.15","33.58","26.16","56.21","2.54","2.18","53.81","2.31","1.96","54.16","25.61","23.38","52.27","16.81","13.69","55.11","1.97","1.76","52.84","11.73","87.15","9.12","8.9","50.59","7.27","6.83","51.58","1.17","1.21","49.11","16.03","82.30","16.49","14.48","53.25","9.54","6.87","58.14","0.81","0.55","59.38","8.44","91.98","28.26","22.39","55.80","14.9","10.94","57.67","0.53","0.38","58.14","3.56","96.51","7.58","91.65","0.992"
"14","New Jersey Devils","56","51.3696","19","30","7","19","45","0.402","53.87","52.56","50.62","40.73","41.36","49.62","29.01","30.53","48.72","2.5","2.94","45.98","2.33","2.45","48.70","25.74","25.3","50.43","15.46","16.44","48.46","2.04","2.34","46.67","13.23","85.79","9.66","9.93","49.31","7.22","7.93","47.66","1.25","1.5","45.45","17.34","81.05","16.08","15.37","51.13","8.24","8.51","49.19","0.79","0.83","48.72","9.62","90.20","25.26","24.63","50.63","12.64","13.22","48.87","0.42","0.48","46.51","3.30","96.37","8.63","90.37","0.990"
"15","New York Islanders","56","52.2226","32","17","7","28","71","0.634","50.55","53.32","48.67","38.26","39.15","49.43","28.33","28.11","50.20","2.48","2.11","54.02","2.29","2.14","51.63","25.89","25.71","50.18","16.29","15.12","51.86","2.09","1.72","54.84","12.85","88.60","11","8.78","55.60","8.68","6.69","56.48","1.5","1.19","55.73","17.26","82.21","14.9","16.93","46.81","7.61","8.43","47.44","0.59","0.53","52.73","7.82","93.67","21.5","24.11","47.14","10.89","11.92","47.75","0.37","0.35","51.43","3.39","97.07","8.76","92.48","1.012"
"16","New York Rangers","56","49.9324","27","23","6","26","60","0.536","49.31","55.49","47.05","37.7","41.56","47.56","27.64","29.83","48.10","2.81","2.6","51.98","2.16","2.35","47.94","23.32","26.33","46.97","13.86","15.64","46.98","2.15","2.1","50.51","15.48","86.56","9.44","10.62","47.06","7.04","7.81","47.40","1.39","1.31","51.59","19.82","83.24","13.88","15.71","46.92","6.82","7.83","46.56","0.75","0.79","48.61","11.01","89.86","22.34","25.47","46.72","12.32","12.75","49.14","0.6","0.43","58.33","4.88","96.63","10.17","91.29","1.015"
"17","Dallas Stars","56","51.7658","23","19","14","21","60","0.536","54.87","49.24","52.70","40.57","36.92","52.35","29.6","25.77","53.46","2.4","2.3","51.10","2.26","2.09","51.94","25.98","22.37","53.72","15.56","13.54","53.49","2.17","1.74","55.56","13.96","87.16","10.45","8.76","54.42","7.64","6.54","53.87","1.53","1.24","55.22","20.05","81.01","15.52","13.62","53.27","7.93","7","53.12","0.64","0.5","56.36","8.09","92.90","24.78","22.17","52.78","12.4","10.78","53.48","0.19","0.5","27.27","1.50","95.39","8.11","91.08","0.992"
"18","Florida Panthers","56","50.1051","37","14","5","36","79","0.705","56.92","49.67","53.40","44.5","38.47","53.63","33.98","29.15","53.83","3.06","2.42","55.86","2.65","2.19","54.81","26.96","22.73","54.26","18.2","15.01","54.80","2.42","2.03","54.33","13.28","86.47","10.58","9.02","53.98","8.75","7.31","54.46","1.6","1.45","52.45","18.34","80.12","16.38","13.71","54.44","9.45","7.7","55.11","0.81","0.58","58.46","8.60","92.50","26.11","23.39","52.74","14.09","12.74","52.51","0.53","0.34","60.98","3.79","97.32","9.00","91.71","1.007"
"19","Carolina Hurricanes","56","51.067","36","12","8","32","80","0.714","58.22","50","53.80","44.14","38.44","53.46","31.58","27.9","53.09","2.64","2.14","55.26","2.81","2.35","54.53","28.35","24.3","53.85","17.16","15.4","52.71","2.14","1.78","54.55","12.47","88.42","12.23","10.18","54.59","9","7.78","53.63","1.53","1.24","55.30","17.02","84.10","16.11","14.12","53.30","8.16","7.62","51.73","0.61","0.55","52.73","7.46","92.84","25.7","21.69","54.23","13.13","11.2","53.97","0.4","0.29","57.58","3.04","97.38","8.37","92.33","1.007"
"20","Detroit Red Wings","56","51.3863","19","27","10","17","48","0.429","47","55.55","45.83","36.13","42.7","45.83","27.06","31.23","46.42","2.25","2.71","45.38","2.14","2.35","47.69","21.93","25.69","46.06","13.7","15.83","46.40","1.79","2.23","44.56","13.09","85.90","8.84","10.05","46.80","7.07","7.53","48.43","1.21","1.46","45.31","17.11","80.61","13.09","15.64","45.57","6.63","8.3","44.41","0.58","0.77","43.08","8.81","90.70","20.93","25.81","44.78","11.55","14.09","45.04","0.38","0.35","51.43","3.25","97.49","8.32","91.32","0.996"
