"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","28","51.728","15","12","1","14","31","0.554","54.23","51.57","51.25","42.46","39.19","52.00","30.94","28.38","52.16","2.98","2.82","51.43","2.54","2.47","50.73","25.93","24.86","51.06","16.32","14.87","52.32","2.73","2.36","53.66","16.75","84.12","10.23","11.06","48.05","7.95","8.29","48.98","1.86","1.74","51.72","23.44","79.00","15.7","13.79","53.23","8.37","6.59","55.96","0.87","0.62","58.33","10.40","90.57","24.36","22.95","51.49","12.92","12.05","51.74","0.17","0.33","33.33","1.28","97.25","9.64","90.07","0.997"
"2","Chicago Blackhawks","28","49.9571","11","14","3","10","25","0.446","48.6","55.68","46.61","37.02","43.24","46.13","27.75","31.14","47.12","1.97","3.13","38.66","2.09","2.71","43.51","23.68","29.34","44.66","15.18","17.37","46.64","1.5","2.53","37.23","9.89","85.43","8.11","11.67","41.00","6.43","8.71","42.49","0.69","1.72","28.57","10.67","80.30","15.57","17.67","46.84","8.75","8.66","50.25","0.81","0.81","50.00","9.31","90.59","21.1","22.35","48.57","11.32","12.14","48.26","0.34","0.47","42.11","3.03","96.11","7.11","89.94","0.971"
"3","Montreal Canadiens","28","50.594","11","10","7","11","29","0.518","59.3","52.43","53.07","43.84","40.87","51.75","31.21","27.91","52.79","2.58","2.58","50.00","2.34","2.41","49.29","27.36","26.09","51.19","15.93","15.16","51.23","2.2","2.46","47.27","13.83","83.80","9.57","10.04","48.81","7.12","7.5","48.70","1.48","1.52","49.30","20.83","79.66","17.79","16.05","52.57","8.81","7.67","53.47","0.72","0.93","43.59","8.17","87.85","28.33","22.87","55.33","14.19","11.39","55.46","0.34","0.08","80.00","2.39","99.26","8.28","90.74","0.990"
"4","Vancouver Canucks","28","50.7274","10","17","1","9","21","0.375","49.38","60.28","45.03","37.81","46.89","44.64","28.39","33.5","45.87","2.53","3.42","42.55","2.03","2.96","40.63","22.47","32.15","41.14","13.39","19.43","40.80","2.11","2.96","41.67","15.77","84.78","9.25","12.29","42.94","6.67","8.74","43.29","1.1","1.99","35.62","16.46","77.29","13.22","19.85","39.97","6.72","10.69","38.59","1.01","0.97","51.06","15.09","90.91","22.56","24.84","47.59","12.97","12.8","50.33","0.38","0.34","52.94","2.93","97.36","8.93","89.79","0.987"
"5","St Louis Blues","28","52.1893","15","9","4","13","34","0.607","48.7","53.62","47.59","35.11","39.95","46.77","25.29","28.5","47.02","2.42","2.5","49.17","2.02","2.18","48.06","23.86","24.88","48.95","13.63","14.95","47.70","2.05","1.89","52.08","15.06","87.36","8.79","10.55","45.44","6.32","7.23","46.67","1.35","1.11","55.00","21.43","84.66","15.07","14.33","51.26","7.31","7.72","48.63","0.7","0.78","47.22","9.55","89.89","21.35","24.88","46.18","10.76","12.48","46.29","0.33","0.57","36.36","3.05","95.39","9.58","91.21","1.008"
"6","Washington Capitals","28","50.7649","19","7","2","17","40","0.714","49.89","50.23","49.83","38.12","39.05","49.40","28.07","28.58","49.55","3.59","2.79","56.29","2.25","2.12","51.48","22.79","22.84","49.95","14.65","14.39","50.44","2.83","2.36","54.47","19.31","83.58","9.03","9.33","49.20","7.6","7.39","50.70","1.77","1.56","53.16","23.33","78.86","13.76","13.51","50.46","7.05","7.01","50.15","1.06","0.8","56.82","14.97","88.55","24.1","24.06","50.04","12.58","12.87","49.42","0.59","0.38","60.87","4.70","97.05","12.78","90.25","1.030"
"7","Boston Bruins","28","50.7542","15","9","4","14","34","0.607","59.28","51.97","53.28","46.23","38.67","54.45","34.37","27.74","55.34","2.15","2.07","51.00","2.39","2.15","52.68","25.21","25.08","50.13","16.63","14.27","53.83","1.65","1.52","52.00","9.90","89.35","9.08","10.09","47.36","7.14","7.64","48.29","0.93","1.1","45.83","13.02","85.64","16.13","14.99","51.83","9.5","6.63","58.90","0.72","0.42","62.96","7.56","93.63","29.51","23.09","56.10","15.71","11.86","56.97","0.46","0.51","47.83","2.96","95.73","6.27","92.54","0.988"
"8","New York Islanders","28","51.0988","11","13","4","10","26","0.464","49.74","53.26","48.29","37.95","39.5","49.00","27.76","28.35","49.48","1.89","2.14","46.88","2","2.23","47.29","22.52","24.32","48.08","13.71","14.38","48.81","1.34","1.76","43.24","9.79","87.76","8.39","8.55","49.50","6.33","6.63","48.87","0.71","1.26","36.17","11.26","81.01","14.13","15.77","47.27","7.38","7.76","48.75","0.63","0.5","55.56","8.52","93.51","23.95","25.33","48.60","12.87","12.96","49.84","0.55","0.34","61.90","4.23","97.41","6.80","92.46","0.993"
"9","Dallas Stars","28","52.6107","10","12","6","9","26","0.464","53.32","49.69","51.76","40.16","38.41","51.11","30.79","28.06","52.32","2.16","2.65","44.92","2.23","2.21","50.17","25.05","22.48","52.70","15.76","14.38","52.30","1.96","1.83","51.61","12.40","87.25","9.57","9.21","50.98","7.33","7.25","50.28","1.3","1.18","52.46","17.78","83.71","15.48","13.28","53.82","8.43","7.13","54.19","0.65","0.65","50.00","7.73","90.86","25.25","23.09","52.23","13.73","12.14","53.07","0.16","0.69","19.05","1.19","94.30","7.01","90.57","0.976"
"10","Carolina Hurricanes","28","50.8036","16","9","3","13","35","0.625","54.62","49.22","52.60","40.79","37.83","51.88","30.03","28.18","51.59","2.57","2.32","52.59","2.27","2.21","50.70","25.64","24.34","51.31","16.49","15.73","51.18","2.15","1.94","52.58","13.04","87.67","10.12","9.2","52.40","8.22","7.51","52.28","1.6","1.31","55.07","19.49","82.58","15.52","15.14","50.62","8.27","8.22","50.13","0.55","0.63","46.43","6.63","92.31","24.84","21.34","53.79","12.19","11.01","52.55","0.3","0.25","53.85","2.42","97.70","8.57","91.77","1.003"
