"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Philadelphia Flyers","28","50.6304","12","12","4","10","28","0.500","57.94","50.62","53.37","42.66","38.22","52.75","30.81","28.19","52.22","2.67","2.88","48.09","2.22","2.13","51.12","24.93","21.71","53.45","14.64","13.63","51.80","2.24","2.29","49.53","15.32","83.23","8.72","8.76","49.88","6.69","7.03","48.77","1.35","1.44","48.48","20.25","79.52","16.21","12.95","55.59","7.96","6.6","54.65","0.89","0.85","51.22","11.17","87.18","29.03","25.01","53.72","14.81","13.16","52.95","0.34","0.47","42.11","2.29","96.46","8.65","89.79","0.984"
"2","Tampa Bay Lightning","28","50.0571","21","7","0","21","42","0.750","49.79","45.21","52.41","38.7","34.93","52.56","28.9","27.31","51.41","3.3","2.1","61.11","2.33","1.89","55.25","27.35","25.86","51.41","16.95","16.78","50.25","2.53","1.8","58.42","14.90","89.29","9.12","9.03","50.24","7.49","7.75","49.16","1.67","1.07","60.94","22.29","86.19","18.24","16.82","52.01","9.46","9.03","51.16","0.86","0.73","54.05","9.05","91.94","20.29","16.99","54.42","11.13","9.85","53.06","0.51","0.21","70.59","4.62","97.83","11.41","92.32","1.037"
"3","Toronto Maple Leafs","28","51.4298","18","7","3","18","39","0.696","56.37","50","53.00","43.92","37.5","53.94","30.42","26.5","53.44","3.46","2.25","60.58","2.77","1.86","59.93","33.92","24.46","58.10","20.17","13.46","59.98","2.96","1.71","63.39","14.67","87.31","12.83","7.75","62.35","9.54","5.54","63.26","1.83","1.08","62.86","19.21","80.45","21.08","16.71","55.79","10.62","7.92","57.30","1.12","0.62","64.29","10.59","92.11","20.54","22.5","47.73","9.58","11.67","45.10","0.46","0.5","47.83","4.78","95.71","11.37","91.51","1.029"
"4","Edmonton Oilers","28","49.4185","16","12","0","16","32","0.571","55.33","54.25","50.49","41.32","40.15","50.72","30.74","30.05","50.57","2.91","2.78","51.15","2.6","2.26","53.51","26.1","25.45","50.63","15.7","15.52","50.28","2.47","2.25","52.29","15.75","85.47","11.27","10.15","52.63","8.28","7.28","53.20","1.26","1.34","48.33","15.18","81.55","14.83","15.31","49.21","7.41","8.24","47.37","1.21","0.91","57.14","16.37","88.95","24.93","24.72","50.22","13.75","13.1","51.21","0.35","0.52","40.00","2.52","96.03","9.45","90.76","1.002"
"5","Colorado Avalanche","28","49.5702","22","4","2","22","46","0.821","64.97","43.32","60.00","47.29","31.34","60.14","35.62","22.82","60.95","3.63","1.73","67.74","2.81","1.54","64.56","30.82","18.07","63.04","19.45","11.41","63.03","2.85","1.47","66.00","14.67","87.12","12.1","7.18","62.78","9.21","5.62","62.10","1.69","0.99","62.90","18.31","82.31","18.72","10.89","63.21","10.25","5.79","63.88","1.17","0.48","71.05","11.39","91.79","30.35","21.14","58.94","15.43","10.2","60.20","0.65","0.22","75.00","4.20","97.88","10.19","92.42","1.026"
"6","Buffalo Sabres","28","51.7661","8","16","4","5","20","0.357","48.14","57.33","45.64","37.75","46.28","44.93","27.61","34.44","44.50","1.78","3.44","34.13","2.07","2.74","43.12","21.9","24.92","46.77","12.83","15.15","45.86","1.45","2.57","36.08","11.29","83.06","10.27","10.76","48.82","7.2","7.87","47.80","0.87","1.12","43.75","12.07","85.79","11.63","14.16","45.10","5.63","7.29","43.59","0.58","1.45","28.57","10.29","80.11","23.43","28.89","44.78","13.62","17.88","43.23","0.25","0.75","25.00","1.82","95.83","6.45","90.02","0.965"
"7","New Jersey Devils","28","51.7363","7","18","3","7","17","0.304","53.26","47.8","52.70","40.67","38.73","51.23","28.08","28.54","49.60","2.2","3.02","42.06","2.29","2.49","47.92","25.47","24.06","51.42","15.04","16.11","48.27","1.74","2.44","41.58","11.57","84.83","8.66","9.19","48.49","6.63","7.75","46.11","1.08","1.74","38.24","16.25","77.54","16.82","14.87","53.07","8.41","8.37","50.12","0.66","0.7","48.48","7.88","91.58","25.39","21.41","54.25","12.43","11.64","51.64","0.46","0.46","50.00","3.67","96.09","7.82","89.40","0.972"
"8","New York Rangers","28","49.2744","14","11","3","14","31","0.554","50.19","58.01","46.38","38.36","43.58","46.82","28.35","31.31","47.52","3.09","2.65","53.79","2.29","2.49","47.95","24.01","27.57","46.54","14.31","16.13","47.00","2.35","2.22","51.43","16.41","86.25","10.13","11.96","45.87","7.78","8.65","47.35","1.65","1.52","52.05","21.23","82.41","13.87","15.61","47.05","6.52","7.48","46.58","0.7","0.7","50.00","10.67","90.70","22.09","26.44","45.52","12.52","13.57","48.00","0.7","0.35","66.67","5.56","97.44","10.89","91.53","1.024"
"9","Florida Panthers","28","49.9726","20","5","3","20","43","0.768","57.5","48.5","54.25","45.62","37.39","54.96","35.55","30.06","54.18","3.3","1.97","62.60","2.76","2.05","57.36","26.8","19.68","57.66","18.61","14.41","56.36","2.44","1.67","59.38","13.13","88.39","10.42","7.85","57.04","8.49","6.9","55.15","1.59","1.16","57.81","18.69","83.23","16.38","11.84","58.05","10.12","7.5","57.42","0.86","0.51","62.50","8.47","93.14","26.89","24.48","52.34","14.97","13.89","51.86","0.64","0.26","71.43","4.30","98.15","9.29","93.44","1.027"
"10","Detroit Red Wings","28","50.8482","12","11","5","11","29","0.518","46.57","55.25","45.74","36.12","42.14","46.15","26.04","31.99","44.88","2.53","2.19","53.57","2.22","2.26","49.55","21.07","25.03","45.70","12.81","16.01","44.44","1.85","1.81","50.57","14.47","88.68","8.43","9.95","45.87","6.41","7.96","44.57","1.18","1.35","46.67","18.42","83.07","12.64","15.09","45.59","6.41","8.05","44.31","0.67","0.46","59.26","10.53","94.24","21.75","26.68","44.91","11.38","14.58","43.83","0.51","0.25","66.67","4.44","98.27","9.71","93.15","1.029"
