"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","56","4.6193","37","16","3","34","77","0.688","13.68","85.12","13.85","11.13","66.34","14.37","9.05","49.87","15.35","1.39","8.12","14.63","0.72","5.93","10.81","5.8","41.52","12.25","3.94","28.3","12.23","1.39","6.03","18.75","35.29","78.69","3.25","18.56","14.89","2.78","16","14.81","0.7","4.41","13.64","25.00","72.46","2.55","22.96","10.00","1.16","12.29","8.62","0.7","1.62","30.00","60.00","86.79","3.94","41.98","8.59","2.09","21.11","9.00","0","2.09","0.00","0.00","90.11","15.38","83.72","0.991"
"2","Philadelphia Flyers","56","4.9339","25","23","8","22","58","0.518","18.02","91.21","16.50","16.29","70.36","18.80","13.03","51.25","20.27","0.22","9.77","2.17","0.72","6.64","9.75","6.08","46.25","11.62","3.91","28.88","11.92","0.22","8.03","2.63","5.56","72.18","2.61","21.28","10.91","2.17","16.72","11.49","0.22","5.86","3.57","10.00","64.94","3.47","24.97","12.21","1.74","12.16","12.50","0","2.17","0.00","0.00","82.14","3.91","43","8.33","1.74","22.15","7.27","0","1.74","0.00","0.00","92.16","1.67","80.93","0.826"
"3","Chicago Blackhawks","56","4.6673","24","25","7","22","55","0.491","14","94.12","12.95","12.86","72.77","15.01","11.25","56.93","16.50","0.69","8.03","7.89","1.07","6.71","13.81","8.26","50.73","14.01","6.43","32.6","16.47","0.46","5.05","8.33","7.14","84.51","3.9","19.28","16.83","3.67","15.61","19.05","0.23","3.67","5.88","6.25","76.47","4.36","31.45","12.18","2.75","16.99","13.95","0.23","1.38","14.29","8.33","91.89","2.53","41.78","5.70","1.84","24.33","7.02","0","2.98","0.00","0.00","87.74","6.12","85.89","0.920"
"4","Tampa Bay Lightning","56","5.6318","36","17","3","35","75","0.670","14.27","79.33","15.24","12.56","59.17","17.51","10.27","43.76","19.01","0.38","5.52","6.45","1.24","5.15","19.46","9.13","42.23","17.78","7.04","24.16","22.56","0.38","3.8","9.09","5.41","84.25","4.57","15.03","23.30","3.8","11.03","25.64","0.19","2.66","6.67","5.00","75.86","4.57","27.2","14.37","3.23","13.13","19.77","0.19","1.14","14.29","5.88","91.30","3.42","35.58","8.78","1.71","19.02","8.26","0","1.52","0.00","0.00","92.00","3.70","87.39","0.911"
"5","Montreal Canadiens","56","4.9146","24","21","11","23","59","0.527","17.66","94.62","15.73","15.26","76.3","16.67","12.64","58.21","17.85","1.96","8.07","19.57","0.97","6.9","12.31","9.37","54.5","14.68","7.63","36.63","17.24","1.74","5.89","22.86","22.86","83.93","3.71","22.46","14.17","3.05","18.09","14.43","1.09","3.49","23.81","35.71","80.72","5.67","32.05","15.03","4.58","18.53","19.81","0.65","2.4","21.43","14.29","87.06","5.01","39.02","11.39","2.18","21.58","9.17","0.22","2.18","9.09","10.00","89.90","15.52","86.14","1.017"
"6","Toronto Maple Leafs","56","4.4101","35","14","7","34","77","0.688","19.68","80.17","19.71","17.98","64.62","21.76","16.03","47.13","25.38","0.73","7.53","8.82","1.3","5.67","18.71","11.66","44.95","20.60","9.96","26.72","27.15","0.73","6.07","10.71","7.32","77.27","5.34","16.03","25.00","4.62","12.63","26.76","0.49","3.4","12.50","10.53","73.08","6.32","28.91","17.93","5.34","14.09","27.50","0.24","2.67","8.33","4.55","81.03","1.46","34.26","4.08","0.73","19.68","3.57","0","1.21","0.00","0.00","93.83","4.55","84.02","0.886"
"7","Edmonton Oilers","56","4.6958","35","19","2","35","72","0.643","13.69","103.82","11.65","12.78","75.98","14.40","10.04","55.67","15.28","0.46","6.16","6.90","0.86","6.92","11.10","7.53","56.81","11.70","5.25","33.31","13.61","0.46","5.02","8.33","8.70","84.93","3.19","23.27","12.07","2.97","16.43","15.29","0.46","2.51","15.38","15.38","84.72","4.34","33.54","11.45","2.28","16.88","11.90","0","2.51","0.00","0.00","85.14","2.74","44.49","5.80","2.05","22.13","8.49","0","1.14","0.00","0.00","94.85","4.55","88.93","0.935"
"8","Vancouver Canucks","56","5.5777","23","29","4","20","50","0.446","13.83","93.74","12.86","12.29","74.53","14.16","10.18","54.36","15.77","1.15","7.11","13.95","0.57","6.89","7.70","4.8","54.36","8.12","3.07","33.81","8.33","0.77","4.8","13.79","25.00","85.80","1.15","20.75","5.26","0.96","15.18","5.95","0.19","3.07","5.88","20.00","79.75","3.65","33.62","9.79","2.11","18.63","10.19","0.58","1.73","25.00","27.27","90.72","3.46","38.42","8.26","2.31","20.36","10.17","0.19","2.31","7.69","8.33","88.68","11.32","86.93","0.982"
"9","St Louis Blues","56","4.8881","27","20","9","25","63","0.563","11.62","100.17","10.39","11.4","79.57","12.53","8.77","56.99","13.33","1.32","8.55","13.33","0.64","7.91","7.45","5.04","51.73","8.88","3.51","30.69","10.26","0.88","7.45","10.53","25.00","75.71","3.07","24.11","11.29","2.19","15.56","12.35","0.88","4.6","16.00","40.00","70.42","1.97","27.62","6.67","1.32","15.12","8.00","0","2.85","0.00","0.00","81.16","3.29","46.47","6.61","2.41","26.08","8.46","0.22","1.1","16.67","9.09","95.80","15.00","85.00","1.000"
"10","Colorado Avalanche","56","5.2601","39","13","4","39","82","0.732","14.05","100.42","12.28","12.22","73.53","14.25","10.18","53.98","15.87","0.2","6.11","3.23","0.56","6.1","8.40","5.3","47.46","10.04","3.87","26.07","12.93","0.2","4.07","4.76","5.26","84.38","2.44","17.72","12.12","2.04","13.24","13.33","0.2","1.63","11.11","10.00","87.69","2.85","29.74","8.75","1.83","12.83","12.50","0","2.44","0.00","0.00","80.95","3.46","52.35","6.20","1.63","27.91","5.52","0","2.04","0.00","0.00","92.70","2.00","88.68","0.907"
