"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","28","4.2399","15","12","1","14","31","0.554","14.15","76.82","15.56","11.62","59.64","16.31","9.1","42.45","17.65","1.01","11.62","8.00","0.61","5.38","10.25","5.05","39.42","11.36","3.54","25.78","12.07","1.01","9.1","10.00","28.57","64.71","3.03","18.19","14.29","2.53","14.15","15.15","0","6.06","0.00","0.00","57.14","2.02","21.23","8.70","1.01","11.62","8.00","1.01","3.03","25.00","100.00","73.91","4.04","35.88","10.13","2.02","16.17","11.11","0","2.53","0.00","0.00","84.38","11.11","72.62","0.837"
"2","Chicago Blackhawks","28","5.1179","11","14","3","10","25","0.446","11.72","90.44","11.48","10.47","73.27","12.50","8.37","55.27","13.16","0.42","7.12","5.56","0.72","6.94","9.37","6.28","48.15","11.54","3.77","32.24","10.47","0.42","4.19","9.09","11.11","87.01","2.93","19.26","13.21","2.51","16.33","13.33","0.42","2.93","12.50","16.67","82.05","3.35","28.89","10.39","1.26","15.91","7.32","0","1.26","0.00","0.00","92.11","2.51","39.78","5.94","1.67","23.03","6.78","0","2.93","0.00","0.00","87.27","5.00","87.12","0.921"
"3","Montreal Canadiens","28","5.3905","11","10","7","11","29","0.518","13.12","99.38","11.66","11.53","80.3","12.55","9.54","62.41","13.26","1.99","7.55","20.83","0.83","7.89","9.55","7.16","63.21","10.17","6.76","43.33","13.49","1.99","6.76","22.73","29.41","84.40","3.18","25.44","11.11","2.78","20.27","12.07","1.19","3.58","25.00","42.86","82.35","3.98","37.77","9.52","3.98","23.06","14.71","0.8","3.18","20.00","20.00","86.21","3.58","35.38","9.18","0.8","19.08","4.00","0","0.8","0.00","0.00","95.83","20.83","87.90","1.087"
"4","Vancouver Canucks","28","5.1536","10","17","1","9","21","0.375","12.06","89.4","11.89","9.98","69.85","12.50","8.73","48.65","15.22","0.83","7.48","10.00","0.28","6.35","4.20","4.16","51.56","7.46","2.49","29.94","7.69","0.83","5.41","13.33","33.33","81.94","0.42","19.96","2.04","0.42","13.31","3.03","0.42","3.33","11.11","100.00","75.00","3.74","31.6","10.59","2.08","16.63","11.11","0.42","2.08","16.67","20.00","87.50","2.08","37.01","5.32","1.25","18.71","6.25","0","2.08","0.00","0.00","88.89","9.52","84.62","0.941"
"5","St Louis Blues","28","5.0304","15","9","4","13","34","0.607","11.93","100.53","10.61","11.5","82.64","12.22","8.52","60.06","12.42","2.13","9.37","18.52","0.84","8.5","8.99","5.96","54.53","9.86","4.69","33.65","12.22","1.28","7.24","15.00","27.27","78.48","3.83","26.41","12.68","3.41","18.32","15.69","1.28","4.69","21.43","37.50","74.42","2.13","28.12","7.04","1.28","15.34","7.69","0","2.56","0.00","0.00","83.33","3.83","45.58","7.76","2.56","26.41","8.82","0.43","2.13","16.67","16.67","91.94","25.00","84.40","1.094"
"6","Washington Capitals","28","5.1458","19","7","2","17","40","0.714","10.41","74.96","12.20","9.16","60.8","13.10","8.33","43.72","16.00","0.42","5","7.69","0.71","5.73","11.07","4.16","40.39","9.35","3.33","26.23","11.27","0.42","4.16","9.09","12.50","84.13","3.33","20.82","13.79","2.91","17.91","14.00","0.42","3.75","10.00","14.29","79.07","0.83","19.57","4.08","0.42","8.33","4.76","0","0.42","0.00","0.00","95.00","2.91","34.15","7.87","2.5","17.49","12.50","0","0.83","0.00","0.00","95.24","5.00","88.57","0.936"
"7","Boston Bruins","28","5.2119","15","9","4","14","34","0.607","16.45","82.64","16.60","14.39","62.91","18.62","12.33","43.17","22.22","2.06","5.34","27.78","1.1","5.31","17.21","8.22","43.58","15.87","6.99","23.02","23.29","1.64","4.52","26.67","23.53","80.36","4.11","15.62","20.83","4.11","11.1","27.03","1.64","2.06","44.44","40.00","81.48","4.11","27.96","12.82","2.88","11.92","19.44","0","2.47","0.00","0.00","79.31","5.76","37","13.46","3.7","19.32","16.07","0","0.82","0.00","0.00","95.74","16.67","87.62","1.043"
"8","New York Islanders","28","4.7399","11","13","4","10","26","0.464","12.66","97.2","11.52","10.4","72.79","12.50","7.23","52.44","12.12","0.45","8.14","5.26","0.73","7.12","9.35","6.78","47.02","12.61","4.07","24.87","14.06","0.45","5.88","7.14","11.11","76.36","4.07","16.73","19.57","2.26","9.95","18.52","0","3.62","0.00","0.00","63.64","2.71","30.29","8.22","1.81","14.92","10.81","0.45","2.26","16.67","25.00","84.85","4.07","48.37","7.76","2.26","27.13","7.69","0","1.81","0.00","0.00","93.33","6.25","84.48","0.907"
"9","Dallas Stars","28","4.2815","10","12","6","9","26","0.464","11.51","100.6","10.27","8.51","72.57","10.49","7.01","55.55","11.20","0.5","6.01","7.69","0.61","6.08","9.12","6.51","45.04","12.62","4","28.53","12.31","0.5","4.5","10.00","12.50","84.21","1.5","18.52","7.50","1.5","15.01","9.09","0.5","3.5","12.50","33.33","76.67","5","26.53","15.87","2.5","13.51","15.63","0","1","0.00","0.00","92.59","4","53.55","6.96","2.5","26.03","8.77","0","1.5","0.00","0.00","94.23","7.14","89.19","0.963"
"10","Carolina Hurricanes","28","5.6988","16","9","3","13","35","0.625","16.92","79.72","17.51","16.17","61.29","20.87","13.16","44.75","22.73","1.13","7.14","13.64","1.53","5.09","23.10","9.4","44.37","17.48","7.52","26.32","22.22","1.13","5.64","16.67","15.00","78.57","4.51","19.93","18.46","3.76","14.66","20.41","0.38","4.14","8.33","10.00","71.79","4.89","24.44","16.67","3.76","11.66","24.39","0.75","1.5","33.33","20.00","87.10","4.14","33.47","11.00","2.26","17.3","11.54","0","1.5","0.00","0.00","91.30","8.57","84.03","0.926"
