"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Philadelphia Flyers","28","5.4101","12","12","4","10","28","0.500","19.41","98.23","16.50","17.43","73.28","19.21","14.26","50.7","21.95","0","9.51","0.00","0.72","6.21","10.42","7.13","45.55","13.53","4.75","25.75","15.58","0","7.13","0.00","0.00","72.31","2.38","17.82","11.76","2.38","13.47","15.00","0","4.75","0.00","0.00","64.71","4.75","27.73","14.63","2.38","12.28","16.22","0","2.38","0.00","0.00","80.65","2.77","50.3","5.22","0.79","24.56","3.13","0","2.38","0.00","0.00","90.32","0.00","81.25","0.813"
"2","Tampa Bay Lightning","28","4.8405","21","7","0","21","42","0.750","12.4","80.57","13.33","10.62","57.11","15.69","7.08","43.83","13.91","0.44","6.2","6.67","1.25","5.12","19.65","8.41","47.81","14.96","5.31","26.12","16.90","0.44","3.98","10.00","8.33","84.75","3.1","17.71","14.89","2.66","14.17","15.79","0.44","3.54","11.11","16.67","75.00","5.31","30.1","15.00","2.66","11.95","18.18","0","0.44","0.00","0.00","96.30","2.66","30.99","7.89","0.89","16.38","5.13","0","1.77","0.00","0.00","89.19","6.25","85.86","0.921"
"3","Toronto Maple Leafs","28","4.3923","18","7","3","18","39","0.696","20","77.08","20.60","18.54","59.03","23.90","16.59","44.88","26.98","0.49","8.29","5.56","1.58","4.85","24.62","15.12","40.01","27.43","13.66","23.42","36.84","0.49","6.34","7.14","3.57","72.92","6.34","13.17","32.50","5.85","9.76","37.50","0","3.42","0.00","0.00","65.00","8.78","26.83","24.66","7.81","13.66","36.36","0.49","2.93","14.29","6.25","78.57","0.98","35.61","2.67","0","20","0.00","0","1.46","0.00","-","92.68","2.94","81.52","0.845"
"4","Edmonton Oilers","28","5.0637","16","12","0","16","32","0.571","16.08","102.83","13.52","14.81","77.44","16.06","12.27","56.28","17.90","0.42","7.62","5.26","1.09","7.08","13.36","9.31","52.05","15.17","6.77","32.58","17.20","0.42","6.35","6.25","6.25","80.52","3.81","22.01","14.75","3.39","15.66","17.78","0.42","3.81","10.00","12.50","75.68","5.5","30.05","15.48","3.39","16.93","16.67","0","2.54","0.00","0.00","85.00","3.39","48.24","6.56","2.54","23.27","9.84","0","1.27","0.00","0.00","94.55","3.45","86.47","0.899"
"5","Colorado Avalanche","28","5.2268","22","4","2","22","46","0.821","16.81","93.06","15.30","15.17","67.24","18.41","13.53","54.53","19.88","0.41","4.51","8.33","0.64","5.46","10.51","5.74","41.82","12.07","4.51","24.19","15.71","0.41","3.28","11.11","9.09","86.44","4.1","15.17","21.28","3.28","13.53","19.51","0.41","2.05","16.67","12.50","84.85","1.64","26.65","5.80","1.23","10.66","10.34","0","1.23","0.00","0.00","88.46","2.87","50.84","5.34","1.64","30.34","5.13","0","1.23","0.00","0.00","95.95","3.03","91.73","0.948"
"6","Buffalo Sabres","28","4.2982","8","16","4","5","20","0.357","9.97","107.19","8.51","7.98","85.25","8.56","6.98","64.81","9.72","1.5","5.98","20.00","0.48","6.96","6.47","2.99","48.36","5.83","1.99","31.41","5.97","0.5","4.49","10.00","25.00","85.71","1.99","22.93","8.00","1.5","18.45","7.50","0.5","3.49","12.50","33.33","81.08","1","25.43","3.77","0.5","12.96","3.70","0","1","0.00","0.00","92.31","2.99","57.83","4.92","1.5","33.4","4.29","0.5","1.5","25.00","33.33","95.52","21.43","90.77","1.122"
"7","New Jersey Devils","28","4.394","7","18","3","7","17","0.304","8.78","79","10.00","8.29","66.81","11.04","4.88","45.35","9.71","0","9.27","0.00","0.39","7.03","5.24","3.41","46.33","6.86","0.98","30.24","3.13","0","8.29","0.00","0.00","72.58","0.98","21.95","4.26","0.49","19.02","2.50","0","6.83","0.00","0.00","64.10","2.44","24.38","9.09","0.49","11.22","4.17","0","1.46","0.00","0.00","86.96","3.9","31.21","11.11","2.44","15.12","13.89","0","0.98","0.00","0.00","93.55","0.00","79.57","0.796"
"8","New York Rangers","28","5.7113","14","11","3","14","31","0.554","16.51","90.42","15.44","14.26","72.04","16.52","11.26","49.9","18.40","1.88","6","23.81","1.36","6.94","16.37","9.38","50.65","15.63","6.38","31.89","16.67","1.13","5.25","17.65","17.65","83.53","6","23.26","20.51","4.13","16.51","20.00","0.75","2.63","22.22","18.18","84.09","3.38","27.39","10.98","2.25","15.38","12.77","0.38","2.63","12.50","16.67","82.93","3","39.02","7.14","1.13","18.01","5.88","0","0.75","0.00","0.00","95.83","16.67","87.97","1.046"
"9","Florida Panthers","28","4.6429","20","5","3","20","43","0.768","17.08","95.54","15.16","14.77","74.77","16.49","12.46","58.15","17.65","1.38","7.85","15.00","1.04","6.38","14.02","9.69","40.62","19.27","6","28.15","17.57","1.38","5.54","20.00","23.08","80.33","5.54","15.23","26.67","4.15","12","25.71","1.38","3.23","30.00","33.33","73.08","4.15","25.38","14.06","1.85","16.15","10.26","0","2.31","0.00","0.00","85.71","4.15","51.23","7.50","3.69","29.08","11.27","0","1.38","0.00","0.00","95.24","11.11","86.51","0.976"
"10","Detroit Red Wings","28","4.9583","12","11","5","11","29","0.518","11.67","102.86","10.19","10.37","80.38","11.43","8.64","59.21","12.74","0","8.21","0.00","0.51","7.36","6.45","4.32","54.02","7.41","2.59","34.14","7.06","0","6.91","0.00","0.00","79.75","2.16","22.91","8.62","1.73","19.45","8.16","0","6.05","0.00","0.00","68.89","2.16","31.12","6.49","0.86","14.69","5.56","0","0.86","0.00","0.00","94.12","3.03","47.54","5.98","2.59","25.07","9.38","0","1.3","0.00","0.00","94.83","0.00","86.13","0.861"
