"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","56","4.378","37","16","3","34","77","0.688","91.53","17.13","84.23","69.99","14.93","82.42","54.33","13.22","80.43","8.81","0.98","90.00","6.65","1.03","86.57","52.86","8.81","85.71","33.28","7.1","82.42","7.59","0.98","88.57","22.79","86.21","23.49","4.89","82.76","19.33","3.92","83.16","5.63","0.49","92.00","29.11","87.50","29.37","3.92","88.24","13.95","3.18","81.43","1.96","0.49","80.00","14.04","84.62","36.95","4.65","88.82","21.05","2.69","88.66","1.22","0","100.00","5.81","100.00","16.22","92.59","1.088"
"2","Philadelphia Flyers","56","5.2065","25","23","8","22","58","0.518","91.57","15.43","85.58","69.35","12.96","84.25","48.57","10.5","82.23","6.59","1.23","84.21","6.18","0.7","89.78","43.83","5.97","88.02","25.72","3.29","88.65","5.76","0.82","87.50","22.40","75.00","21.81","3.29","86.89","18.11","2.47","88.00","4.12","0.62","86.96","22.73","75.00","22.02","2.68","89.17","7.61","0.82","90.24","1.65","0.21","88.89","21.62","75.00","46.1","4.73","90.69","22.43","3.29","87.20","0.82","0.21","80.00","3.67","93.75","13.56","88.24","1.018"
"3","Chicago Blackhawks","56","5.6185","24","25","7","22","55","0.491","81.05","14.68","84.66","59.12","12.78","82.23","46.91","11.25","80.66","7.25","1.14","86.36","5.54","1.09","83.60","47.29","7.44","86.41","30.51","5.53","84.66","6.48","0.95","87.18","21.25","82.76","17.35","4.39","79.82","13.16","3.62","78.41","4.39","0.57","88.46","33.33","84.21","29.94","3.05","90.75","17.35","1.91","90.10","2.1","0.38","84.62","12.09","80.00","31.08","4.2","88.11","16.21","2.86","85.00","0.76","0","100.00","4.71","100.00","15.45","89.83","1.053"
"4","Tampa Bay Lightning","56","5.3705","36","17","3","35","75","0.670","85.99","10.77","88.87","67.43","9.18","88.02","48.88","8.78","84.78","7.98","0.6","93.02","5.85","0.54","91.62","42.49","6.38","86.94","28.53","5.19","84.62","6.58","0.6","91.67","23.08","88.46","14.76","2.59","85.06","12.77","2.59","83.12","4.19","0.2","95.45","32.81","92.31","27.73","3.79","87.97","15.76","2.59","85.87","2.39","0.4","85.71","15.19","84.62","41.1","1.8","95.81","19.95","1.4","93.46","1.4","0","100.00","7.00","100.00","16.33","93.18","1.095"
"5","Montreal Canadiens","56","4.6997","24","21","11","23","59","0.527","76.6","10.26","88.19","59.27","8.21","87.84","44.68","7.75","85.22","6.61","0.46","93.55","5.08","0.4","92.63","36.7","4.56","88.95","23.25","2.96","88.70","4.1","0.46","90.00","17.65","84.62","14.82","2.05","87.84","11.85","1.82","86.67","2.96","0.46","86.67","25.00","75.00","21.89","2.51","89.72","11.4","1.14","90.91","1.14","0","100.00","10.00","100.00","38.3","1.6","96.00","21.2","0.91","95.88","2.51","0","100.00","11.83","100.00","14.80","94.12","1.089"
"6","Toronto Maple Leafs","56","4.6452","35","14","7","34","77","0.688","101.49","16.61","85.94","77.96","14.99","83.87","56.74","12.92","81.46","7.15","1.61","81.58","7.83","1.37","85.14","64.12","10.38","86.07","38.29","8.3","82.18","6","1.38","81.25","15.66","83.33","27.22","4.15","86.76","20.07","3.92","83.65","3.46","1.38","71.43","17.24","64.71","36.9","6.23","85.56","18.22","4.38","80.61","2.54","0","100.00","13.92","100.00","35.98","2.54","93.41","18.22","1.38","92.94","1.15","0","100.00","6.33","100.00","12.60","87.50","1.001"
"7","Vancouver Canucks","56","4.8601","23","29","4","20","50","0.446","98.54","13.45","87.99","71.21","12.57","85.00","48.94","9.92","83.15","5.95","0.88","87.10","6.11","0.98","86.19","56","8.6","86.69","29.54","6.61","81.71","4.63","0.88","84.00","15.67","86.67","17.86","3.31","84.38","11.46","2.87","80.00","2.87","0.66","81.25","25.00","76.92","38.14","5.29","87.82","18.08","3.75","82.83","1.76","0.22","88.89","9.76","94.12","41.67","1.98","95.45","19.18","1.32","93.55","1.32","0","100.00","6.90","100.00","12.16","91.11","1.033"
"8","Edmonton Oilers","56","4.8813","35","19","2","35","72","0.643","105.36","12.51","89.39","80.56","10.76","88.22","60.36","9.44","86.48","10.54","0.88","92.31","8.06","0.64","92.67","64.75","6.15","91.33","41.7","5.49","88.37","8.56","0.88","90.70","20.53","84.00","26.56","1.98","93.08","21.07","1.98","91.43","4.83","0.44","91.67","22.92","77.78","38.19","4.17","90.16","20.63","3.51","85.45","3.73","0.44","89.47","18.09","87.50","39.95","2.19","94.79","18.44","0.44","97.67","1.98","0","100.00","10.71","100.00","17.45","90.70","1.082"
"9","St Louis Blues","56","4.3077","27","20","9","25","63","0.563","105.96","11.19","90.45","78.84","9.2","89.55","60.19","5.97","90.98","8.95","0.25","97.30","6.87","0.64","91.47","48.75","4.97","90.74","31.84","2.49","92.75","7.21","0.25","96.67","22.66","90.00","16.66","2.74","85.90","12.93","1.49","89.66","3.23","0","100.00","25.00","100.00","32.09","2.24","93.48","18.9","0.99","95.00","3.98","0.25","94.12","21.05","75.00","54.97","2.98","94.85","27.86","0.99","96.55","1.74","0","100.00","6.25","100.00","14.88","95.83","1.107"
"10","Colorado Avalanche","56","5.9464","39","13","4","39","82","0.732","106.85","11.53","90.26","81.44","10.09","88.98","61.8","8.29","88.17","8.47","0.36","95.92","7.98","0.52","93.91","61.08","4.68","92.88","39.1","3.6","91.56","7.03","0.36","95.12","17.97","90.00","26.13","2.7","90.63","18.74","2.34","88.89","3.24","0.18","94.74","17.31","92.31","34.95","1.98","94.63","20.36","1.26","94.17","3.78","0.18","95.45","18.58","85.71","44.68","2.52","94.66","22.52","0.9","96.15","1.44","0","100.00","6.40","100.00","13.70","95.65","1.094"
