"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","28","4.7726","15","12","1","14","31","0.554","89.35","18.86","82.57","67.8","17.06","79.89","50.29","15.27","76.71","8.53","1.35","86.36","6.17","1.14","84.35","51.18","9.88","83.82","30.08","8.53","77.91","7.18","1.35","84.21","23.88","84.21","22.45","4.94","81.97","17.96","4.49","80.00","5.84","0.45","92.86","32.50","90.00","28.74","4.94","85.33","12.12","4.04","75.00","1.35","0.9","60.00","11.11","77.78","36.37","5.39","87.10","20.2","3.14","86.54","1.35","0","100.00","6.67","100.00","16.96","91.18","1.081"
"2","Chicago Blackhawks","28","5.9298","11","14","3","10","25","0.446","75.53","14.82","83.60","56.01","13.01","81.15","44.09","12.29","78.21","6.87","1.08","86.36","5.2","1.05","83.24","42.28","6.14","87.31","28.55","5.06","84.95","6.14","0.72","89.47","21.52","85.71","14.82","3.25","82.00","11.56","3.25","78.05","3.98","0.72","84.62","34.38","77.78","27.46","2.89","90.48","16.98","1.81","90.38","2.17","0","100.00","12.77","100.00","31.08","5.06","86.00","15.18","3.61","80.77","0.72","0","100.00","4.76","100.00","15.57","91.18","1.068"
"3","Montreal Canadiens","28","4.8351","11","10","7","11","29","0.518","73.57","10.19","87.83","59.83","8.42","87.66","44.32","7.53","85.47","6.2","0.44","93.33","5.01","0.4","92.68","32.8","4.88","87.06","21.72","3.1","87.50","3.55","0.44","88.89","16.33","85.71","14.63","2.22","86.84","10.64","1.77","85.71","2.66","0.44","85.71","25.00","75.00","18.17","2.66","87.23","11.08","1.33","89.29","0.89","0","100.00","8.00","100.00","38.56","2.66","93.55","22.6","1.77","92.73","2.66","0","100.00","11.76","100.00","14.00","94.12","1.081"
"4","Vancouver Canucks","28","4.6077","10","17","1","9","21","0.375","92.08","13.95","86.84","66.5","13.95","82.66","46.51","10.23","81.97","4.19","0.47","90.00","5.02","1.02","83.10","45.58","9.77","82.35","24.65","7.91","75.71","3.26","0.47","87.50","13.21","94.12","11.16","3.26","77.42","6.51","2.79","70.00","1.4","0.47","75.00","21.43","83.33","34.41","6.51","84.09","18.14","5.12","78.00","1.86","0","100.00","10.26","100.00","45.58","1.86","96.08","21.86","1.4","94.00","0.93","0","100.00","4.26","100.00","9.00","95.45","1.045"
"5","St Louis Blues","28","3.7518","15","9","4","13","34","0.607","105.66","11.42","90.24","77.11","9.71","88.82","54.26","7.43","87.96","9.71","0.57","94.44","6.65","0.55","92.35","56.54","4.57","92.52","35.41","2.28","93.94","8.57","0.57","93.75","24.19","75.00","17.71","2.86","86.11","13.71","1.71","88.89","4","0","100.00","29.17","100.00","38.84","1.71","95.77","21.7","0.57","97.44","4.57","0.57","88.89","21.05","0.00","47.41","2.28","95.40","18.85","1.14","94.29","1.14","0","100.00","6.06","100.00","17.89","92.31","1.102"
"6","Washington Capitals","28","4.8333","19","7","2","17","40","0.714","101.08","11.97","89.41","82.46","10.64","88.57","63.4","9.31","87.20","7.09","1.77","80.00","7.02","0.74","90.46","48.77","5.32","90.16","31.92","3.99","88.89","5.32","0.89","85.71","16.67","77.78","18.62","2.22","89.36","14.63","1.77","89.19","2.66","0.89","75.00","18.18","50.00","30.15","3.1","90.67","17.29","2.22","88.64","2.66","0","100.00","15.38","100.00","50.1","2.22","95.76","30.59","0.89","97.18","1.77","0.44","80.00","5.80","50.00","11.19","80.95","0.921"
"7","Boston Bruins","28","4.719","15","9","4","14","34","0.607","95.81","18.62","83.73","72.2","16.35","81.54","44.05","13.17","76.98","6.36","1.36","82.35","6.52","1.12","85.39","50.4","8.17","86.05","26.34","6.36","80.56","4.99","0.91","84.62","18.97","85.71","24.52","6.36","79.41","14.08","5.9","70.45","4.54","0.91","83.33","32.26","84.62","25.88","1.82","93.44","12.26","0.45","96.43","0.45","0","100.00","3.70","100.00","44.5","5.45","89.09","17.71","2.27","88.64","1.36","0.45","75.00","7.69","80.00","14.43","89.66","1.041"
"8","New York Islanders","28","5.0911","11","13","4","10","26","0.464","83.76","10.1","89.24","66.92","8","89.33","48.82","5.05","90.63","4.21","0","100.00","6.07","0.43","93.45","45.04","4.63","90.68","29.88","2.53","92.21","3.37","0","100.00","11.27","100.00","18.94","1.68","91.84","15.15","0.84","94.74","2.53","0","100.00","16.67","100.00","26.1","2.95","89.86","14.73","1.68","89.74","0.84","0","100.00","5.71","100.00","37.04","3.79","90.72","18.94","1.26","93.75","0.84","0","100.00","4.44","100.00","8.62","100.00","1.086"
"9","Dallas Stars","28","4.2792","10","12","6","9","26","0.464","91.14","15.02","85.85","71.11","14.02","83.53","51.58","10.02","83.74","7.51","1","88.24","6.57","0.82","88.95","47.07","6.51","87.85","29.04","3.51","89.23","6.51","0.5","92.86","22.41","85.71","25.04","4.01","86.21","18.53","2","90.24","6.01","0.5","92.31","32.43","75.00","22.03","2.5","89.80","10.52","1.5","87.50","0.5","0","100.00","4.76","100.00","40.56","3.51","92.05","22.03","3.51","86.27","1","0.5","66.67","4.55","85.71","14.56","90.00","1.046"
"10","Carolina Hurricanes","28","4.2946","16","9","3","13","35","0.625","97.3","18.96","83.69","64.37","16.47","79.63","47.9","10.98","81.36","8.48","1.5","85.00","5.24","1.92","73.20","53.39","12.97","80.45","27.44","7.98","77.46","5.99","1.5","80.00","21.82","81.25","17.96","7.98","69.23","13.97","5.99","70.00","4.99","1.5","76.92","35.71","75.00","35.43","4.99","87.65","13.47","2","87.10","1","0","100.00","7.41","100.00","39.92","3.99","90.91","19.46","2","90.70","1.5","0","100.00","7.69","100.00","17.71","86.36","1.041"
"11","Columbus Blue Jackets","28","3.15","7","17","4","6","18","0.321","85.03","18.37","82.24","65.99","16.33","80.17","49.66","14.29","77.66","3.4","1.36","71.43","5.51","1.15","82.69","36.73","8.84","80.60","23.81","6.8","77.78","1.36","1.36","50.00","5.71","80.00","14.29","6.12","70.00","10.2","4.76","68.18","1.36","0.68","66.67","13.33","85.71","22.45","2.72","89.19","13.61","2.04","86.96","0","0.68","0.00","0.00","66.67","46.94","4.76","90.79","25.85","3.4","88.37","2.04","0","100.00","7.89","100.00","6.85","90.48","0.973"
"12","Calgary Flames","28","5.1321","11","15","2","10","24","0.429","91.02","23.8","79.27","70.98","21.29","76.92","50.1","17.54","74.07","5.01","1.67","75.00","5.95","1.79","76.87","41.34","14.2","74.44","25.89","10.44","71.26","3.76","1.25","75.00","14.52","88.00","17.12","5.43","75.93","12.11","4.59","72.50","1.67","0.84","66.67","13.79","81.82","24.22","8.77","73.42","13.78","5.85","70.21","2.09","0.42","83.33","15.15","92.86","46.76","3.76","92.56","23.38","2.51","90.32","1.25","0.42","75.00","5.36","83.33","10.00","90.48","1.005"
"13","San Jose Sharks","28","4.4595","10","15","3","6","23","0.411","92.26","14.42","86.49","70.15","12.49","84.88","52.38","11.05","82.58","5.77","0.96","85.71","6.16","0.87","87.60","40.36","5.29","88.42","24.51","4.81","83.61","5.29","0.96","84.62","21.57","80.00","16.82","3.36","83.33","14.42","2.88","83.33","3.84","0.96","80.00","26.67","66.67","23.55","1.92","92.45","10.09","1.92","84.00","1.44","0","100.00","14.29","100.00","48.05","3.84","92.59","27.39","1.92","93.44","0.48","0","100.00","1.75","100.00","11.01","91.30","1.023"
"14","Anaheim Ducks","28","3.4089","11","12","5","10","27","0.482","82.98","16.97","83.02","64.75","15.72","80.47","44.63","11.31","79.78","5.03","0.63","88.89","6.22","0.77","89.04","36.46","8.8","80.56","18.23","5.03","78.38","4.4","0.63","87.50","24.14","87.50","19.49","4.4","81.58","11.94","2.51","82.61","3.77","0","100.00","31.58","100.00","16.97","4.4","79.41","6.29","2.51","71.43","0.63","0.63","50.00","10.00","75.00","45.26","2.51","94.74","26.4","0.63","97.67","0.63","0","100.00","2.38","100.00","11.27","94.44","1.057"
