"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Philadelphia Flyers","28","5.003","12","12","4","10","28","0.500","96.8","14.99","86.59","69.82","13.28","84.02","49.68","11.14","81.69","8.14","1.28","86.36","6.31","0.71","89.87","46.26","5.14","90.00","24.84","3.43","87.88","6.85","0.86","88.89","27.59","75.00","20.56","3.43","85.71","16.28","3","84.44","5.14","0.43","92.31","31.58","85.71","25.7","1.71","93.75","8.57","0.43","95.24","1.71","0.43","80.00","20.00","0.00","48.83","6.42","88.37","23.99","4.71","83.58","1.28","0.43","75.00","5.36","90.91","16.38","88.46","1.048"
"2","Tampa Bay Lightning","28","5.1679","21","7","0","21","42","0.750","82.52","9.12","90.05","65.93","7.46","89.83","49.76","6.63","88.24","7.46","0.41","94.74","5.48","0.43","92.69","43.54","6.22","87.50","31.51","4.56","87.36","5.81","0.41","93.33","18.42","90.91","14.93","2.07","87.80","14.1","2.07","87.18","4.56","0","100.00","32.35","100.00","28.61","4.15","87.34","17.42","2.49","87.50","1.24","0.41","75.00","7.14","83.33","36.9","1.66","95.70","17.83","0.83","95.56","1.66","0","100.00","9.30","100.00","15.00","93.75","1.088"
"3","Toronto Maple Leafs","28","4.5202","18","7","3","18","39","0.696","98.6","11.85","89.27","73.48","11.85","86.11","50.72","9.96","83.59","5.21","1.42","78.57","7.37","1.28","85.24","63.05","9.01","87.50","35.55","7.58","82.42","4.74","1.42","76.92","13.33","81.25","24.65","2.84","89.66","19.44","2.84","87.23","2.84","1.42","66.67","14.63","50.00","38.4","6.16","86.17","16.12","4.74","77.27","1.9","0","100.00","11.76","100.00","33.66","1.42","95.95","14.7","0.95","93.94","0.47","0","100.00","3.23","100.00","10.28","85.71","0.960"
"4","Edmonton Oilers","28","5.5429","16","12","0","16","32","0.571","109.02","11.6","90.38","82.35","10.05","89.12","60.7","9.66","86.26","9.66","1.16","89.29","8.35","0.61","93.20","68.81","5.8","92.23","45.23","5.41","89.31","8.89","1.16","88.46","19.66","78.57","29.38","1.55","95.00","22.81","1.55","93.65","5.03","0.77","86.67","22.03","50.00","39.43","4.25","90.27","22.42","3.87","85.29","3.87","0.39","90.91","17.24","90.00","39.43","1.55","96.23","15.46","0","100.00","0.77","0","100.00","5.00","-","15.92","88.00","1.039"
"5","Colorado Avalanche","28","5.5935","22","4","2","22","46","0.821","115.31","14.56","88.79","92.71","13.03","87.68","70.87","11.11","86.45","9.58","0.77","92.59","8.88","0.81","91.63","66.28","6.9","90.58","42.14","5.75","88.00","7.66","0.77","90.91","18.18","86.67","26.82","4.6","85.37","18.01","3.83","82.46","2.68","0.38","87.50","14.89","90.00","39.46","2.3","94.50","24.14","1.92","92.65","4.98","0.38","92.86","20.63","80.00","47.89","3.06","93.98","28.35","1.53","94.87","1.92","0","100.00","6.76","100.00","13.51","93.10","1.066"
"6","Buffalo Sabres","28","4.8036","8","16","4","5","20","0.357","79.41","11.15","87.68","65.13","10.26","86.39","46.39","9.37","83.20","7.14","0.45","94.12","5.67","0.56","91.03","32.57","4.46","87.95","22.3","3.57","86.21","5.35","0.45","92.31","24.00","87.50","16.95","3.57","82.61","12.94","3.12","80.56","3.12","0","100.00","24.14","100.00","15.61","0.89","94.59","9.37","0.45","95.45","2.23","0.45","83.33","23.81","0.00","45.5","3.12","93.58","24.09","2.23","91.53","1.78","0","100.00","7.41","100.00","15.38","95.24","1.106"
"7","New Jersey Devils","28","4.6667","7","18","3","7","17","0.304","75.77","9.18","89.19","59.69","8.27","87.84","45","6.43","87.50","5.51","1.84","75.00","5.43","1.13","82.74","38.11","5.97","86.46","23.88","5.05","82.54","4.59","1.38","76.92","19.23","72.73","15.61","3.21","82.93","9.64","3.21","75.00","3.21","1.38","70.00","33.33","57.14","22.5","2.76","89.09","14.23","1.84","88.57","1.38","0","100.00","9.68","100.00","37.19","0.92","97.59","21.12","0","100.00","0.92","0","100.00","4.35","-","12.24","71.43","0.837"
"8","New York Rangers","28","5.2333","14","11","3","14","31","0.554","109.33","11.87","90.20","84.76","9.83","89.61","58.96","6.96","89.44","8.19","0.82","90.91","8.14","0.52","94.01","62.65","4.09","93.87","38.08","3.28","92.08","6.55","0.41","94.12","17.20","87.50","28.66","1.64","94.59","20.47","1.23","94.34","5.32","0.41","92.86","26.00","66.67","33.99","2.46","93.26","17.61","2.05","89.58","1.23","0","100.00","6.98","100.00","45.45","2.46","94.87","20.47","0.82","96.15","1.64","0","100.00","8.00","100.00","13.89","88.24","1.021"
"9","Florida Panthers","28","6.044","20","5","3","20","43","0.768","94.66","16.66","85.03","74.1","15.25","82.94","57.79","12.41","82.32","4.96","0.71","87.50","6.52","1.34","82.91","39.71","7.09","84.85","29.43","5.32","84.69","3.9","0.71","84.62","13.25","86.67","18.44","3.19","85.25","16.31","2.84","85.19","2.13","0.35","85.71","13.04","87.50","21.27","3.9","84.51","13.12","2.48","84.09","1.77","0.35","83.33","13.51","85.71","51.76","5.32","90.68","27.65","3.55","88.64","1.06","0","100.00","3.85","100.00","8.59","94.29","1.029"
"10","Detroit Red Wings","28","4.9268","12","11","5","11","29","0.518","72.64","15.22","82.67","54.37","13.05","80.65","37.4","12.18","75.44","1.74","0.43","80.00","4.76","1.02","82.34","36.53","9.13","80.00","20.44","8.26","71.21","1.3","0.43","75.00","6.38","94.74","12.61","4.35","74.36","10.87","4.35","71.43","0.87","0","100.00","8.00","100.00","23.92","4.78","83.33","9.57","3.91","70.97","0.43","0.43","50.00","4.55","88.89","35.23","4.78","88.04","16.96","2.61","86.67","0.43","0","100.00","2.56","100.00","4.65","96.43","1.011"
"11","Nashville Predators","28","5.0083","18","10","0","16","36","0.643","89.42","9.84","90.09","65.89","8.99","88.00","50.06","8.13","86.03","5.13","0","100.00","5.07","0.67","88.33","43.64","5.56","88.70","26.1","4.28","85.92","3.42","0","100.00","13.11","100.00","16.26","2.14","88.37","11.98","1.71","87.50","1.71","0","100.00","14.29","100.00","27.38","3.42","88.89","14.12","2.57","84.62","1.71","0","100.00","12.12","100.00","45.35","3.42","92.98","23.53","3","88.71","1.71","0","100.00","7.27","100.00","10.26","100.00","1.103"
"12","Winnipeg Jets","28","4.8631","13","13","2","13","28","0.500","95.62","14.54","86.80","73.15","12.34","85.57","55.52","11.46","82.89","7.05","0.44","94.12","6.63","0.66","90.91","54.64","5.73","90.51","30.4","4.41","87.34","4.41","0.44","90.91","14.49","90.00","18.51","2.64","87.50","13.22","1.76","88.24","1.76","0.44","80.00","13.33","75.00","36.13","3.08","92.13","17.18","2.64","86.67","2.64","0","100.00","15.38","100.00","40.1","2.64","93.81","25.12","1.32","95.00","2.64","0","100.00","10.53","100.00","12.70","96.15","1.089"
"13","Arizona Coyotes","28","5.8589","12","12","4","10","28","0.500","81.56","11.34","87.80","59.62","11.34","84.02","40.23","9.14","81.48","6.22","0.73","89.47","4.84","0.64","88.30","40.23","4.39","90.16","21.94","3.66","85.71","3.66","0.73","83.33","16.67","80.00","15.73","2.93","84.31","7.68","2.93","72.41","1.1","0.73","60.00","14.29","75.00","24.5","1.46","94.37","14.26","0.73","95.12","2.56","0","100.00","17.95","100.00","38.4","3.29","92.11","17.56","2.19","88.89","2.19","0","100.00","12.50","100.00","15.45","92.00","1.075"
"14","Vegas Golden Knights","28","5.0911","21","5","2","20","44","0.786","120.8","13.05","90.25","93.86","11.79","88.84","67.77","10.52","86.56","8","0.84","90.48","8.61","0.62","93.26","60.19","5.47","91.67","37.46","3.37","91.75","5.47","0","100.00","14.61","100.00","26.1","2.95","89.86","20.2","1.26","94.12","4.63","0","100.00","22.92","100.00","34.09","2.53","93.10","17.26","2.1","89.13","0.84","0","100.00","4.88","100.00","56.82","4.21","93.10","29.88","3.79","88.75","2.53","0.84","75.00","8.45","77.78","11.80","92.00","1.038"
"15","Los Angeles Kings","28","4.6155","9","14","5","9","23","0.411","97.5","13.46","87.87","71.96","13","84.70","54.32","12.07","81.82","7.89","0.46","94.44","6.97","1.12","86.14","45.5","5.57","89.09","25.54","5.11","83.33","4.64","0.46","90.91","18.18","90.91","19.96","2.79","87.76","15.32","2.79","84.62","2.79","0.46","85.71","18.18","83.33","25.54","2.79","90.16","10.21","2.32","81.48","1.86","0","100.00","18.18","100.00","51.07","1.39","97.35","28.79","1.39","95.38","3.25","0","100.00","11.29","100.00","14.53","96.15","1.107"
"16","Ottawa Senators","28","5.1321","14","10","4","13","32","0.571","85.59","16.28","84.02","70.56","15.03","82.44","52.61","10.02","84.00","5.43","1.25","81.25","6.59","1.01","86.76","53.44","7.1","88.28","34.66","3.34","91.21","3.76","1.25","75.00","10.84","62.50","22.96","3.76","85.94","17.95","2.92","86.00","2.09","1.25","62.50","11.63","57.14","30.48","3.34","90.12","16.7","0.42","97.56","1.67","0","100.00","10.00","100.00","30.9","3.76","89.16","17.95","2.51","87.76","1.67","0","100.00","9.30","100.00","10.32","87.50","0.978"
"17","Calgary Flames","28","5.4274","15","12","1","15","31","0.554","93.18","15.79","85.51","73.83","14.61","83.48","54.09","10.66","83.54","7.9","1.18","86.96","6.72","0.63","91.40","50.93","5.53","90.21","36.32","4.74","88.46","6.32","1.18","84.21","17.39","75.00","20.53","2.37","89.66","16.58","1.97","89.36","2.76","0.79","77.78","16.67","60.00","30.4","3.16","90.59","19.74","2.76","87.72","3.55","0.39","90.00","18.00","85.71","40.67","3.95","91.15","17.37","1.58","91.67","1.58","0","100.00","9.09","100.00","14.60","88.89","1.035"
"18","Pittsburgh Penguins","28","3.9833","22","4","2","20","46","0.821","94.14","15.06","86.21","72.62","12.37","85.44","59.18","10.76","84.62","9.15","0.54","94.44","7.23","0.9","88.97","54.87","7.53","87.93","37.12","5.38","87.34","8.07","0.54","93.75","21.74","90.00","24.75","4.84","83.64","20.98","3.23","86.67","5.38","0.54","90.91","25.64","83.33","30.13","2.69","91.80","16.14","2.15","88.24","2.69","0","100.00","16.67","100.00","37.66","3.77","90.91","22.06","2.15","91.11","1.08","0","100.00","4.88","100.00","15.45","95.00","1.105"
"19","New York Islanders","28","4.2274","21","4","3","18","45","0.804","81.1","17.23","82.47","61.33","14.19","81.21","45.62","12.17","78.95","8.62","0","100.00","7.09","0.95","88.19","51.2","7.1","87.83","31.93","4.56","87.50","8.62","0","100.00","26.98","100.00","24.84","3.55","87.50","19.77","2.53","88.64","7.1","0","100.00","35.90","100.00","26.36","3.55","88.14","12.17","2.03","85.71","1.52","0","100.00","12.50","100.00","27.88","6.08","82.09","13.69","3.55","79.41","0","0","-","0.00","100.00","18.89","100.00","1.189"
"20","St Louis Blues","28","4.8637","12","11","5","12","29","0.518","106.18","11.01","90.60","80.19","8.81","90.10","64.77","4.85","93.04","8.37","0","100.00","7.03","0.71","90.84","42.74","5.29","88.99","29.08","2.64","91.67","6.17","0","100.00","21.21","100.00","15.86","2.64","85.71","12.34","1.32","90.32","2.64","0","100.00","21.43","100.00","26.88","2.64","91.04","16.74","1.32","92.68","3.52","0","100.00","21.05","100.00","60.8","3.52","94.52","34.81","0.88","97.53","2.2","0","100.00","6.33","100.00","12.93","100.00","1.129"
"21","Anaheim Ducks","28","4.7393","6","18","4","5","16","0.286","96.76","10.85","89.92","72.8","10.4","87.50","48.38","7.23","86.99","1.36","1.36","50.00","5.67","0.76","88.24","52","5.43","90.55","29.39","3.62","89.04","0.9","0.9","50.00","3.08","75.00","14.02","1.81","88.57","9.95","1.36","88.00","0.45","0.45","50.00","4.55","66.67","37.98","3.62","91.30","19.44","2.26","89.58","0.45","0.45","50.00","2.33","80.00","44.76","0.9","98.02","18.99","0.45","97.67","0.45","0","100.00","2.38","100.00","2.80","81.25","0.841"
"22","Vancouver Canucks","28","5.1125","13","12","3","11","29","0.518","104.37","12.99","88.93","75.45","11.32","86.96","51.14","9.64","84.14","7.54","1.26","85.71","7.09","0.94","88.29","65.39","7.54","89.66","33.95","5.45","86.17","5.87","1.26","82.35","17.28","76.92","23.89","3.35","87.69","15.93","2.93","84.44","4.19","0.84","83.33","26.32","71.43","41.49","4.19","90.83","18.02","2.51","87.76","1.68","0.42","80.00","9.30","83.33","38.14","2.1","94.79","16.77","1.26","93.02","1.68","0","100.00","10.00","100.00","14.75","86.96","1.017"
"23","Boston Bruins","28","5.1458","18","7","3","15","39","0.696","88.7","14.57","85.89","65.8","12.49","84.04","47.47","11.24","80.85","8.74","1.25","87.50","5.5","0.8","87.31","47.06","6.66","87.60","25.4","5","83.56","6.66","1.25","84.21","26.23","75.00","15.41","4.16","78.72","12.08","3.33","78.38","3.33","0.42","88.89","27.59","87.50","31.65","2.5","92.68","13.33","1.67","88.89","3.33","0.83","80.00","25.00","50.00","40.39","3.75","91.51","21.65","2.08","91.23","2.08","0","100.00","9.62","100.00","18.42","88.89","1.073"
"24","Carolina Hurricanes","28","4.6661","20","3","5","19","45","0.804","115.73","12.86","90.00","84.04","10.56","88.83","57.41","8.27","87.41","11.48","0.92","92.59","8.7","0.75","92.04","62.46","6.89","90.07","32.15","4.13","88.61","9.18","0.92","90.91","28.57","77.78","28.01","3.21","89.71","17.45","2.76","86.36","5.97","0.92","86.67","34.21","66.67","34.44","3.67","90.36","14.7","1.38","91.43","3.21","0","100.00","21.88","100.00","51.89","3.67","93.39","24.34","1.84","92.98","2.3","0","100.00","9.43","100.00","20.00","88.89","1.089"
"25","Columbus Blue Jackets","28","4.3065","11","9","8","9","30","0.536","63.19","13.93","81.94","52.25","10.45","83.33","38.31","9.45","80.21","6.47","0","100.00","3.72","0.64","85.26","25.87","4.48","85.25","19.41","3.48","84.78","2.99","0","100.00","15.38","100.00","6.97","2.49","73.68","5.47","1.99","73.33","1","0","100.00","18.18","100.00","18.91","1.99","90.48","13.93","1.49","90.32","1.99","0","100.00","14.29","100.00","34.83","6.47","84.34","18.41","2.99","86.05","3.48","0","100.00","18.92","100.00","16.88","100.00","1.169"
"26","Washington Capitals","28","4.4506","17","8","3","16","37","0.661","88.11","14.44","85.92","71.26","12.52","85.06","48.15","9.15","84.03","10.59","1.93","84.62","6.31","0.95","86.90","39.96","4.33","90.22","26","2.41","91.53","7.7","0.96","88.89","29.63","60.00","11.07","1.44","88.46","10.59","0.96","91.67","4.81","0.48","90.91","45.45","50.00","28.89","2.89","90.91","15.41","1.44","91.43","2.89","0.48","85.71","18.75","66.67","44.3","6.74","86.79","21.18","3.85","84.62","2.41","0.48","83.33","11.36","87.50","22.00","78.95","1.009"
"27","Chicago Blackhawks","28","5.3071","13","11","4","12","30","0.536","87.21","14.54","85.71","62.58","12.52","83.33","50.07","10.09","83.22","7.67","1.21","86.36","5.92","1.13","83.96","52.89","8.88","85.62","32.71","6.06","84.38","6.86","1.21","85.00","20.99","80.00","20.19","5.65","78.13","14.94","4.04","78.72","4.85","0.4","92.31","32.43","90.00","32.71","3.23","91.01","17.77","2.02","89.80","2.02","0.81","71.43","11.36","60.00","31.09","3.23","90.59","17.36","2.02","89.58","0.81","0","100.00","4.65","100.00","15.32","88.00","1.033"
"28","Minnesota Wild","28","5.725","21","5","2","21","44","0.786","80.1","13.47","85.60","62.13","11.23","84.69","46.04","8.23","84.83","6.36","0.75","89.47","4.88","0.71","87.36","32.94","5.61","85.44","21.71","2.62","89.23","5.24","0.75","87.50","24.14","71.43","13.47","2.62","83.72","11.23","1.5","88.24","2.99","0.37","88.89","26.67","75.00","19.46","2.99","86.67","10.48","1.12","90.32","2.25","0.37","85.71","21.43","66.67","46.04","4.12","91.79","24.33","2.62","90.28","1.12","0","100.00","4.62","100.00","13.82","90.91","1.047"
"29","Dallas Stars","28","5.2732","13","7","8","12","34","0.607","92.65","13","87.69","72.74","11.78","86.06","49.98","10.16","83.11","8.94","0.41","95.65","6.53","0.39","94.41","50.8","4.06","92.59","32.51","2.44","93.02","7.31","0.41","94.74","22.50","83.33","21.54","0.41","98.15","16.25","0.41","97.56","4.88","0","100.00","30.00","100.00","29.26","3.66","88.89","16.25","2.03","88.89","2.44","0.41","85.71","15.00","80.00","41.04","2.84","93.52","17.07","1.63","91.30","1.63","0","100.00","9.52","100.00","17.89","96.00","1.139"
"30","Montreal Canadiens","28","4.5643","13","11","4","12","30","0.536","79.81","10.33","88.54","58.69","7.98","88.03","45.07","7.98","84.96","7.04","0.47","93.75","5.15","0.41","92.57","40.85","4.23","90.63","24.88","2.82","89.83","4.69","0.47","90.91","18.87","83.33","15.02","1.88","88.89","13.15","1.88","87.50","3.29","0.47","87.50","25.00","75.00","25.82","2.35","91.67","11.74","0.94","92.59","1.41","0","100.00","12.00","100.00","38.03","0.47","98.78","19.72","0","100.00","2.35","0","100.00","11.90","-","15.63","94.12","1.097"
"31","San Jose Sharks","28","4.928","11","13","4","10","26","0.464","95.66","16.09","85.60","70.44","12.61","84.82","52.18","11.31","82.19","4.78","0.87","84.62","6.73","0.84","88.86","51.31","9.13","84.89","32.18","6.09","84.09","3.48","0.87","80.00","10.81","85.71","21.31","3.91","84.48","16.09","3.48","82.22","2.17","0.87","71.43","13.51","75.00","30","5.22","85.19","16.09","2.61","86.05","1.3","0","100.00","8.11","100.00","43.48","3.48","92.59","20","2.17","90.20","1.3","0","100.00","6.52","100.00","9.17","92.31","1.015"
