AwayTeam,HomeTeam,AwayGoalie,HomeGoalie,AwayDaysRest,HomeDaysRest,AwayOdds,HomeOdds,OverUnderVal,OverOdds,UnderOdds
Calgary Flames,Ottawa Senators,Dan Vladar,Anton Forsberg,1,0,-154,130,6,105,-139
Nashville Predators,Winnipeg Jets,Juuse Saros,Connor Hellebuyck,1,1,115,-139,6,100,-132
Colorado Avalanche,Tampa Bay Lightning,Darcy Kuemper,Andrei Vasilevskiy,1,3,-110,-110,6,-132,-103
Toronto Maple Leafs,Pittsburgh Penguins,Jack Campbell,Tristan Jarry,0,3,-167,140,6,-112,-118
Florida Panthers,Philadelphia Flyers,Sergei Bobrovsky,Carter Hart,1,2,-143,120,6,-154,115
Buffalo Sabres,New Jersey Devils,Dustin Tokarski,Nico Daws,0,1,160,-189,6.5,110,-132
Detroit Red Wings,Montreal Canadiens,Thomas Greiss,Jake Allen,1,1,150,-182,6,125,-167
Los Angeles Kings,St Louis Blues,Cal Petersen,Jordan Binnington,0,2,145,-182,6,115,-154
New York Islanders,Arizona Coyotes,Ilya Sorokin,Karel Vejmelka,1,1,-213,170,6,130,-175
Vancouver Canucks,Seattle Kraken,Thatcher Demko,Philipp Grubauer,,,,,,,
